name,lb-hitman,lb-cplex,lub-hitman,lub-cplex
AIJ14F-1C9O.55p.19aa.usingEref_self_digit2,,,,
AIJ14F-1CM1.17p.19aa.usingEref_self_digit2,0,0,0,0
AIJ14F-1HZ5.12p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-1HZ5.12p.9aa.usingEref_self_digit2,NA,NA,151,151
AIJ14F-1PGB.11p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-1PGB.11p.9aa.usingEref_self_digit2,1,1,1,1
AIJ14F-1PIN.28p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-1UBI.13p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-1UBI.13p.9aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-2DHC.14p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-2PCY.18p.8aa.usingEref_self_digit2,NA,NA,45,45
AIJ14F-2TRX.11p.8aa.usingEref_self_digit2,4,4,4,4
AIJ14L-1BK2.matrix.24p.17aa.usingEref_self_digit2,NA,NA,170,170
AIJ14L-1BRS.matrix.44p.20aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1C9O.matrix.43p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1CDL.matrix.40p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1CM1.matrix.42p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1CSE.matrix.97p.18aa.usingEref_self_digit2,0,0,0,0
AIJ14L-1CSK.matrix.30p.9aa.usingEref_self_digit2,30,NA,30,30
AIJ14L-1CSP.matrix.30p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1CTF.matrix.39p.9aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1DKT.matrix.46p.18aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1ENH.matrix.36p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1FNA.matrix.38p.8aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1FYN.matrix.23p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1GVP.matrix.52p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1HNG.matrix.85p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1L63.matrix.83p.17aa.usingEref_self_digit2,NA,NA,31,NA
AIJ14L-1LZ1.matrix.59p.9aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1MJC.matrix.28p.17aa.usingEref_self_digit2,0,0,0,0
AIJ14L-1NXB.matrix.34p.9aa.usingEref_self_digit2,0,0,0,0
AIJ14L-1PGB.matrix.31p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1PIN.matrix.28p.20aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1POH.matrix.46p.17aa.usingEref_self_digit2,2,2,2,2
AIJ14L-1RIS.matrix.56p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1SHF.matrix.30p.9aa.usingEref_self_digit2,0,0,0,0
AIJ14L-1SHG.matrix.28p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1STN.matrix.120p.18aa.usingEref_self_digit2,,,,
AIJ14L-1TEN.matrix.39p.9aa.usingEref_self_digit2,44,NA,44,44
AIJ14L-1UBI.matrix.40p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-2CI2.matrix.51p.18aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-2DRI.matrix.37p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-2PCY.matrix.46p.9aa.usingEref_self_digit2,1,1,1,1
AIJ14L-2RN2.matrix.69p.9aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-2TRX.matrix.61p.19aa.usingEref_self_digit2,NA,NA,72,NA
AIJ14L-3CHY.matrix.74p.9aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-3HHR.matrix.115p.19aa.usingEref_self_digit2,NA,,NA,NA
Bio13-1BK2.matrix.24p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1BRS.matrix.44p.20aa.usingEref_self_digit8,,NA,,NA
Bio13-1C9O.matrix.43p.17aa.usingEref_self_digit8,NA,NA,,NA
Bio13-1CDL.matrix.40p.19aa.usingEref_self_digit8,,NA,NA,NA
Bio13-1CM1.matrix.42p.19aa.usingEref_self_digit8,,NA,,NA
Bio13-1CSE.matrix.97p.18aa.usingEref_self_digit8,0,0,0,0
Bio13-1CSK.matrix.30p.9aa.usingEref_self_digit8,NA,NA,17418426,17418426
Bio13-1CSP.matrix.30p.17aa.usingEref_self_digit8,NA,NA,,NA
Bio13-1CTF.matrix.39p.9aa.usingEref_self_digit8,NA,NA,,NA
Bio13-1DKT.matrix.46p.18aa.usingEref_self_digit8,NA,NA,,NA
Bio13-1ENH.matrix.36p.17aa.usingEref_self_digit8,,NA,NA,NA
Bio13-1FNA.matrix.38p.8aa.usingEref_self_digit8,NA,NA,,NA
Bio13-1FYN.matrix.23p.19aa.usingEref_self_digit8,,NA,,NA
Bio13-1GVP.matrix.52p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1HNG.matrix.85p.17aa.usingEref_self_digit8,NA,NA,,NA
Bio13-1L63.matrix.83p.17aa.usingEref_self_digit8,NA,NA,,NA
Bio13-1LZ1.matrix.59p.9aa.usingEref_self_digit8,NA,NA,,NA
Bio13-1MJC.matrix.28p.17aa.usingEref_self_digit8,0,0,0,0
Bio13-1NXB.matrix.34p.9aa.usingEref_self_digit8,0,0,0,0
Bio13-1PGB.matrix.31p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1PIN.matrix.28p.20aa.usingEref_self_digit8,,NA,,NA
Bio13-1POH.matrix.46p.17aa.usingEref_self_digit8,0,0,0,0
Bio13-1RIS.matrix.56p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1SHF.matrix.30p.9aa.usingEref_self_digit8,0,0,0,0
Bio13-1SHG.matrix.28p.17aa.usingEref_self_digit8,NA,NA,,NA
UAI17-1dvo-full,,,,
UAI17-1f00-full,NA,NA,NA,NA
UAI17-1is1-full,NA,,NA,NA
UAI17-1ng2-full,,NA,,
UAI17-1xaw-full,,,,
UAI17-1ytq-full,NA,NA,,
UAI17-1yz7-full,NA,NA,NA,
UAI17-2af5-full,,NA,,
UAI17-2gee-full,NA,NA,NA,NA
UAI17-2x8x-full,NA,NA,NA,NA
UAI17-3e3v-full,,,,NA
UAI17-3lf9-full,,,,
UAI17-3r8q-full,NA,,,NA
UAI17-3sz7-full,,,,
UAI17-4bxp-full,,,NA,NA
UAI17-4uos-full,NA,NA,NA,NA
UAI17-5dbl-full,,,,
UAI17-5e0z-full,,,,
UAI17-5e10-full,,,,
UAI17-5eqz-full,,,,
UAI17-5jdd-full,NA,NA,,
CP13-404,47,47,47,47
CP13-503,3541,3541,3541,3541
CP13-505,NA,NA,NA,NA
CP13-pedigree13,NA,984,984,984
CP13-pedigree18,NA,1830,1830,1830
CP13-pedigree20,NA,NA,1109,1109
CP13-pedigree25,NA,3184,3184,3184
CP13-pedigree30,NA,1884,1884,1884
CP13-pedigree31,NA,NA,NA,1923
CP13-pedigree33,NA,NA,NA,3401
CP13-pedigree39,NA,NA,NA,1645
CP13-pedigree41,NA,NA,NA,1801
CP13-pedigree44,NA,NA,NA,2801
CP13-pedigree51,NA,NA,NA,2491
CP13-pedigree7,NA,1199,1199,1199
CP13-pedigree9,NA,NA,NA,2508
