name,lb-hitman,lb-cplex,lub-hitman,lub-cplex
AIJ14F-1C9O.55p.19aa.usingEref_self_digit2,,,,
AIJ14F-1CM1.17p.19aa.usingEref_self_digit2,3.479729342,19.145060337,3.450183965,20.540301283999998
AIJ14F-1HZ5.12p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1HZ5.12p.9aa.usingEref_self_digit2,TO,TO,266.678778174,1161.888654027
AIJ14F-1PGB.11p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1PGB.11p.9aa.usingEref_self_digit2,0.19512591099999999,1.7173692220000003,0.21657960600000004,2.0923263189999997
AIJ14F-1PIN.28p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1UBI.13p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1UBI.13p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-2DHC.14p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-2PCY.18p.8aa.usingEref_self_digit2,TO,TO,17.657070239,1135.1645905510002
AIJ14F-2TRX.11p.8aa.usingEref_self_digit2,0.526703424,26.549893783999998,0.40643033500000003,6.6924222669999995
AIJ14L-1BK2.matrix.24p.17aa.usingEref_self_digit2,TO,TO,478.19946269599996,2590.2136581970003
AIJ14L-1BRS.matrix.44p.20aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1C9O.matrix.43p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CDL.matrix.40p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CM1.matrix.42p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CSE.matrix.97p.18aa.usingEref_self_digit2,0.20488366400000002,1.0397958100000002,0.18839872999999996,1.09418252
AIJ14L-1CSK.matrix.30p.9aa.usingEref_self_digit2,1882.68842656,TO,1.2548582970000002,73.36284583
AIJ14L-1CSP.matrix.30p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CTF.matrix.39p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1DKT.matrix.46p.18aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1ENH.matrix.36p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1FNA.matrix.38p.8aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1FYN.matrix.23p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1GVP.matrix.52p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1HNG.matrix.85p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1L63.matrix.83p.17aa.usingEref_self_digit2,TO,TO,670.3515015840001,TO
AIJ14L-1LZ1.matrix.59p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1MJC.matrix.28p.17aa.usingEref_self_digit2,0.06583012900000007,0.3317365309999999,0.06582541899999994,0.33652217100000004
AIJ14L-1NXB.matrix.34p.9aa.usingEref_self_digit2,0.07270668899999999,0.48651033099999996,0.07249731999999998,0.511881493
AIJ14L-1PGB.matrix.31p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1PIN.matrix.28p.20aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1POH.matrix.46p.17aa.usingEref_self_digit2,0.31708245200000007,10.138531646999999,0.310335339,9.924562598000001
AIJ14L-1RIS.matrix.56p.17aa.usingEref_self_digit2,TO,TO,TO,TO
