name,lb-hitman,lb-cplex,lub-hitman,lub-cplex
AIJ14F-1C9O.55p.19aa.usingEref_self_digit2,,,,
AIJ14F-1CM1.17p.19aa.usingEref_self_digit2,3.506868839263916,19.496044874191284,3.450281858444214,20.637505054473877
AIJ14F-1HZ5.12p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1HZ5.12p.9aa.usingEref_self_digit2,TO,TO,266.69115591049194,1127.5625479221344
AIJ14F-1PGB.11p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1PGB.11p.9aa.usingEref_self_digit2,0.22802186012268066,1.744058609008789,0.21659326553344727,2.11889910697937
AIJ14F-1PIN.28p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1UBI.13p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1UBI.13p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-2DHC.14p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-2PCY.18p.8aa.usingEref_self_digit2,TO,TO,17.658028602600098,1132.4129271507263
AIJ14F-2TRX.11p.8aa.usingEref_self_digit2,0.5495645999908447,26.198001861572266,0.4064323902130127,6.71810507774353
AIJ14L-1BK2.matrix.24p.17aa.usingEref_self_digit2,TO,TO,478.21734833717346,2564.1922900676727
AIJ14L-1BRS.matrix.44p.20aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1C9O.matrix.43p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CDL.matrix.40p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CM1.matrix.42p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CSE.matrix.97p.18aa.usingEref_self_digit2,0.22631287574768066,1.0644800662994385,0.1883993148803711,1.118577003479004
AIJ14L-1CSK.matrix.30p.9aa.usingEref_self_digit2,1882.7688975334167,TO,1.2549693584442139,73.35660457611084
AIJ14L-1CSP.matrix.30p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CTF.matrix.39p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1DKT.matrix.46p.18aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1ENH.matrix.36p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1FNA.matrix.38p.8aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1FYN.matrix.23p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1GVP.matrix.52p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1HNG.matrix.85p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1L63.matrix.83p.17aa.usingEref_self_digit2,TO,TO,670.3813509941101,TO
AIJ14L-1LZ1.matrix.59p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1MJC.matrix.28p.17aa.usingEref_self_digit2,0.06601142883300781,0.35526609420776367,0.06582522392272949,0.36021876335144043
AIJ14L-1NXB.matrix.34p.9aa.usingEref_self_digit2,0.07289004325866699,0.5133864879608154,0.07249712944030762,0.5353264808654785
AIJ14L-1PGB.matrix.31p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1PIN.matrix.28p.20aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1POH.matrix.46p.17aa.usingEref_self_digit2,0.3228006362915039,10.130610227584839,0.3103368282318115,9.951196670532227
AIJ14L-1RIS.matrix.56p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1SHF.matrix.30p.9aa.usingEref_self_digit2,0.1674790382385254,0.9336898326873779,0.15784454345703125,0.9839932918548584
AIJ14L-1SHG.matrix.28p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1STN.matrix.120p.18aa.usingEref_self_digit2,,,,
AIJ14L-1TEN.matrix.39p.9aa.usingEref_self_digit2,3398.9343616962433,TO,15.174592971801758,261.3154709339142
AIJ14L-1UBI.matrix.40p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-2CI2.matrix.51p.18aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-2DRI.matrix.37p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-2PCY.matrix.46p.9aa.usingEref_self_digit2,0.35512614250183105,2.119851589202881,0.42545008659362793,2.6656696796417236
AIJ14L-2RN2.matrix.69p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-2TRX.matrix.61p.19aa.usingEref_self_digit2,TO,TO,325.1137173175812,TO
AIJ14L-3CHY.matrix.74p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-3HHR.matrix.115p.19aa.usingEref_self_digit2,TO,,TO,TO
Bio13-1BK2.matrix.24p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1BRS.matrix.44p.20aa.usingEref_self_digit8,,TO,,TO
Bio13-1C9O.matrix.43p.17aa.usingEref_self_digit8,TO,TO,,TO
Bio13-1CDL.matrix.40p.19aa.usingEref_self_digit8,,TO,TO,TO
Bio13-1CM1.matrix.42p.19aa.usingEref_self_digit8,,TO,,TO
Bio13-1CSE.matrix.97p.18aa.usingEref_self_digit8,0.31133508682250977,1.510545015335083,0.2818148136138916,1.6194028854370117
Bio13-1CSK.matrix.30p.9aa.usingEref_self_digit8,TO,TO,1.2837605476379395,59.54685878753662
Bio13-1CSP.matrix.30p.17aa.usingEref_self_digit8,TO,TO,,TO
Bio13-1CTF.matrix.39p.9aa.usingEref_self_digit8,TO,TO,,TO
Bio13-1DKT.matrix.46p.18aa.usingEref_self_digit8,TO,TO,,TO
Bio13-1ENH.matrix.36p.17aa.usingEref_self_digit8,,TO,TO,TO
Bio13-1FNA.matrix.38p.8aa.usingEref_self_digit8,TO,TO,,TO
Bio13-1FYN.matrix.23p.19aa.usingEref_self_digit8,,TO,,TO
Bio13-1GVP.matrix.52p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1HNG.matrix.85p.17aa.usingEref_self_digit8,TO,TO,,TO
Bio13-1L63.matrix.83p.17aa.usingEref_self_digit8,TO,TO,,TO
Bio13-1LZ1.matrix.59p.9aa.usingEref_self_digit8,TO,TO,,TO
Bio13-1MJC.matrix.28p.17aa.usingEref_self_digit8,0.0877692699432373,0.3587989807128906,0.06649041175842285,0.42347264289855957
Bio13-1NXB.matrix.34p.9aa.usingEref_self_digit8,0.14977669715881348,0.8699889183044434,0.1483774185180664,0.9290165901184082
Bio13-1PGB.matrix.31p.17aa.usingEref_self_digit8,TO,TO,TO,TO
