,lb-hitman,lb-cplex,lb-static,lb-dynamic,lb-dynamic+, lub-hitman, lub-cplex,lub-static,lub-dynamic,lub-dynamic+
CP13-404,0.98705198,609.69043606,TO,TO,TO,0.479330511,439.286495251,TO,TO,TO
CP13-503,0.207822532,76.688609188,TO,TO,TO,0.051769925,2.550989442,TO,TO,TO
CP13-505,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
CP13-pedigree13,TO,4925.172024966,TO,TO,TO,26.06307403,27.9436877,TO,TO,TO
CP13-pedigree18,TO,401.615449022,TO,TO,TO,262.130602573,3.282152661,TO,TO,TO
CP13-pedigree20,TO,TO,TO,TO,TO,257.363103619,30.870560581,TO,TO,TO
CP13-pedigree25,TO,691.958525166,TO,TO,TO,0.105408571,0.940067314,TO,TO,TO
CP13-pedigree30,TO,1217.462594793,TO,TO,TO,409.612888911,2.925882846,TO,TO,TO
CP13-pedigree31,TO,TO,TO,TO,TO,TO,4607.332831872,TO,TO,TO
CP13-pedigree33,TO,TO,TO,TO,TO,TO,12.175264439,TO,TO,TO
CP13-pedigree39,TO,TO,TO,TO,TO,TO,7.587500814,TO,TO,TO
CP13-pedigree41,TO,TO,TO,TO,TO,TO,1436.075611808,TO,TO,TO
CP13-pedigree44,TO,TO,TO,TO,TO,TO,189.716894785,TO,TO,TO
CP13-pedigree51,TO,TO,TO,TO,TO,TO,90.191560941,TO,TO,TO
CP13-pedigree7,TO,8191.82149646,TO,TO,TO,0.236023817,2.331098925,TO,TO,TO
CP13-pedigree9,TO,TO,TO,TO,TO,TO,58.243617066,TO,TO,TO
timeout=3600,,,,,,,,,,
