,lb-hitman,lb-cplex,lb-static,lb-dynamic,lb-dynamic+, lub-hitman, lub-cplex,lub-static,lub-dynamic,lub-dynamic+
CP13-404,0.987306833267212,196.359597682953,TO,TO,TO,0.479360818862915,127.684458494186,TO,TO,TO
CP13-503,0.218293905258179,26.4585626125336,TO,TO,TO,0.051774978637695,1.00243663787842,TO,TO,TO
CP13-505,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
CP13-pedigree13,TO,1440.48557782173,TO,TO,TO,26.0697929859161,10.9629137516022,TO,TO,TO
CP13-pedigree18,TO,140.196364402771,TO,TO,TO,262.504909276962,2.12717223167419,TO,TO,TO
CP13-pedigree20,TO,TO,TO,TO,TO,257.421547651291,10.4601805210114,TO,TO,TO
CP13-pedigree25,TO,197.282493829727,TO,TO,TO,0.105427980422974,0.885222911834717,TO,TO,TO
CP13-pedigree30,TO,415.921368598938,TO,TO,TO,409.840710163117,2.11108708381653,TO,TO,TO
CP13-pedigree31,TO,TO,TO,TO,TO,TO,1279.40455150604,TO,TO,TO
CP13-pedigree33,TO,TO,TO,TO,TO,TO,5.36752700805664,TO,TO,TO
CP13-pedigree39,TO,TO,TO,TO,TO,TO,3.55692839622498,TO,TO,TO
CP13-pedigree41,TO,TO,TO,TO,TO,TO,420.919953584671,TO,TO,TO
CP13-pedigree44,TO,TO,TO,TO,TO,TO,62.5102734565735,TO,TO,TO
CP13-pedigree51,TO,TO,TO,TO,TO,TO,30.4560678005218,TO,TO,TO
CP13-pedigree7,TO,2592.49528431892,TO,TO,TO,0.236107349395752,1.52019119262695,TO,TO,TO
CP13-pedigree9,TO,TO,TO,TO,TO,TO,23.6674423217773,TO,TO,TO
timeout=3600,,,,,,,,,,
