name,sat-lb,sat-lub-greedy,sat-lub-model,sat-lub-callback
AIJ14F-1C9O.55p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-1CM1.17p.19aa.usingEref_self_digit2,743645,743645,743645,743645
AIJ14F-1HZ5.12p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-1HZ5.12p.9aa.usingEref_self_digit2,NA,150714,NA,NA
AIJ14F-1PGB.11p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-1PGB.11p.9aa.usingEref_self_digit2,125306,125306,125306,125306
AIJ14F-1PIN.28p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-1UBI.13p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-1UBI.13p.9aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-2DHC.14p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14F-2PCY.18p.8aa.usingEref_self_digit2,NA,307667,NA,NA
AIJ14F-2TRX.11p.8aa.usingEref_self_digit2,178440,178440,178440,178440
AIJ14L-1BK2.matrix.24p.17aa.usingEref_self_digit2,NA,1133737,NA,NA
AIJ14L-1BRS.matrix.44p.20aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1C9O.matrix.43p.17aa.usingEref_self_digit2,NA,4959931,NA,NA
AIJ14L-1CDL.matrix.40p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1CM1.matrix.42p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1CSE.matrix.97p.18aa.usingEref_self_digit2,18602292,18602292,18602292,18602292
AIJ14L-1CSK.matrix.30p.9aa.usingEref_self_digit2,1125798,1125798,NA,NA
AIJ14L-1CSP.matrix.30p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1CTF.matrix.39p.9aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1DKT.matrix.46p.18aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1ENH.matrix.36p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1FNA.matrix.38p.8aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1FYN.matrix.23p.19aa.usingEref_self_digit2,NA,1183427,NA,NA
AIJ14L-1GVP.matrix.52p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1HNG.matrix.85p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1L63.matrix.83p.17aa.usingEref_self_digit2,NA,12891031,NA,NA
AIJ14L-1LZ1.matrix.59p.9aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1MJC.matrix.28p.17aa.usingEref_self_digit2,1514364,1514364,1514364,1514364
AIJ14L-1NXB.matrix.34p.9aa.usingEref_self_digit2,2971624,2971624,2971624,2971624
AIJ14L-1PGB.matrix.31p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1PIN.matrix.28p.20aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1POH.matrix.46p.17aa.usingEref_self_digit2,4033880,4033880,4033880,4033880
AIJ14L-1RIS.matrix.56p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1SHF.matrix.30p.9aa.usingEref_self_digit2,1101033,1101033,1101033,1101033
AIJ14L-1SHG.matrix.28p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1STN.matrix.120p.18aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-1TEN.matrix.39p.9aa.usingEref_self_digit2,NA,1959862,NA,NA
AIJ14L-1UBI.matrix.40p.17aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-2CI2.matrix.51p.18aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-2DRI.matrix.37p.19aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-2PCY.matrix.46p.9aa.usingEref_self_digit2,2935820,2935820,2935820,2935820
AIJ14L-2RN2.matrix.69p.9aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-2TRX.matrix.61p.19aa.usingEref_self_digit2,NA,7016169,NA,NA
AIJ14L-3CHY.matrix.74p.9aa.usingEref_self_digit2,NA,NA,NA,NA
AIJ14L-3HHR.matrix.115p.19aa.usingEref_self_digit2,NA,NA,NA,NA
Bio13-1BK2.matrix.24p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1BRS.matrix.44p.20aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1C9O.matrix.43p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1CDL.matrix.40p.19aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1CM1.matrix.42p.19aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1CSE.matrix.97p.18aa.usingEref_self_digit8,18604039022018,18604039022018,18604039022018,18604039022018
Bio13-1CSK.matrix.30p.9aa.usingEref_self_digit8,NA,1126037711057,NA,NA
Bio13-1CSP.matrix.30p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1CTF.matrix.39p.9aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1DKT.matrix.46p.18aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1ENH.matrix.36p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1FNA.matrix.38p.8aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1FYN.matrix.23p.19aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1GVP.matrix.52p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1HNG.matrix.85p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1L63.matrix.83p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1LZ1.matrix.59p.9aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1MJC.matrix.28p.17aa.usingEref_self_digit8,1514570779155,1514570779155,1514570779155,1514570779155
Bio13-1NXB.matrix.34p.9aa.usingEref_self_digit8,2971958556423,2971958556423,2971958556423,2971958556423
Bio13-1PGB.matrix.31p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1PIN.matrix.28p.20aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1POH.matrix.46p.17aa.usingEref_self_digit8,4034402273188,4034402273188,4034402273188,4034402273188
Bio13-1RIS.matrix.56p.17aa.usingEref_self_digit8,NA,NA,NA,NA
Bio13-1SHF.matrix.30p.9aa.usingEref_self_digit8,1101271396767,1101271396767,1101271396767,1101271396767
Bio13-1SHG.matrix.28p.17aa.usingEref_self_digit8,NA,NA,NA,NA
UAI17-1dvo-full,NA,NA,NA,NA
UAI17-1f00-full,NA,NA,NA,NA
UAI17-1is1-full,NA,NA,NA,NA
UAI17-1ng2-full,NA,NA,NA,NA
UAI17-1xaw-full,NA,NA,NA,NA
UAI17-1ytq-full,NA,NA,NA,NA
UAI17-1yz7-full,NA,NA,NA,NA
UAI17-2af5-full,NA,NA,NA,NA
UAI17-2gee-full,NA,NA,NA,NA
UAI17-2x8x-full,NA,NA,NA,NA
UAI17-3e3v-full,NA,NA,NA,NA
UAI17-3lf9-full,NA,NA,NA,NA
UAI17-3r8q-full,NA,NA,NA,NA
UAI17-3sz7-full,NA,NA,NA,NA
UAI17-4bxp-full,NA,NA,NA,NA
UAI17-4uos-full,NA,NA,NA,NA
UAI17-5dbl-full,NA,NA,NA,NA
UAI17-5e0z-full,NA,NA,NA,NA
UAI17-5e10-full,NA,NA,NA,NA
UAI17-5eqz-full,NA,NA,NA,NA
UAI17-5jdd-full,NA,NA,NA,NA
