name,sat-lb,sat-lub-greedy,sat-lub-model,sat-lub-callback
AIJ14F-1C9O.55p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1CM1.17p.19aa.usingEref_self_digit2,0.38572,0.37913,0.379471,0.380649
AIJ14F-1HZ5.12p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1HZ5.12p.9aa.usingEref_self_digit2,TO,93.0808,TO,TO
AIJ14F-1PGB.11p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1PGB.11p.9aa.usingEref_self_digit2,0.068713,0.084684,0.070996,0.069035
AIJ14F-1PIN.28p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1UBI.13p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1UBI.13p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-2DHC.14p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-2PCY.18p.8aa.usingEref_self_digit2,TO,123.145,TO,TO
AIJ14F-2TRX.11p.8aa.usingEref_self_digit2,3.94476,2.25353,0.75014,970.768
AIJ14L-1BK2.matrix.24p.17aa.usingEref_self_digit2,TO,1631.19,TO,TO
AIJ14L-1BRS.matrix.44p.20aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1C9O.matrix.43p.17aa.usingEref_self_digit2,TO,2122.23,TO,TO
AIJ14L-1CDL.matrix.40p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CM1.matrix.42p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CSE.matrix.97p.18aa.usingEref_self_digit2,0.023031,0.024266,0.024417,0.024174
AIJ14L-1CSK.matrix.30p.9aa.usingEref_self_digit2,1638.78,84.4902,TO,TO
AIJ14L-1CSP.matrix.30p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CTF.matrix.39p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1DKT.matrix.46p.18aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1ENH.matrix.36p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1FNA.matrix.38p.8aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1FYN.matrix.23p.19aa.usingEref_self_digit2,TO,3814.46,TO,TO
AIJ14L-1GVP.matrix.52p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1HNG.matrix.85p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1L63.matrix.83p.17aa.usingEref_self_digit2,TO,1106.99,TO,TO
AIJ14L-1LZ1.matrix.59p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1MJC.matrix.28p.17aa.usingEref_self_digit2,0.0097,0.010637,0.01064,0.010728
AIJ14L-1NXB.matrix.34p.9aa.usingEref_self_digit2,0.013664,0.014988,0.015199,0.015226
AIJ14L-1PGB.matrix.31p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1PIN.matrix.28p.20aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1POH.matrix.46p.17aa.usingEref_self_digit2,1.35602,0.705665,9.91546,1.15279
AIJ14L-1RIS.matrix.56p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1SHF.matrix.30p.9aa.usingEref_self_digit2,0.026094,0.027834,0.027568,0.027707
AIJ14L-1SHG.matrix.28p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1STN.matrix.120p.18aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1TEN.matrix.39p.9aa.usingEref_self_digit2,TO,34.3394,TO,TO
AIJ14L-1UBI.matrix.40p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-2CI2.matrix.51p.18aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-2DRI.matrix.37p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-2PCY.matrix.46p.9aa.usingEref_self_digit2,0.145798,0.208525,0.17001,0.148284
AIJ14L-2RN2.matrix.69p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-2TRX.matrix.61p.19aa.usingEref_self_digit2,TO,2752.61,TO,TO
AIJ14L-3CHY.matrix.74p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-3HHR.matrix.115p.19aa.usingEref_self_digit2,TO,TO,TO,TO
Bio13-1BK2.matrix.24p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1BRS.matrix.44p.20aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1C9O.matrix.43p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1CDL.matrix.40p.19aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1CM1.matrix.42p.19aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1CSE.matrix.97p.18aa.usingEref_self_digit8,0.173237,0.17911,0.179641,0.17963
Bio13-1CSK.matrix.30p.9aa.usingEref_self_digit8,TO,117.74,TO,TO
Bio13-1CSP.matrix.30p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1CTF.matrix.39p.9aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1DKT.matrix.46p.18aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1ENH.matrix.36p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1FNA.matrix.38p.8aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1FYN.matrix.23p.19aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1GVP.matrix.52p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1HNG.matrix.85p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1L63.matrix.83p.17aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1LZ1.matrix.59p.9aa.usingEref_self_digit8,TO,TO,TO,TO
Bio13-1MJC.matrix.28p.17aa.usingEref_self_digit8,0.033441,0.035985,0.035615,0.035676
Bio13-1NXB.matrix.34p.9aa.usingEref_self_digit8,0.067251,0.071763,0.072618,0.071544
Bio13-1PGB.matrix.31p.17aa.usingEref_self_digit8,TO,TO,TO,TO
