lb 150563 ub 2331760 before adjustment
lb 0 ub 2181197 after adjustment
costs ready
12 variables 75 functions 150563 lb, 2181197 ub
Iteration 0  lb 150567 ub 2331760  cores 3 3 3  time 0.033537 0.023474
Iteration 1  lb 150568 ub 2331760  cores 5 5 2  time 0.05565 0.048647
Iteration 2  lb 150568 ub 2331760  cores 7 7 2  time 0.086837 0.076946
Iteration 3  lb 150568 ub 2331760  cores 8 8 1  time 0.101337 0.104922
Iteration 4  lb 150569 ub 2331760  cores 9 9 1  time 0.108327 0.137106
Iteration 5  lb 150569 ub 2331760  cores 11 11 2  time 0.132525 0.165208
Iteration 6  lb 150570 ub 2331760  cores 12 12 1  time 0.146479 0.195641
Iteration 7  lb 150570 ub 2331760  cores 13 13 1  time 0.157131 0.228613
Iteration 8  lb 150570 ub 2331760  cores 14 14 1  time 0.16308 0.262664
Iteration 9  lb 150570 ub 2331760  cores 15 15 1  time 0.16897 0.296152
Iteration 10  lb 150570 ub 2331760  cores 17 17 2  time 0.185956 0.330259
Iteration 11  lb 150570 ub 2331760  cores 18 18 1  time 0.191309 0.364156
Iteration 12  lb 150570 ub 2331760  cores 19 18 1  time 0.197282 0.398206
Iteration 13  lb 150570 ub 2331760  cores 20 18 1  time 0.20203 0.434298
Iteration 14  lb 150571 ub 2331760  cores 21 19 1  time 0.20908 0.469576
Iteration 15  lb 150571 ub 2331760  cores 22 20 1  time 0.21458 0.50588
Iteration 16  lb 150571 ub 2331760  cores 23 20 1  time 0.218689 0.540619
Iteration 17  lb 150571 ub 2331760  cores 24 21 1  time 0.22268 0.577865
Iteration 18  lb 150571 ub 2331760  cores 25 22 1  time 0.244631 0.611729
Iteration 19  lb 150571 ub 2331760  cores 26 23 1  time 0.25032 0.65156
Iteration 20  lb 150571 ub 2331760  cores 27 24 1  time 0.258058 0.690802
Iteration 21  lb 150572 ub 2331760  cores 28 24 1  time 0.26299 0.73115
Iteration 22  lb 150572 ub 2331760  cores 29 25 1  time 0.270311 0.782689
Iteration 23  lb 150572 ub 2331760  cores 30 26 1  time 0.276664 0.832665
Iteration 24  lb 150572 ub 2331760  cores 31 27 1  time 0.282034 0.882779
