lb 285127 ub 15524611 before adjustment
lb 0 ub 15239484 after adjustment
costs ready
11 variables 66 functions 285127 lb, 15239484 ub
Iteration 0  lb 285132 ub 15524611  cores 4 4 4  time 0.624171 0.206282
Iteration 1  lb 285146 ub 15524611  cores 8 8 4  time 2.78367 0.452155
Iteration 2  lb 285188 ub 15524611  cores 12 12 4  time 8.9596 0.699162
Iteration 3  lb 285200 ub 15524611  cores 16 16 4  time 17.1621 0.955494
Iteration 4  lb 285229 ub 15524611  cores 19 19 3  time 24.5646 1.20516
Iteration 5  lb 285232 ub 15524611  cores 22 22 3  time 28.446 1.45132
Iteration 6  lb 285243 ub 15524611  cores 26 26 4  time 35.493 1.72297
Iteration 7  lb 285260 ub 15524611  cores 29 29 3  time 38.3787 2.07183
Iteration 8  lb 285266 ub 15524611  cores 33 32 4  time 39.6562 2.42951
Iteration 9  lb 285266 ub 15524611  cores 36 33 3  time 40.3506 2.80974
Iteration 10  lb 285268 ub 15524611  cores 39 36 3  time 40.9232 3.19886
Iteration 11  lb 285270 ub 15524611  cores 42 39 3  time 42.1349 3.59737
Iteration 12  lb 285272 ub 15524611  cores 45 42 3  time 48.4802 3.93032
Iteration 13  lb 285275 ub 15524611  cores 48 44 3  time 50.5309 4.26682
Iteration 14  lb 285277 ub 15524611  cores 50 46 2  time 52.3839 4.63961
Iteration 15  lb 285282 ub 15524611  cores 53 49 3  time 54.3075 5.09138
Iteration 16  lb 285283 ub 15524611  cores 56 52 3  time 55.9656 5.57514
Iteration 17  lb 285286 ub 15524611  cores 58 54 2  time 57.4753 5.99439
Iteration 18  lb 285288 ub 15524611  cores 60 56 2  time 62.1363 6.42535
Iteration 19  lb 285289 ub 15524611  cores 64 60 4  time 64.5829 7.22346
Iteration 20  lb 285290 ub 15524611  cores 67 63 3  time 67.3641 7.70768
Iteration 21  lb 285292 ub 15524611  cores 69 65 2  time 69.8506 8.23663
Iteration 22  lb 285298 ub 15524611  cores 72 68 3  time 73.8734 8.71195
Iteration 23  lb 285303 ub 15524611  cores 74 70 2  time 76.055 9.14526
Iteration 24  lb 285304 ub 15524611  cores 76 72 2  time 79.1671 9.58109
Iteration 25  lb 285307 ub 15524611  cores 78 74 2  time 83.2753 10.3793
Iteration 26  lb 285310 ub 15524611  cores 80 76 2  time 84.306 10.8329
Iteration 27  lb 285310 ub 15524611  cores 82 78 2  time 86.1241 11.3096
Iteration 28  lb 285312 ub 15524611  cores 84 78 2  time 86.8804 12.3317
