lb 1408750 ub 24838093 before adjustment
lb 0 ub 23429343 after adjustment
costs ready
14 variables 105 functions 1408750 lb, 23429343 ub
Iteration 0  lb 1408817 ub 24838093  cores 5 5 5  time 85.3561 0.365315
Iteration 1  lb 1408845 ub 24838093  cores 10 10 5  time 118.312 0.800231
Iteration 2  lb 1408872 ub 24838093  cores 15 15 5  time 225.179 1.26412
Iteration 3  lb 1408910 ub 24838093  cores 19 19 4  time 253.665 1.7054
Iteration 4  lb 1408929 ub 24838093  cores 23 23 4  time 286.937 2.21481
Iteration 5  lb 1408950 ub 24838093  cores 27 27 4  time 306.125 2.66518
Iteration 6  lb 1408953 ub 24838093  cores 31 31 4  time 315.068 3.13123
Iteration 7  lb 1408966 ub 24838093  cores 36 35 5  time 323.103 3.63337
Iteration 8  lb 1408972 ub 24838093  cores 40 39 4  time 389.575 4.16586
Iteration 9  lb 1408996 ub 24838093  cores 45 44 5  time 423.456 4.77659
Iteration 10  lb 1409003 ub 24838093  cores 49 48 4  time 468.143 5.36114
Iteration 11  lb 1409013 ub 24838093  cores 53 52 4  time 531.208 5.92384
Iteration 12  lb 1409017 ub 24838093  cores 57 56 4  time 567.395 6.51173
Iteration 13  lb 1409100 ub 24838093  cores 62 60 5  time 589.234 7.21673
Iteration 14  lb 1409104 ub 24838093  cores 66 64 4  time 659.052 8.36431
Iteration 15  lb 1409109 ub 24838093  cores 70 67 4  time 672.89 9.81837
Iteration 16  lb 1409112 ub 24838093  cores 74 71 4  time 712.028 10.5522
Iteration 17  lb 1409120 ub 24838093  cores 78 75 4  time 776.627 11.5824
Iteration 18  lb 1409127 ub 24838093  cores 82 79 4  time 855.229 13.445
Iteration 19  lb 1409133 ub 24838093  cores 85 82 3  time 888.038 14.8165
Iteration 20  lb 1409147 ub 24838093  cores 89 86 4  time 953.329 16.5405
Iteration 21  lb 1409154 ub 24838093  cores 92 89 3  time 982.486 18.3355
Iteration 22  lb 1409161 ub 24838093  cores 96 93 4  time 1012.76 20.9391
Iteration 23  lb 1409165 ub 24838093  cores 100 97 4  time 1029.73 22.6778
Iteration 24  lb 1409168 ub 24838093  cores 104 101 4  time 1046.7 24.5115
Iteration 25  lb 1409173 ub 24838093  cores 108 104 4  time 1059.81 27.0314
Iteration 26  lb 1409176 ub 24838093  cores 112 108 4  time 1115.14 29.2623
Iteration 27  lb 1409180 ub 24838093  cores 116 112 4  time 1148.12 31.7099
Iteration 28  lb 1409187 ub 24838093  cores 120 116 4  time 1164.12 34.3904
Iteration 29  lb 1409190 ub 24838093  cores 124 120 4  time 1172.89 36.3655
Iteration 30  lb 1409195 ub 24838093  cores 128 123 4  time 1190.25 38.9173
Iteration 31  lb 1409195 ub 24838093  cores 131 126 3  time 1198.83 41.2351
Iteration 32  lb 1409202 ub 24838093  cores 135 130 4  time 1209.47 44.1795
Iteration 33  lb 1409214 ub 24838093  cores 140 135 5  time 1218.51 47.62
Iteration 34  lb 1409217 ub 24838093  cores 144 139 4  time 1225.8 50.644
Iteration 35  lb 1409219 ub 24838093  cores 148 143 4  time 1233.45 53.9513
Iteration 36  lb 1409220 ub 24838093  cores 151 146 3  time 1240.77 57.0026
Iteration 37  lb 1409221 ub 24838093  cores 154 149 3  time 1244.5 60.4901
Iteration 38  lb 1409223 ub 24838093  cores 158 153 4  time 1249.57 64.0752
Iteration 39  lb 1409226 ub 24838093  cores 161 156 3  time 1256.66 67.9206
Iteration 40  lb 1409228 ub 24838093  cores 164 159 3  time 1261.76 71.8198
Iteration 41  lb 1409233 ub 24838093  cores 168 163 4  time 1266.89 75.3481
Iteration 42  lb 1409234 ub 24838093  cores 172 166 4  time 1272.07 79.0587
Iteration 43  lb 1409239 ub 24838093  cores 175 169 3  time 1289.39 83.3011
Iteration 44  lb 1409240 ub 24838093  cores 178 172 3  time 1306.6 87.0703
Iteration 45  lb 1409241 ub 24838093  cores 181 175 3  time 1312.17 91.7293
Iteration 46  lb 1409243 ub 24838093  cores 185 179 4  time 1324.82 95.975
Iteration 47  lb 1409244 ub 24838093  cores 188 182 3  time 1328.4 100.302
Iteration 48  lb 1409246 ub 24838093  cores 192 186 4  time 1334.61 104.792
Iteration 49  lb 1409246 ub 24838093  cores 196 190 4  time 1366.25 109.628
Iteration 50  lb 1409252 ub 24838093  cores 199 193 3  time 1389.66 114.966
Iteration 51  lb 1409252 ub 24838093  cores 203 197 4  time 1396.37 121.185
Iteration 52  lb 1409253 ub 24838093  cores 206 200 3  time 1402.09 126.979
Iteration 53  lb 1409255 ub 24838093  cores 211 205 5  time 1415.2 132.165
Iteration 54  lb 1409258 ub 24838093  cores 214 208 3  time 1418.5 138.137
Iteration 55  lb 1409259 ub 24838093  cores 217 211 3  time 1429.18 144.881
Iteration 56  lb 1409261 ub 24838093  cores 221 215 4  time 1441.9 150.077
Iteration 57  lb 1409263 ub 24838093  cores 225 219 4  time 1568.62 156.943
Iteration 58  lb 1409264 ub 24838093  cores 228 222 3  time 1583.69 163.132
Iteration 59  lb 1409265 ub 24838093  cores 231 225 3  time 1587.32 169.535
Iteration 60  lb 1409266 ub 24838093  cores 234 228 3  time 1590.55 176.925
Iteration 61  lb 1409267 ub 24838093  cores 238 232 4  time 1595.67 183.777
Iteration 62  lb 1409269 ub 24838093  cores 242 236 4  time 1631.3 191.583
Iteration 63  lb 1409272 ub 24838093  cores 246 240 4  time 1652.54 198.204
Iteration 64  lb 1409273 ub 24838093  cores 250 244 4  time 1678.29 204.244
Iteration 65  lb 1409278 ub 24838093  cores 254 248 4  time 1733.29 211.149
Iteration 66  lb 1409279 ub 24838093  cores 258 252 4  time 1746.45 217.98
Iteration 67  lb 1409280 ub 24838093  cores 261 255 3  time 1752.96 225.57
Iteration 68  lb 1409280 ub 24838093  cores 263 257 2  time 1758.19 233.936
Iteration 69  lb 1409282 ub 24838093  cores 267 260 4  time 1766.72 242.068
Iteration 70  lb 1409282 ub 24838093  cores 270 263 3  time 1776.03 249.754
Iteration 71  lb 1409282 ub 24838093  cores 273 266 3  time 1790.92 257.243
Iteration 72  lb 1409284 ub 24838093  cores 276 269 3  time 1799.04 266.617
Iteration 73  lb 1409286 ub 24838093  cores 280 273 4  time 1807.02 276.986
Iteration 74  lb 1409286 ub 24838093  cores 283 276 3  time 1811.83 286.104
Iteration 75  lb 1409287 ub 24838093  cores 286 279 3  time 1823.13 296.361
Iteration 76  lb 1409288 ub 24838093  cores 289 281 3  time 1832.72 306.517
Iteration 77  lb 1409289 ub 24838093  cores 292 284 3  time 1839.37 316.7
Iteration 78  lb 1409289 ub 24838093  cores 296 288 4  time 1842.37 327.581
Iteration 79  lb 1409290 ub 24838093  cores 299 291 3  time 1851.63 338.169
Iteration 80  lb 1409290 ub 24838093  cores 302 294 3  time 1854.89 349.004
Iteration 81  lb 1409290 ub 24838093  cores 305 297 3  time 1859.7 360.202
Iteration 82  lb 1409291 ub 24838093  cores 308 300 3  time 1871.08 372.028
Iteration 83  lb 1409291 ub 24838093  cores 311 303 3  time 1874.8 384.196
Iteration 84  lb 1409292 ub 24838093  cores 314 306 3  time 1884.24 396.085
Iteration 85  lb 1409292 ub 24838093  cores 318 310 4  time 1986.57 408.345
Iteration 86  lb 1409292 ub 24838093  cores 322 314 4  time 2024.71 422.109
Iteration 87  lb 1409295 ub 24838093  cores 326 318 4  time 2067.41 433.475
Iteration 88  lb 1409298 ub 24838093  cores 330 322 4  time 2080.72 444.085
Iteration 89  lb 1409300 ub 24838093  cores 333 325 3  time 2087.48 458.645
Iteration 90  lb 1409301 ub 24838093  cores 336 328 3  time 2095.7 472.212
Iteration 91  lb 1409301 ub 24838093  cores 340 332 4  time 2101.98 486.118
Iteration 92  lb 1409301 ub 24838093  cores 344 336 4  time 2108.24 499.174
Iteration 93  lb 1409302 ub 24838093  cores 347 339 3  time 2116.44 512.538
Iteration 94  lb 1409307 ub 24838093  cores 352 344 5  time 2147.43 525.763
Iteration 95  lb 1409309 ub 24838093  cores 357 348 5  time 2162.13 535.406
Iteration 96  lb 1409313 ub 24838093  cores 360 351 3  time 2180.2 547.501
Iteration 97  lb 1409315 ub 24838093  cores 365 356 5  time 2263.11 560.876
Iteration 98  lb 1409322 ub 24838093  cores 369 360 4  time 2325.91 575.6
Iteration 99  lb 1409323 ub 24838093  cores 372 363 3  time 2348.68 589.988
Iteration 100  lb 1409323 ub 24838093  cores 375 366 3  time 2364.79 608.185
Iteration 101  lb 1409327 ub 24838093  cores 379 370 4  time 2379.87 623.422
Iteration 102  lb 1409327 ub 24838093  cores 383 373 4  time 2386.32 642.115
Iteration 103  lb 1409328 ub 24838093  cores 387 377 4  time 2392.79 660.144
Iteration 104  lb 1409328 ub 24838093  cores 390 380 3  time 2419.4 677.025
Iteration 105  lb 1409331 ub 24838093  cores 394 384 4  time 2438.55 700.941
Iteration 106  lb 1409332 ub 24838093  cores 397 387 3  time 2448.34 722.991
Iteration 107  lb 1409332 ub 24838093  cores 400 390 3  time 2462.75 744.454
Iteration 108  lb 1409333 ub 24838093  cores 403 393 3  time 2473.7 765.076
Iteration 109  lb 1409333 ub 24838093  cores 406 396 3  time 2482.59 788.244
Iteration 110  lb 1409334 ub 24838093  cores 409 399 3  time 2490.79 813.958
Iteration 111  lb 1409334 ub 24838093  cores 413 403 4  time 2499.02 837.093
Iteration 112  lb 1409335 ub 24838093  cores 416 406 3  time 2514.73 860.412
Iteration 113  lb 1409335 ub 24838093  cores 419 409 3  time 2531.58 880.836
Iteration 114  lb 1409336 ub 24838093  cores 422 412 3  time 2546.39 901.758
Iteration 115  lb 1409336 ub 24838093  cores 425 415 3  time 2557.57 922.283
Iteration 116  lb 1409337 ub 24838093  cores 428 418 3  time 2572.7 945.062
Iteration 117  lb 1409337 ub 24838093  cores 431 421 3  time 2579.36 969.631
