lb 1133567 ub 3340342 before adjustment
lb 0 ub 2206775 after adjustment
costs ready
21 variables 212 functions 1133567 lb, 2206775 ub
Iteration 0  lb 1133572 ub 3340342  cores 4 4 4  time 0.023642 0.01942
Iteration 1  lb 1133573 ub 3340342  cores 8 8 4  time 0.062395 0.043367
Iteration 2  lb 1133574 ub 3340342  cores 12 12 4  time 0.079533 0.069654
Iteration 3  lb 1133575 ub 3340342  cores 16 16 4  time 0.095374 0.094829
Iteration 4  lb 1133575 ub 3340342  cores 20 19 4  time 0.15326 0.119373
Iteration 5  lb 1133577 ub 3340342  cores 24 23 4  time 0.183392 0.147316
Iteration 6  lb 1133577 ub 3340342  cores 27 25 3  time 0.199949 0.176017
Iteration 7  lb 1133577 ub 3340342  cores 31 29 4  time 0.221946 0.204098
Iteration 8  lb 1133578 ub 3340342  cores 35 33 4  time 0.271644 0.234896
Iteration 9  lb 1133578 ub 3340342  cores 38 36 3  time 0.2923 0.272389
Iteration 10  lb 1133579 ub 3340342  cores 42 40 4  time 0.315789 0.311453
Iteration 11  lb 1133580 ub 3340342  cores 44 42 2  time 0.333337 0.365167
Iteration 12  lb 1133580 ub 3340342  cores 47 44 3  time 0.351428 0.41164
Iteration 13  lb 1133580 ub 3340342  cores 50 47 3  time 0.372781 0.470916
Iteration 14  lb 1133581 ub 3340342  cores 53 50 3  time 0.395852 0.538458
Iteration 15  lb 1133581 ub 3340342  cores 56 53 3  time 0.418118 0.611748
Iteration 16  lb 1133581 ub 3340342  cores 59 56 3  time 0.438847 0.70764
Iteration 17  lb 1133581 ub 3340342  cores 62 58 3  time 0.463034 0.816027
Iteration 18  lb 1133582 ub 3340342  cores 66 62 4  time 0.498907 0.896758
Iteration 19  lb 1133582 ub 3340342  cores 69 62 3  time 0.511987 0.978484
Iteration 20  lb 1133582 ub 3340342  cores 72 65 3  time 0.542843 1.0642
Iteration 21  lb 1133583 ub 3340342  cores 75 68 3  time 0.565441 1.18869
Iteration 22  lb 1133583 ub 3340342  cores 78 71 3  time 0.595433 1.29048
Iteration 23  lb 1133583 ub 3340342  cores 81 74 3  time 0.610885 1.36674
Iteration 24  lb 1133583 ub 3340342  cores 84 76 3  time 0.64331 1.50139
Iteration 25  lb 1133583 ub 3340342  cores 87 79 3  time 0.656741 1.65388
Iteration 26  lb 1133583 ub 3340342  cores 89 81 2  time 0.665815 1.78243
Iteration 27  lb 1133583 ub 3340342  cores 92 84 3  time 0.68093 1.88731
Iteration 28  lb 1133583 ub 3340342  cores 95 87 3  time 0.702576 2.03771
Iteration 29  lb 1133583 ub 3340342  cores 97 88 2  time 0.712863 2.14436
Iteration 30  lb 1133583 ub 3340342  cores 100 90 3  time 0.728744 2.25893
Iteration 31  lb 1133584 ub 3340342  cores 102 92 2  time 0.733196 2.3852
Iteration 32  lb 1133584 ub 3340342  cores 105 94 3  time 0.779351 2.49594
Iteration 33  lb 1133584 ub 3340342  cores 107 96 2  time 0.800942 2.60056
Iteration 34  lb 1133584 ub 3340342  cores 110 99 3  time 0.83154 2.71117
Iteration 35  lb 1133584 ub 3340342  cores 112 101 2  time 0.861794 2.90423
Iteration 36  lb 1133584 ub 3340342  cores 115 104 3  time 0.881959 3.01997
Iteration 37  lb 1133584 ub 3340342  cores 118 107 3  time 0.905987 3.13312
Iteration 38  lb 1133585 ub 3340342  cores 121 110 3  time 0.919566 3.25427
Iteration 39  lb 1133585 ub 3340342  cores 123 112 2  time 0.930514 3.37631
Iteration 40  lb 1133585 ub 3340342  cores 126 115 3  time 0.957971 3.48863
Iteration 41  lb 1133585 ub 3340342  cores 129 118 3  time 0.976073 3.66212
Iteration 42  lb 1133585 ub 3340342  cores 132 121 3  time 0.995786 3.788
Iteration 43  lb 1133586 ub 3340342  cores 134 123 2  time 1.00634 3.91703
Iteration 44  lb 1133586 ub 3340342  cores 137 125 3  time 1.02257 4.15718
Iteration 45  lb 1133586 ub 3340342  cores 139 126 2  time 1.02916 4.29763
Iteration 46  lb 1133586 ub 3340342  cores 142 129 3  time 1.04565 4.5324
Iteration 47  lb 1133586 ub 3340342  cores 145 132 3  time 1.05994 4.7717
Iteration 48  lb 1133586 ub 3340342  cores 147 132 2  time 1.06508 5.03316
Iteration 49  lb 1133586 ub 3340342  cores 149 134 2  time 1.08504 5.1739
Iteration 50  lb 1133586 ub 3340342  cores 151 136 2  time 1.09949 5.40892
Iteration 51  lb 1133586 ub 3340342  cores 154 138 3  time 1.11229 5.65689
Iteration 52  lb 1133587 ub 3340342  cores 157 140 3  time 1.15077 5.79268
Iteration 53  lb 1133587 ub 3340342  cores 159 142 2  time 1.15616 5.93207
Iteration 54  lb 1133587 ub 3340342  cores 161 144 2  time 1.16275 6.06447
Iteration 55  lb 1133587 ub 3340342  cores 164 147 3  time 1.17957 6.29306
Iteration 56  lb 1133587 ub 3340342  cores 166 149 2  time 1.19182 6.43275
Iteration 57  lb 1133588 ub 3340342  cores 169 152 3  time 1.23153 6.77711
Iteration 58  lb 1133588 ub 3340342  cores 171 154 2  time 1.24616 6.96854
Iteration 59  lb 1133588 ub 3340342  cores 174 157 3  time 1.26668 7.25753
Iteration 60  lb 1133588 ub 3340342  cores 177 160 3  time 1.28227 7.44595
Iteration 61  lb 1133588 ub 3340342  cores 180 161 3  time 1.29279 7.76136
Iteration 62  lb 1133589 ub 3340342  cores 184 163 4  time 1.30778 8.0462
Iteration 63  lb 1133589 ub 3340342  cores 186 165 2  time 1.31513 8.68436
Iteration 64  lb 1133589 ub 3340342  cores 188 166 2  time 1.32601 9.09161
Iteration 65  lb 1133589 ub 3340342  cores 191 169 3  time 1.35041 9.58762
Iteration 66  lb 1133589 ub 3340342  cores 193 171 2  time 1.36381 10.0155
Iteration 67  lb 1133589 ub 3340342  cores 195 173 2  time 1.37 10.5599
Iteration 68  lb 1133589 ub 3340342  cores 198 175 3  time 1.51024 10.989
Iteration 69  lb 1133589 ub 3340342  cores 201 178 3  time 1.53907 11.2824
Iteration 70  lb 1133589 ub 3340342  cores 204 180 3  time 1.56076 11.7614
