lb 4006066 ub 20191168 before adjustment
lb 0 ub 16185102 after adjustment
costs ready
38 variables 672 functions 4006066 lb, 16185102 ub
Iteration 0  lb 4006085 ub 20191168  cores 14 14 14  time 11.7705 0.227307
Iteration 1  lb 4006101 ub 20191168  cores 28 27 14  time 26.8566 0.510452
Iteration 2  lb 4006128 ub 20191168  cores 42 41 14  time 67.1848 0.809397
Iteration 3  lb 4006169 ub 20191168  cores 55 54 13  time 76.1346 1.12323
Iteration 4  lb 4006179 ub 20191168  cores 67 66 12  time 113.547 1.48544
Iteration 5  lb 4006182 ub 20191168  cores 79 78 12  time 125.517 1.89037
Iteration 6  lb 4006214 ub 20191168  cores 92 91 13  time 145.373 2.37886
Iteration 7  lb 4006224 ub 20191168  cores 105 104 13  time 157.464 2.91132
Iteration 8  lb 4006236 ub 20191168  cores 117 116 12  time 176.662 3.36433
Iteration 9  lb 4006244 ub 20191168  cores 129 128 12  time 198.35 4.65569
Iteration 10  lb 4006254 ub 20191168  cores 143 142 14  time 208.48 5.90752
Iteration 11  lb 4006267 ub 20191168  cores 155 154 12  time 224.503 7.65774
Iteration 12  lb 4006275 ub 20191168  cores 169 168 14  time 249.433 9.43727
Iteration 13  lb 4006286 ub 20191168  cores 183 182 14  time 271.015 13.4408
Iteration 14  lb 4006291 ub 20191168  cores 195 194 12  time 308.5 17.4219
Iteration 15  lb 4006296 ub 20191168  cores 207 206 12  time 320.694 21.816
Iteration 16  lb 4006301 ub 20191168  cores 220 218 13  time 365.605 27.519
Iteration 17  lb 4006306 ub 20191168  cores 230 228 10  time 376.372 34.0626
Iteration 18  lb 4006310 ub 20191168  cores 241 239 11  time 395.142 44.094
Iteration 19  lb 4006317 ub 20191168  cores 252 250 11  time 405.116 51.1222
Iteration 20  lb 4006335 ub 20191168  cores 266 264 14  time 425.273 57.4952
Iteration 21  lb 4006343 ub 20191168  cores 276 274 10  time 437.993 68.101
Iteration 22  lb 4006347 ub 20191168  cores 286 284 10  time 450.821 84.7151
Iteration 23  lb 4006352 ub 20191168  cores 296 294 10  time 463.545 92.7016
Iteration 24  lb 4006360 ub 20191168  cores 307 304 11  time 482.079 103.903
Iteration 25  lb 4006364 ub 20191168  cores 320 317 13  time 549.824 121.571
Iteration 26  lb 4006367 ub 20191168  cores 332 329 12  time 565.725 140.689
Iteration 27  lb 4006373 ub 20191168  cores 344 341 12  time 579.215 161.78
Iteration 28  lb 4006376 ub 20191168  cores 354 351 10  time 597.802 180.136
Iteration 29  lb 4006380 ub 20191168  cores 364 361 10  time 622.696 217.035
Iteration 30  lb 4006386 ub 20191168  cores 376 373 12  time 635.547 236.079
Iteration 31  lb 4006388 ub 20191168  cores 388 385 12  time 655.818 252.035
Iteration 32  lb 4006404 ub 20191168  cores 401 398 13  time 686.382 275.91
Iteration 33  lb 4006412 ub 20191168  cores 413 409 12  time 700.179 313.272
Iteration 34  lb 4006416 ub 20191168  cores 424 420 11  time 709.687 359.534
Iteration 35  lb 4006439 ub 20191168  cores 435 431 11  time 727.769 382.899
Iteration 36  lb 4006444 ub 20191168  cores 444 440 9  time 736.948 432.11
Iteration 37  lb 4006446 ub 20191168  cores 456 452 12  time 766.362 567.481
Iteration 38  lb 4006450 ub 20191168  cores 469 465 13  time 793.232 608.49
Iteration 39  lb 4006458 ub 20191168  cores 479 475 10  time 821.619 920.602
Iteration 40  lb 4006463 ub 20191168  cores 491 487 12  time 833.734 1196.91
Iteration 41  lb 4006466 ub 20191168  cores 502 497 11  time 844.734 1412.7
Iteration 42  lb 4006466 ub 20191168  cores 511 506 9  time 854.29 1606.47
Iteration 43  lb 4006472 ub 20191168  cores 521 516 10  time 865.68 1796.51
Iteration 44  lb 4006474 ub 20191168  cores 532 527 11  time 882.89 1991.57
Iteration 45  lb 4006478 ub 20191168  cores 541 536 9  time 902.943 2271.28
