lb 4959796 ub 10894870 before adjustment
lb 0 ub 5935074 after adjustment
costs ready
35 variables 522 functions 4959796 lb, 5935074 ub
Iteration 0  lb 4959801 ub 10894870  cores 3 3 3  time 0.413871 0.061662
Iteration 1  lb 4959802 ub 10894870  cores 7 7 4  time 1.02038 0.136111
Iteration 2  lb 4959803 ub 10894870  cores 11 11 4  time 1.4885 0.21899
Iteration 3  lb 4959803 ub 10894870  cores 15 15 4  time 1.69711 0.304808
Iteration 4  lb 4959804 ub 10894870  cores 18 17 3  time 1.86035 0.39472
Iteration 5  lb 4959804 ub 10894870  cores 21 20 3  time 2.11922 0.492001
Iteration 6  lb 4959804 ub 10894870  cores 24 23 3  time 2.47112 0.585189
Iteration 7  lb 4959805 ub 10894870  cores 27 26 3  time 2.59213 0.693566
Iteration 8  lb 4959805 ub 10894870  cores 30 29 3  time 3.70896 0.799823
Iteration 9  lb 4959819 ub 10894870  cores 34 33 4  time 4.21264 0.898329
Iteration 10  lb 4959819 ub 10894870  cores 37 36 3  time 4.47758 1.00155
Iteration 11  lb 4959819 ub 10894870  cores 39 38 2  time 4.58992 1.10438
Iteration 12  lb 4959820 ub 10894870  cores 42 41 3  time 5.08336 1.21663
Iteration 13  lb 4959820 ub 10894870  cores 44 43 2  time 5.29556 1.33275
Iteration 14  lb 4959822 ub 10894870  cores 47 46 3  time 5.62043 1.47253
Iteration 15  lb 4959822 ub 10894870  cores 50 49 3  time 5.86615 1.59937
Iteration 16  lb 4959822 ub 10894870  cores 53 51 3  time 6.03589 1.73209
Iteration 17  lb 4959825 ub 10894870  cores 56 54 3  time 7.25628 1.85312
Iteration 18  lb 4959827 ub 10894870  cores 59 57 3  time 7.79443 1.99856
Iteration 19  lb 4959827 ub 10894870  cores 62 60 3  time 8.01855 2.11268
Iteration 20  lb 4959828 ub 10894870  cores 66 64 4  time 12.5006 2.24399
Iteration 21  lb 4959829 ub 10894870  cores 70 67 4  time 14.0616 2.42922
Iteration 22  lb 4959829 ub 10894870  cores 72 69 2  time 14.2991 2.59379
Iteration 23  lb 4959829 ub 10894870  cores 75 72 3  time 14.6848 2.76757
Iteration 24  lb 4959830 ub 10894870  cores 79 76 4  time 15.6703 2.95514
Iteration 25  lb 4959830 ub 10894870  cores 82 79 3  time 16.3147 3.13446
Iteration 26  lb 4959830 ub 10894870  cores 85 82 3  time 16.4145 3.33822
Iteration 27  lb 4959830 ub 10894870  cores 88 85 3  time 16.6437 3.52684
Iteration 28  lb 4959830 ub 10894870  cores 91 88 3  time 16.9071 3.72012
Iteration 29  lb 4959830 ub 10894870  cores 94 91 3  time 17.1487 3.8835
Iteration 30  lb 4959830 ub 10894870  cores 98 95 4  time 17.4492 4.06978
Iteration 31  lb 4959831 ub 10894870  cores 101 98 3  time 18.0783 4.26985
Iteration 32  lb 4959831 ub 10894870  cores 105 101 4  time 18.3679 4.4474
Iteration 33  lb 4959832 ub 10894870  cores 107 103 2  time 20.2221 4.61977
Iteration 34  lb 4959832 ub 10894870  cores 110 106 3  time 20.6991 4.79328
Iteration 35  lb 4959833 ub 10894870  cores 113 109 3  time 21.604 4.96857
Iteration 36  lb 4959834 ub 10894870  cores 116 112 3  time 21.7694 5.16016
Iteration 37  lb 4959834 ub 10894870  cores 119 114 3  time 22.2537 5.40018
Iteration 38  lb 4959834 ub 10894870  cores 122 117 3  time 22.9571 5.64171
Iteration 39  lb 4959834 ub 10894870  cores 124 119 2  time 23.4647 5.98031
