lb 3895033 ub 26738806 before adjustment
lb 0 ub 22843773 after adjustment
costs ready
42 variables 822 functions 3895033 lb, 22843773 ub
Iteration 0  lb 3895050 ub 26738806  cores 16 16 16  time 4.43518 0.266331
Iteration 1  lb 3895052 ub 26738806  cores 28 28 12  time 10.9898 0.604049
Iteration 2  lb 3895056 ub 26738806  cores 40 40 12  time 14.7454 0.955578
Iteration 3  lb 3895057 ub 26738806  cores 52 52 12  time 23.7247 1.339
Iteration 4  lb 3895059 ub 26738806  cores 63 63 11  time 27.0225 1.76524
Iteration 5  lb 3895061 ub 26738806  cores 75 75 12  time 33.9581 2.25721
Iteration 6  lb 3895061 ub 26738806  cores 84 84 9  time 41.3771 2.84653
Iteration 7  lb 3895063 ub 26738806  cores 95 95 11  time 46.2227 3.41959
Iteration 8  lb 3895066 ub 26738806  cores 106 106 11  time 52.0568 4.28805
Iteration 9  lb 3895067 ub 26738806  cores 116 116 10  time 60.1529 5.27233
Iteration 10  lb 3895068 ub 26738806  cores 126 126 10  time 65.0556 6.65398
Iteration 11  lb 3895069 ub 26738806  cores 137 137 11  time 70.4045 9.17655
Iteration 12  lb 3895069 ub 26738806  cores 146 146 9  time 75.5363 11.0308
Iteration 13  lb 3895071 ub 26738806  cores 155 155 9  time 84.4984 12.3523
Iteration 14  lb 3895072 ub 26738806  cores 164 164 9  time 91.1843 14.9912
Iteration 15  lb 3895073 ub 26738806  cores 173 173 9  time 94.3165 22.0875
Iteration 16  lb 3895074 ub 26738806  cores 181 181 8  time 98.6798 30.5641
Iteration 17  lb 3895075 ub 26738806  cores 190 190 9  time 101.911 42.0022
Iteration 18  lb 3895075 ub 26738806  cores 199 199 9  time 104.535 57.8001
Iteration 19  lb 3895077 ub 26738806  cores 208 208 9  time 108.949 61.6048
Iteration 20  lb 3895077 ub 26738806  cores 216 216 8  time 113.977 66.0701
Iteration 21  lb 3895081 ub 26738806  cores 226 226 10  time 123.732 71.4121
Iteration 22  lb 3895082 ub 26738806  cores 235 235 9  time 126.986 95.4223
Iteration 23  lb 3895083 ub 26738806  cores 245 245 10  time 134.279 138.001
Iteration 24  lb 3895084 ub 26738806  cores 255 255 10  time 138.77 167.451
Iteration 25  lb 3895086 ub 26738806  cores 266 266 11  time 146.179 226.836
Iteration 26  lb 3895088 ub 26738806  cores 276 275 10  time 150.36 251.345
Iteration 27  lb 3895088 ub 26738806  cores 285 284 9  time 156.109 283.812
Iteration 28  lb 3895089 ub 26738806  cores 293 292 8  time 160.191 389.514
Iteration 29  lb 3895089 ub 26738806  cores 301 300 8  time 164.739 439.553
Iteration 30  lb 3895090 ub 26738806  cores 310 309 9  time 170.006 539.752
Iteration 31  lb 3895090 ub 26738806  cores 321 320 11  time 177.931 606.066
Iteration 32  lb 3895091 ub 26738806  cores 332 331 11  time 184.726 739.436
Iteration 33  lb 3895092 ub 26738806  cores 344 343 12  time 190.059 884.678
Iteration 34  lb 3895092 ub 26738806  cores 353 352 9  time 196.145 1157.43
Iteration 35  lb 3895093 ub 26738806  cores 362 361 9  time 201.937 1289.96
Iteration 36  lb 3895094 ub 26738806  cores 370 369 8  time 206.115 1506.09
Iteration 37  lb 3895094 ub 26738806  cores 379 378 9  time 209.688 1912.06
Iteration 38  lb 3895095 ub 26738806  cores 390 389 11  time 216.65 2223.78
Iteration 39  lb 3895096 ub 26738806  cores 398 396 8  time 220.304 2454.78
Iteration 40  lb 3895097 ub 26738806  cores 407 405 9  time 225.561 2792.96
Iteration 41  lb 3895098 ub 26738806  cores 416 414 9  time 229.516 3311.85
