lb 2563930 ub 27726074 before adjustment
lb 0 ub 25162144 after adjustment
costs ready
36 variables 659 functions 2563930 lb, 25162144 ub
Iteration 0  lb 2563988 ub 27726074  cores 25 25 25  time 49.5552 0.353482
Iteration 1  lb 2564016 ub 27726074  cores 49 49 24  time 85.3105 0.795856
Iteration 2  lb 2564072 ub 27726074  cores 75 74 26  time 128.331 1.27369
Iteration 3  lb 2564086 ub 27726074  cores 97 96 22  time 158.824 1.79408
Iteration 4  lb 2564154 ub 27726074  cores 120 118 23  time 192.613 2.3426
Iteration 5  lb 2564178 ub 27726074  cores 141 139 21  time 229.18 2.99618
Iteration 6  lb 2564194 ub 27726074  cores 163 161 22  time 267.447 3.74214
Iteration 7  lb 2564212 ub 27726074  cores 185 182 22  time 294.085 5.31701
Iteration 8  lb 2564236 ub 27726074  cores 208 205 23  time 329.985 8.32586
Iteration 9  lb 2564261 ub 27726074  cores 232 229 24  time 364.225 11.7846
Iteration 10  lb 2564272 ub 27726074  cores 256 253 24  time 396.987 17.3643
Iteration 11  lb 2564316 ub 27726074  cores 279 276 23  time 465.555 22.6858
Iteration 12  lb 2564340 ub 27726074  cores 301 298 22  time 532.77 28.8165
Iteration 13  lb 2564348 ub 27726074  cores 323 320 22  time 578.57 35.5006
Iteration 14  lb 2564362 ub 27726074  cores 345 342 22  time 609.949 51.1018
Iteration 15  lb 2564448 ub 27726074  cores 369 365 24  time 634.808 58.1842
Iteration 16  lb 2564474 ub 27726074  cores 393 388 24  time 657.832 80.5333
Iteration 17  lb 2564489 ub 27726074  cores 415 410 22  time 691.058 230.204
Iteration 18  lb 2564492 ub 27726074  cores 436 429 21  time 719.449 318.06
Iteration 19  lb 2564506 ub 27726074  cores 458 451 22  time 750.968 461.356
Iteration 20  lb 2564519 ub 27726074  cores 481 473 23  time 829.234 754.197
Iteration 21  lb 2564531 ub 27726074  cores 503 494 22  time 855.048 1153.44
Iteration 22  lb 2564550 ub 27726074  cores 526 516 23  time 917.245 1517.92
Iteration 23  lb 2564561 ub 27726074  cores 547 536 21  time 983.57 2096.99
Iteration 24  lb 2564580 ub 27726074  cores 569 558 22  time 1012.3 2493.94
