lb 3750102 ub 8645139 before adjustment
lb 0 ub 4895037 after adjustment
costs ready
29 variables 349 functions 3750102 lb, 4895037 ub
Iteration 0  lb 3750107 ub 8645139  cores 4 4 4  time 0.110186 0.040869
Iteration 1  lb 3750113 ub 8645139  cores 9 9 5  time 0.299945 0.089572
Iteration 2  lb 3750114 ub 8645139  cores 13 13 4  time 0.352015 0.140965
Iteration 3  lb 3750115 ub 8645139  cores 17 16 4  time 0.397348 0.195034
Iteration 4  lb 3750119 ub 8645139  cores 21 20 4  time 0.541842 0.250117
Iteration 5  lb 3750119 ub 8645139  cores 24 23 3  time 0.583129 0.307448
Iteration 6  lb 3750120 ub 8645139  cores 27 26 3  time 0.636713 0.375831
Iteration 7  lb 3750120 ub 8645139  cores 30 29 3  time 0.763949 0.436923
Iteration 8  lb 3750122 ub 8645139  cores 34 33 4  time 0.877511 0.514024
Iteration 9  lb 3750122 ub 8645139  cores 37 36 3  time 1.16219 0.581922
Iteration 10  lb 3750124 ub 8645139  cores 40 39 3  time 1.28085 0.671725
Iteration 11  lb 3750125 ub 8645139  cores 43 41 3  time 1.35018 0.777911
Iteration 12  lb 3750125 ub 8645139  cores 46 44 3  time 1.39348 0.875974
Iteration 13  lb 3750125 ub 8645139  cores 49 47 3  time 1.46246 0.976065
Iteration 14  lb 3750125 ub 8645139  cores 52 50 3  time 1.52937 1.10132
Iteration 15  lb 3750126 ub 8645139  cores 55 53 3  time 1.55002 1.25651
Iteration 16  lb 3750126 ub 8645139  cores 57 55 2  time 1.57731 1.4171
Iteration 17  lb 3750126 ub 8645139  cores 60 58 3  time 1.60534 1.58144
Iteration 18  lb 3750126 ub 8645139  cores 63 61 3  time 1.62701 1.74179
Iteration 19  lb 3750126 ub 8645139  cores 66 64 3  time 1.65131 1.89393
Iteration 20  lb 3750126 ub 8645139  cores 69 67 3  time 1.67316 2.04691
Iteration 21  lb 3750127 ub 8645139  cores 72 70 3  time 1.70268 2.19048
Iteration 22  lb 3750127 ub 8645139  cores 75 73 3  time 1.77186 2.38391
Iteration 23  lb 3750127 ub 8645139  cores 78 76 3  time 1.81211 2.51905
Iteration 24  lb 3750127 ub 8645139  cores 81 79 3  time 1.92213 2.71051
Iteration 25  lb 3750127 ub 8645139  cores 84 82 3  time 2.01586 2.88055
Iteration 26  lb 3750127 ub 8645139  cores 87 85 3  time 2.10343 3.08475
Iteration 27  lb 3750127 ub 8645139  cores 90 88 3  time 2.18014 3.27745
Iteration 28  lb 3750128 ub 8645139  cores 93 91 3  time 2.24857 3.47251
Iteration 29  lb 3750128 ub 8645139  cores 96 94 3  time 2.33749 3.77274
Iteration 30  lb 3750128 ub 8645139  cores 99 97 3  time 2.41223 4.0974
Iteration 31  lb 3750128 ub 8645139  cores 103 100 4  time 2.49767 4.2894
Iteration 32  lb 3750128 ub 8645139  cores 106 103 3  time 2.53296 4.607
Iteration 33  lb 3750128 ub 8645139  cores 109 106 3  time 2.58291 4.92222
Iteration 34  lb 3750128 ub 8645139  cores 112 109 3  time 2.62589 5.2594
Iteration 35  lb 3750128 ub 8645139  cores 115 112 3  time 2.68415 5.5793
Iteration 36  lb 3750128 ub 8645139  cores 118 114 3  time 2.7306 6.05648
Iteration 37  lb 3750129 ub 8645139  cores 121 117 3  time 2.78697 6.67095
Iteration 38  lb 3750129 ub 8645139  cores 124 119 3  time 2.83448 7.22051
Iteration 39  lb 3750129 ub 8645139  cores 127 121 3  time 2.85584 7.78849
Iteration 40  lb 3750129 ub 8645139  cores 130 124 3  time 2.89909 8.36476
Iteration 41  lb 3750129 ub 8645139  cores 133 126 3  time 2.93126 8.97164
Iteration 42  lb 3750129 ub 8645139  cores 137 130 4  time 2.98128 9.5788
Iteration 43  lb 3750129 ub 8645139  cores 140 133 3  time 3.02517 9.95252
Iteration 44  lb 3750129 ub 8645139  cores 143 136 3  time 3.04432 10.3196
Iteration 45  lb 3750129 ub 8645139  cores 146 139 3  time 3.0897 10.8334
Iteration 46  lb 3750129 ub 8645139  cores 149 141 3  time 3.10786 11.3219
Iteration 47  lb 3750129 ub 8645139  cores 152 144 3  time 3.14145 12.0545
Iteration 48  lb 3750129 ub 8645139  cores 155 147 3  time 3.18247 12.722
Iteration 49  lb 3750129 ub 8645139  cores 158 150 3  time 3.22758 13.4639
Iteration 50  lb 3750129 ub 8645139  cores 161 153 3  time 3.26229 14.0432
Iteration 51  lb 3750129 ub 8645139  cores 164 156 3  time 3.49147 14.5763
Iteration 52  lb 3750130 ub 8645139  cores 167 159 3  time 3.64963 15.034
Iteration 53  lb 3750130 ub 8645139  cores 170 162 3  time 3.70715 15.6015
Iteration 54  lb 3750130 ub 8645139  cores 173 165 3  time 3.78999 16.1745
Iteration 55  lb 3750130 ub 8645139  cores 176 168 3  time 3.88852 16.641
Iteration 56  lb 3750131 ub 8645139  cores 179 171 3  time 3.96176 17.2129
Iteration 57  lb 3750131 ub 8645139  cores 182 174 3  time 4.0698 17.8119
Iteration 58  lb 3750131 ub 8645139  cores 185 177 3  time 4.11723 18.4954
Iteration 59  lb 3750131 ub 8645139  cores 189 181 4  time 4.28349 18.896
Iteration 60  lb 3750131 ub 8645139  cores 192 184 3  time 4.4266 19.4275
Iteration 61  lb 3750132 ub 8645139  cores 194 186 2  time 4.53328 20.1675
Iteration 62  lb 3750132 ub 8645139  cores 197 189 3  time 4.63472 21.0272
Iteration 63  lb 3750132 ub 8645139  cores 200 192 3  time 4.78031 21.9968
Iteration 64  lb 3750133 ub 8645139  cores 203 195 3  time 4.9911 22.8317
Iteration 65  lb 3750133 ub 8645139  cores 207 199 4  time 5.04247 23.6736
Iteration 66  lb 3750133 ub 8645139  cores 210 202 3  time 5.15022 24.444
Iteration 67  lb 3750133 ub 8645139  cores 213 205 3  time 5.21809 25.6577
Iteration 68  lb 3750133 ub 8645139  cores 216 208 3  time 5.41328 26.3977
Iteration 69  lb 3750133 ub 8645139  cores 219 211 3  time 5.57418 27.3171
Iteration 70  lb 3750134 ub 8645139  cores 223 215 4  time 5.73611 28.2337
Iteration 71  lb 3750134 ub 8645139  cores 226 218 3  time 5.84549 29.6837
Iteration 72  lb 3750134 ub 8645139  cores 229 221 3  time 5.92883 30.6714
Iteration 73  lb 3750134 ub 8645139  cores 232 224 3  time 5.99373 31.7018
Iteration 74  lb 3750134 ub 8645139  cores 235 227 3  time 6.09321 32.6659
Iteration 75  lb 3750134 ub 8645139  cores 238 230 3  time 6.16236 33.6683
Iteration 76  lb 3750135 ub 8645139  cores 241 233 3  time 6.21187 35.6245
Iteration 77  lb 3750135 ub 8645139  cores 244 236 3  time 6.35524 36.8503
Iteration 78  lb 3750135 ub 8645139  cores 247 239 3  time 6.4245 39.4419
Iteration 79  lb 3750136 ub 8645139  cores 250 242 3  time 6.46083 42.1843
Iteration 80  lb 3750136 ub 8645139  cores 253 245 3  time 6.53555 44.3073
Iteration 81  lb 3750136 ub 8645139  cores 256 248 3  time 6.67309 46.5318
Iteration 82  lb 3750136 ub 8645139  cores 259 250 3  time 6.69924 48.0063
Iteration 83  lb 3750136 ub 8645139  cores 262 253 3  time 6.72339 50.5346
Iteration 84  lb 3750136 ub 8645139  cores 265 256 3  time 6.75325 53.0759
Iteration 85  lb 3750136 ub 8645139  cores 268 259 3  time 6.86357 55.6785
Iteration 86  lb 3750136 ub 8645139  cores 271 262 3  time 6.91513 57.9262
Iteration 87  lb 3750136 ub 8645139  cores 275 266 4  time 6.95745 60.5436
Iteration 88  lb 3750136 ub 8645139  cores 277 268 2  time 6.96828 62.9382
Iteration 89  lb 3750136 ub 8645139  cores 281 271 4  time 7.0693 65.3855
Iteration 90  lb 3750136 ub 8645139  cores 284 274 3  time 7.19642 67.683
Iteration 91  lb 3750136 ub 8645139  cores 287 277 3  time 7.32612 70.31
Iteration 92  lb 3750136 ub 8645139  cores 290 280 3  time 7.37505 72.7729
Iteration 93  lb 3750136 ub 8645139  cores 293 283 3  time 7.41692 76.2348
Iteration 94  lb 3750136 ub 8645139  cores 296 286 3  time 7.50229 79.9923
Iteration 95  lb 3750137 ub 8645139  cores 299 289 3  time 7.52773 83.7166
Iteration 96  lb 3750137 ub 8645139  cores 302 292 3  time 7.65345 86.8554
Iteration 97  lb 3750137 ub 8645139  cores 306 296 4  time 7.73111 89.98
Iteration 98  lb 3750137 ub 8645139  cores 309 299 3  time 7.86861 93.5429
Iteration 99  lb 3750137 ub 8645139  cores 312 302 3  time 7.9895 96.3442
Iteration 100  lb 3750137 ub 8645139  cores 315 305 3  time 8.06407 99.1998
Iteration 101  lb 3750137 ub 8645139  cores 318 308 3  time 8.45456 102.356
Iteration 102  lb 3750137 ub 8645139  cores 321 311 3  time 8.53196 103.897
Iteration 103  lb 3750137 ub 8645139  cores 323 313 2  time 8.54913 106.632
Iteration 104  lb 3750137 ub 8645139  cores 326 316 3  time 8.58788 108.499
Iteration 105  lb 3750137 ub 8645139  cores 329 318 3  time 8.6386 109.894
Iteration 106  lb 3750137 ub 8645139  cores 332 321 3  time 8.68966 112.508
Iteration 107  lb 3750137 ub 8645139  cores 335 324 3  time 8.76255 114.108
Iteration 108  lb 3750137 ub 8645139  cores 338 327 3  time 8.79275 115.812
Iteration 109  lb 3750137 ub 8645139  cores 341 330 3  time 8.83644 118.415
Iteration 110  lb 3750137 ub 8645139  cores 344 333 3  time 8.93849 119.984
Iteration 111  lb 3750138 ub 8645139  cores 347 334 3  time 9.03275 122.069
Iteration 112  lb 3750138 ub 8645139  cores 350 337 3  time 9.11194 124.043
Iteration 113  lb 3750138 ub 8645139  cores 353 340 3  time 9.14478 126.6
Iteration 114  lb 3750138 ub 8645139  cores 356 343 3  time 9.19546 129.563
Iteration 115  lb 3750138 ub 8645139  cores 359 346 3  time 9.26935 132.7
Iteration 116  lb 3750138 ub 8645139  cores 362 349 3  time 9.29961 135.048
Iteration 117  lb 3750138 ub 8645139  cores 365 352 3  time 9.36997 138.589
Iteration 118  lb 3750138 ub 8645139  cores 368 355 3  time 9.4741 141.108
Iteration 119  lb 3750138 ub 8645139  cores 371 358 3  time 9.53604 143.941
Iteration 120  lb 3750138 ub 8645139  cores 374 361 3  time 9.74354 147.928
Iteration 121  lb 3750139 ub 8645139  cores 377 364 3  time 9.77593 152.557
Iteration 122  lb 3750139 ub 8645139  cores 380 367 3  time 9.83693 156.573
Iteration 123  lb 3750139 ub 8645139  cores 383 370 3  time 9.88629 160.553
Iteration 124  lb 3750139 ub 8645139  cores 386 372 3  time 9.95136 163.764
Iteration 125  lb 3750139 ub 8645139  cores 389 375 3  time 9.96784 167.88
Iteration 126  lb 3750139 ub 8645139  cores 392 378 3  time 10.0239 171.912
Iteration 127  lb 3750139 ub 8645139  cores 395 381 3  time 10.1287 174.993
Iteration 128  lb 3750139 ub 8645139  cores 398 384 3  time 10.226 178.609
Iteration 129  lb 3750139 ub 8645139  cores 400 386 2  time 10.2852 182.361
Iteration 130  lb 3750139 ub 8645139  cores 404 390 4  time 10.3562 185.445
Iteration 131  lb 3750139 ub 8645139  cores 406 392 2  time 10.3889 188.202
Iteration 132  lb 3750139 ub 8645139  cores 408 394 2  time 10.4213 191.874
Iteration 133  lb 3750139 ub 8645139  cores 412 397 4  time 10.4834 195.405
Iteration 134  lb 3750139 ub 8645139  cores 415 400 3  time 10.5412 199.228
Iteration 135  lb 3750139 ub 8645139  cores 417 402 2  time 10.5921 202.03
Iteration 136  lb 3750139 ub 8645139  cores 420 405 3  time 10.6813 205.757
Iteration 137  lb 3750139 ub 8645139  cores 422 407 2  time 10.7052 209.455
Iteration 138  lb 3750140 ub 8645139  cores 424 409 2  time 10.7456 212.133
Iteration 139  lb 3750140 ub 8645139  cores 427 412 3  time 10.8106 214.165
Iteration 140  lb 3750140 ub 8645139  cores 429 414 2  time 10.8451 216.155
Iteration 141  lb 3750141 ub 8645139  cores 432 417 3  time 10.8856 219.338
Iteration 142  lb 3750141 ub 8645139  cores 435 420 3  time 10.985 222.681
Iteration 143  lb 3750141 ub 8645139  cores 438 423 3  time 11.0544 224.723
Iteration 144  lb 3750142 ub 8645139  cores 441 426 3  time 11.1215 228.351
Iteration 145  lb 3750142 ub 8645139  cores 444 429 3  time 11.1786 231.79
Iteration 146  lb 3750142 ub 8645139  cores 447 432 3  time 11.2737 234.955
Iteration 147  lb 3750143 ub 8645139  cores 450 435 3  time 11.3497 238.609
Iteration 148  lb 3750143 ub 8645139  cores 453 437 3  time 11.4616 242.539
