lb 1183306 ub 14646441 before adjustment
lb 0 ub 13463135 after adjustment
costs ready
21 variables 209 functions 1183306 lb, 13463135 ub
Iteration 0  lb 1183311 ub 14646441  cores 4 4 4  time 0.826447 0.127385
Iteration 1  lb 1183316 ub 14646441  cores 8 8 4  time 7.50944 0.283263
Iteration 2  lb 1183319 ub 14646441  cores 12 12 4  time 9.10866 0.440041
Iteration 3  lb 1183319 ub 14646441  cores 15 15 3  time 9.35988 0.600716
Iteration 4  lb 1183323 ub 14646441  cores 18 18 3  time 9.68605 0.784056
Iteration 5  lb 1183323 ub 14646441  cores 21 20 3  time 9.82592 0.977409
Iteration 6  lb 1183324 ub 14646441  cores 25 24 4  time 10.7354 1.16658
Iteration 7  lb 1183325 ub 14646441  cores 28 27 3  time 13.5659 1.36319
Iteration 8  lb 1183328 ub 14646441  cores 31 30 3  time 14.1518 1.58813
Iteration 9  lb 1183328 ub 14646441  cores 34 33 3  time 14.9309 1.80931
Iteration 10  lb 1183328 ub 14646441  cores 37 36 3  time 15.1067 2.04974
Iteration 11  lb 1183330 ub 14646441  cores 40 39 3  time 15.4603 2.31565
Iteration 12  lb 1183330 ub 14646441  cores 43 41 3  time 15.7989 2.56164
Iteration 13  lb 1183330 ub 14646441  cores 46 44 3  time 15.9757 2.81453
Iteration 14  lb 1183330 ub 14646441  cores 49 47 3  time 16.3284 3.08107
Iteration 15  lb 1183331 ub 14646441  cores 52 50 3  time 16.7716 3.34241
Iteration 16  lb 1183331 ub 14646441  cores 55 53 3  time 17.317 3.62853
Iteration 17  lb 1183331 ub 14646441  cores 58 56 3  time 17.6952 3.87422
Iteration 18  lb 1183332 ub 14646441  cores 60 58 2  time 17.8319 4.12211
Iteration 19  lb 1183332 ub 14646441  cores 63 61 3  time 17.9277 4.39083
Iteration 20  lb 1183333 ub 14646441  cores 66 64 3  time 18.162 4.6724
Iteration 21  lb 1183334 ub 14646441  cores 69 67 3  time 18.3869 4.96259
Iteration 22  lb 1183334 ub 14646441  cores 72 70 3  time 18.5766 5.25392
Iteration 23  lb 1183334 ub 14646441  cores 75 73 3  time 18.9865 5.54494
Iteration 24  lb 1183334 ub 14646441  cores 77 75 2  time 19.1976 5.8423
Iteration 25  lb 1183334 ub 14646441  cores 80 77 3  time 19.3843 6.15632
Iteration 26  lb 1183335 ub 14646441  cores 83 80 3  time 19.4834 6.43284
Iteration 27  lb 1183335 ub 14646441  cores 86 83 3  time 19.7832 6.74051
Iteration 28  lb 1183335 ub 14646441  cores 89 86 3  time 20.077 7.06567
Iteration 29  lb 1183335 ub 14646441  cores 91 88 2  time 20.1732 7.40364
Iteration 30  lb 1183335 ub 14646441  cores 94 91 3  time 20.3705 7.7238
Iteration 31  lb 1183336 ub 14646441  cores 97 94 3  time 20.5108 8.05535
Iteration 32  lb 1183336 ub 14646441  cores 100 97 3  time 20.668 8.34063
Iteration 33  lb 1183336 ub 14646441  cores 103 98 3  time 20.8149 8.65409
Iteration 34  lb 1183336 ub 14646441  cores 105 100 2  time 20.9043 8.97665
Iteration 35  lb 1183336 ub 14646441  cores 108 103 3  time 21.0369 9.42821
Iteration 36  lb 1183336 ub 14646441  cores 111 106 3  time 21.1955 9.89864
Iteration 37  lb 1183336 ub 14646441  cores 114 109 3  time 21.4517 10.3397
Iteration 38  lb 1183336 ub 14646441  cores 117 112 3  time 21.5862 10.8518
Iteration 39  lb 1183336 ub 14646441  cores 120 115 3  time 21.7045 11.4984
Iteration 40  lb 1183337 ub 14646441  cores 123 117 3  time 21.8056 11.9271
Iteration 41  lb 1183337 ub 14646441  cores 126 120 3  time 22.0161 12.3875
Iteration 42  lb 1183337 ub 14646441  cores 129 123 3  time 22.1723 12.8684
Iteration 43  lb 1183337 ub 14646441  cores 132 126 3  time 22.3796 13.4871
Iteration 44  lb 1183337 ub 14646441  cores 135 129 3  time 22.671 14.2522
Iteration 45  lb 1183337 ub 14646441  cores 138 132 3  time 22.8482 14.9617
Iteration 46  lb 1183337 ub 14646441  cores 140 133 2  time 23.1493 15.5017
Iteration 47  lb 1183337 ub 14646441  cores 143 136 3  time 23.3345 16.2421
Iteration 48  lb 1183337 ub 14646441  cores 146 139 3  time 23.4674 16.9139
Iteration 49  lb 1183337 ub 14646441  cores 149 141 3  time 23.6087 17.882
Iteration 50  lb 1183337 ub 14646441  cores 152 143 3  time 23.7189 18.8561
Iteration 51  lb 1183339 ub 14646441  cores 155 146 3  time 23.9813 19.3176
Iteration 52  lb 1183339 ub 14646441  cores 158 149 3  time 24.104 20.0889
Iteration 53  lb 1183339 ub 14646441  cores 161 152 3  time 24.2145 20.6628
Iteration 54  lb 1183340 ub 14646441  cores 164 155 3  time 24.5212 21.1018
Iteration 55  lb 1183340 ub 14646441  cores 167 158 3  time 24.7428 21.7161
Iteration 56  lb 1183340 ub 14646441  cores 170 161 3  time 24.8675 22.2972
Iteration 57  lb 1183340 ub 14646441  cores 173 163 3  time 25.039 23.0851
Iteration 58  lb 1183340 ub 14646441  cores 176 166 3  time 25.2543 23.852
Iteration 59  lb 1183341 ub 14646441  cores 179 169 3  time 25.4611 24.6011
Iteration 60  lb 1183341 ub 14646441  cores 182 172 3  time 25.6482 25.5275
Iteration 61  lb 1183341 ub 14646441  cores 185 174 3  time 25.8305 26.3829
Iteration 62  lb 1183341 ub 14646441  cores 188 177 3  time 26.0389 26.8933
Iteration 63  lb 1183341 ub 14646441  cores 191 180 3  time 26.1944 27.5858
Iteration 64  lb 1183341 ub 14646441  cores 194 183 3  time 26.409 28.6285
Iteration 65  lb 1183341 ub 14646441  cores 197 185 3  time 26.6118 29.0732
Iteration 66  lb 1183341 ub 14646441  cores 200 187 3  time 26.9415 29.6826
Iteration 67  lb 1183341 ub 14646441  cores 203 190 3  time 27.0772 30.3781
Iteration 68  lb 1183342 ub 14646441  cores 206 193 3  time 27.2027 31.0733
Iteration 69  lb 1183342 ub 14646441  cores 209 195 3  time 27.3203 31.9258
Iteration 70  lb 1183342 ub 14646441  cores 212 198 3  time 27.4078 32.578
Iteration 71  lb 1183342 ub 14646441  cores 215 198 3  time 27.6222 33.4074
Iteration 72  lb 1183342 ub 14646441  cores 218 201 3  time 28.5588 34.1526
Iteration 73  lb 1183342 ub 14646441  cores 221 204 3  time 28.9964 35.0366
Iteration 74  lb 1183342 ub 14646441  cores 224 207 3  time 29.235 35.884
Iteration 75  lb 1183342 ub 14646441  cores 227 210 3  time 29.4663 36.7404
Iteration 76  lb 1183342 ub 14646441  cores 230 213 3  time 29.6623 37.5259
Iteration 77  lb 1183342 ub 14646441  cores 233 215 3  time 29.8585 38.37
Iteration 78  lb 1183342 ub 14646441  cores 236 218 3  time 30.1254 39.6063
Iteration 79  lb 1183344 ub 14646441  cores 239 221 3  time 30.3718 40.8675
Iteration 80  lb 1183344 ub 14646441  cores 241 223 2  time 30.9485 41.6698
Iteration 81  lb 1183344 ub 14646441  cores 245 225 4  time 35.5535 42.1235
Iteration 82  lb 1183345 ub 14646441  cores 249 229 4  time 37.1355 42.9481
Iteration 83  lb 1183345 ub 14646441  cores 253 232 4  time 38.9979 44.3386
Iteration 84  lb 1183347 ub 14646441  cores 257 236 4  time 41.5601 45.4364
Iteration 85  lb 1183348 ub 14646441  cores 260 239 3  time 42.7195 46.3594
Iteration 86  lb 1183349 ub 14646441  cores 263 242 3  time 43.355 47.4203
Iteration 87  lb 1183349 ub 14646441  cores 266 244 3  time 43.6063 48.9161
Iteration 88  lb 1183350 ub 14646441  cores 270 248 4  time 44.2198 49.4249
Iteration 89  lb 1183351 ub 14646441  cores 273 251 3  time 52.4188 50.5306
Iteration 90  lb 1183352 ub 14646441  cores 276 254 3  time 55.8193 52.1049
Iteration 91  lb 1183352 ub 14646441  cores 279 257 3  time 57.0651 53.5425
Iteration 92  lb 1183352 ub 14646441  cores 283 260 4  time 57.5264 54.9605
Iteration 93  lb 1183353 ub 14646441  cores 286 263 3  time 58.2715 56.316
Iteration 94  lb 1183353 ub 14646441  cores 288 265 2  time 58.6929 57.5673
Iteration 95  lb 1183353 ub 14646441  cores 291 268 3  time 59.3048 58.878
Iteration 96  lb 1183355 ub 14646441  cores 294 271 3  time 60.1706 59.572
Iteration 97  lb 1183356 ub 14646441  cores 297 274 3  time 60.9504 60.8932
Iteration 98  lb 1183357 ub 14646441  cores 300 277 3  time 62.4025 61.8561
Iteration 99  lb 1183358 ub 14646441  cores 303 280 3  time 63.1095 63.3116
Iteration 100  lb 1183358 ub 14646441  cores 306 283 3  time 63.3956 64.5656
Iteration 101  lb 1183358 ub 14646441  cores 309 285 3  time 63.7868 65.8303
Iteration 102  lb 1183358 ub 14646441  cores 312 288 3  time 64.2028 67.0172
Iteration 103  lb 1183358 ub 14646441  cores 315 291 3  time 64.4384 68.1701
Iteration 104  lb 1183358 ub 14646441  cores 318 294 3  time 64.7219 69.7203
Iteration 105  lb 1183358 ub 14646441  cores 321 297 3  time 64.9894 71.2419
Iteration 106  lb 1183358 ub 14646441  cores 324 300 3  time 65.1815 72.7293
Iteration 107  lb 1183359 ub 14646441  cores 327 303 3  time 65.3801 74.0584
Iteration 108  lb 1183359 ub 14646441  cores 330 305 3  time 65.9949 76.1998
Iteration 109  lb 1183359 ub 14646441  cores 333 308 3  time 66.1906 77.9223
Iteration 110  lb 1183359 ub 14646441  cores 336 311 3  time 66.3355 79.3772
Iteration 111  lb 1183359 ub 14646441  cores 339 314 3  time 66.5029 81.0101
Iteration 112  lb 1183359 ub 14646441  cores 342 317 3  time 66.587 82.3358
Iteration 113  lb 1183359 ub 14646441  cores 346 320 4  time 66.9784 84.1377
Iteration 114  lb 1183359 ub 14646441  cores 349 323 3  time 67.2282 86.004
Iteration 115  lb 1183360 ub 14646441  cores 352 326 3  time 67.4427 87.7337
Iteration 116  lb 1183360 ub 14646441  cores 355 327 3  time 67.7187 90.2323
Iteration 117  lb 1183360 ub 14646441  cores 358 330 3  time 68.0068 92.2652
Iteration 118  lb 1183360 ub 14646441  cores 361 333 3  time 68.1433 94.396
Iteration 119  lb 1183361 ub 14646441  cores 365 337 4  time 69.1909 97.6657
Iteration 120  lb 1183361 ub 14646441  cores 369 341 4  time 69.3705 99.7365
Iteration 121  lb 1183361 ub 14646441  cores 372 343 3  time 69.575 102.285
Iteration 122  lb 1183361 ub 14646441  cores 375 346 3  time 69.6943 105.513
Iteration 123  lb 1183361 ub 14646441  cores 378 349 3  time 70.1373 107.687
Iteration 124  lb 1183361 ub 14646441  cores 381 352 3  time 70.3149 111.261
Iteration 125  lb 1183361 ub 14646441  cores 384 355 3  time 70.4493 114.785
Iteration 126  lb 1183361 ub 14646441  cores 387 358 3  time 70.6415 118.165
