lb 13532365 ub 25936953 before adjustment
lb 0 ub 12404588 after adjustment
costs ready
66 variables 1109 functions 13532365 lb, 12404588 ub
Iteration 0  lb 13532371 ub 25936953  cores 4 4 4  time 0.896059 0.112436
Iteration 1  lb 13532372 ub 25936953  cores 8 8 4  time 1.32764 0.250744
Iteration 2  lb 13532372 ub 25936953  cores 11 11 3  time 1.54659 0.395219
Iteration 3  lb 13532373 ub 25936953  cores 14 14 3  time 2.44476 0.535069
Iteration 4  lb 13532374 ub 25936953  cores 18 18 4  time 3.15217 0.677199
Iteration 5  lb 13532376 ub 25936953  cores 21 21 3  time 3.6869 0.823833
Iteration 6  lb 13532376 ub 25936953  cores 24 24 3  time 4.19047 0.979717
Iteration 7  lb 13532377 ub 25936953  cores 27 26 3  time 4.40671 1.14842
Iteration 8  lb 13532377 ub 25936953  cores 30 29 3  time 4.59903 1.31544
Iteration 9  lb 13532379 ub 25936953  cores 34 33 4  time 6.41957 1.48661
Iteration 10  lb 13532379 ub 25936953  cores 37 36 3  time 6.78542 1.66878
Iteration 11  lb 13532379 ub 25936953  cores 41 40 4  time 7.06771 1.86759
Iteration 12  lb 13532380 ub 25936953  cores 44 43 3  time 7.54497 2.0576
Iteration 13  lb 13532380 ub 25936953  cores 47 46 3  time 7.71959 2.27631
Iteration 14  lb 13532380 ub 25936953  cores 50 49 3  time 8.26842 2.49489
Iteration 15  lb 13532380 ub 25936953  cores 52 51 2  time 8.63197 2.73013
Iteration 16  lb 13532380 ub 25936953  cores 55 54 3  time 8.76072 2.95463
Iteration 17  lb 13532381 ub 25936953  cores 58 57 3  time 9.25794 3.19069
Iteration 18  lb 13532381 ub 25936953  cores 61 60 3  time 9.5304 3.44388
Iteration 19  lb 13532382 ub 25936953  cores 65 64 4  time 10.2346 3.64336
Iteration 20  lb 13532383 ub 25936953  cores 69 68 4  time 10.7451 3.86803
Iteration 21  lb 13532383 ub 25936953  cores 72 71 3  time 10.9373 4.09656
Iteration 22  lb 13532384 ub 25936953  cores 75 74 3  time 11.4496 4.33823
Iteration 23  lb 13532384 ub 25936953  cores 78 77 3  time 12.0016 4.56998
Iteration 24  lb 13532384 ub 25936953  cores 82 81 4  time 12.6862 4.79399
Iteration 25  lb 13532384 ub 25936953  cores 85 84 3  time 12.9766 5.0247
Iteration 26  lb 13532384 ub 25936953  cores 88 87 3  time 14.1945 5.25903
Iteration 27  lb 13532384 ub 25936953  cores 91 90 3  time 14.7549 5.49134
Iteration 28  lb 13532387 ub 25936953  cores 95 94 4  time 15.5996 5.73871
Iteration 29  lb 13532388 ub 25936953  cores 99 98 4  time 16.0849 6.00836
Iteration 30  lb 13532388 ub 25936953  cores 103 102 4  time 18.7243 6.26255
Iteration 31  lb 13532389 ub 25936953  cores 107 105 4  time 19.0497 6.53874
Iteration 32  lb 13532389 ub 25936953  cores 111 109 4  time 19.4368 6.84957
Iteration 33  lb 13532389 ub 25936953  cores 114 112 3  time 19.6026 7.16959
Iteration 34  lb 13532389 ub 25936953  cores 118 116 4  time 20.6395 7.49083
Iteration 35  lb 13532389 ub 25936953  cores 120 118 2  time 20.7772 7.8198
Iteration 36  lb 13532389 ub 25936953  cores 124 122 4  time 21.1108 8.11823
Iteration 37  lb 13532390 ub 25936953  cores 128 126 4  time 22.0466 8.40879
Iteration 38  lb 13532390 ub 25936953  cores 132 130 4  time 22.2854 8.73513
