lb 7022303 ub 17858850 before adjustment
lb 0 ub 10836547 after adjustment
costs ready
53 variables 956 functions 7022303 lb, 10836547 ub
Iteration 0  lb 7022309 ub 17858850  cores 6 6 6  time 0.276343 0.065624
Iteration 1  lb 7022311 ub 17858850  cores 11 11 5  time 0.478888 0.149194
Iteration 2  lb 7022317 ub 17858850  cores 16 16 5  time 0.862873 0.236277
Iteration 3  lb 7022317 ub 17858850  cores 20 20 4  time 1.00123 0.332098
Iteration 4  lb 7022318 ub 17858850  cores 25 25 5  time 1.25109 0.426044
Iteration 5  lb 7022319 ub 17858850  cores 29 29 4  time 1.42786 0.531996
Iteration 6  lb 7022320 ub 17858850  cores 32 32 3  time 1.58733 0.659934
Iteration 7  lb 7022321 ub 17858850  cores 36 36 4  time 2.24391 0.787804
Iteration 8  lb 7022322 ub 17858850  cores 39 38 3  time 2.3199 0.925567
Iteration 9  lb 7022322 ub 17858850  cores 43 42 4  time 2.45757 1.10542
Iteration 10  lb 7022322 ub 17858850  cores 46 45 3  time 2.6309 1.29763
Iteration 11  lb 7022322 ub 17858850  cores 50 49 4  time 2.8429 1.48455
Iteration 12  lb 7022323 ub 17858850  cores 53 52 3  time 3.06719 1.67724
Iteration 13  lb 7022324 ub 17858850  cores 56 55 3  time 3.24769 1.87027
Iteration 14  lb 7022324 ub 17858850  cores 60 59 4  time 3.39583 2.0622
Iteration 15  lb 7022324 ub 17858850  cores 64 63 4  time 3.57485 2.2628
Iteration 16  lb 7022325 ub 17858850  cores 67 66 3  time 3.72115 2.46668
Iteration 17  lb 7022325 ub 17858850  cores 72 71 5  time 3.89422 2.66638
Iteration 18  lb 7022325 ub 17858850  cores 76 75 4  time 4.07703 2.87144
Iteration 19  lb 7022326 ub 17858850  cores 81 79 5  time 4.44308 3.07285
Iteration 20  lb 7022326 ub 17858850  cores 85 83 4  time 4.63358 3.30267
Iteration 21  lb 7022327 ub 17858850  cores 89 87 4  time 4.95346 3.52803
Iteration 22  lb 7022328 ub 17858850  cores 93 91 4  time 5.14745 3.75654
Iteration 23  lb 7022328 ub 17858850  cores 96 94 3  time 5.26632 3.98518
Iteration 24  lb 7022329 ub 17858850  cores 100 98 4  time 5.55711 4.22636
Iteration 25  lb 7022329 ub 17858850  cores 104 102 4  time 5.79095 4.47022
Iteration 26  lb 7022329 ub 17858850  cores 108 106 4  time 6.05249 4.7249
Iteration 27  lb 7022329 ub 17858850  cores 112 110 4  time 6.28066 5.01544
Iteration 28  lb 7022329 ub 17858850  cores 116 114 4  time 6.52149 5.29904
Iteration 29  lb 7022330 ub 17858850  cores 120 118 4  time 6.73932 5.68744
Iteration 30  lb 7022330 ub 17858850  cores 124 122 4  time 7.42175 6.08857
Iteration 31  lb 7022330 ub 17858850  cores 127 125 3  time 7.55867 6.51265
Iteration 32  lb 7022330 ub 17858850  cores 131 129 4  time 7.74178 7.49707
Iteration 33  lb 7022330 ub 17858850  cores 134 132 3  time 7.95507 8.30946
Iteration 34  lb 7022331 ub 17858850  cores 138 136 4  time 8.27703 8.87923
Iteration 35  lb 7022331 ub 17858850  cores 142 140 4  time 8.50503 9.28269
Iteration 36  lb 7022331 ub 17858850  cores 146 144 4  time 8.64259 10.0796
Iteration 37  lb 7022331 ub 17858850  cores 149 147 3  time 8.79873 10.6594
Iteration 38  lb 7022332 ub 17858850  cores 153 151 4  time 8.94503 11.3997
Iteration 39  lb 7022332 ub 17858850  cores 156 154 3  time 9.15525 12.209
Iteration 40  lb 7022332 ub 17858850  cores 160 158 4  time 9.31357 13.1075
Iteration 41  lb 7022332 ub 17858850  cores 163 161 3  time 9.56564 13.8335
Iteration 42  lb 7022333 ub 17858850  cores 166 164 3  time 9.93141 14.2078
Iteration 43  lb 7022335 ub 17858850  cores 169 167 3  time 10.2145 14.6963
Iteration 44  lb 7022335 ub 17858850  cores 172 170 3  time 10.3777 15.0642
Iteration 45  lb 7022336 ub 17858850  cores 175 173 3  time 10.6459 15.5893
Iteration 46  lb 7022336 ub 17858850  cores 178 176 3  time 10.8299 16.2158
Iteration 47  lb 7022336 ub 17858850  cores 181 179 3  time 10.9383 16.9739
Iteration 48  lb 7022337 ub 17858850  cores 184 182 3  time 11.1227 17.7465
Iteration 49  lb 7022338 ub 17858850  cores 187 185 3  time 11.4271 18.5972
Iteration 50  lb 7022338 ub 17858850  cores 190 188 3  time 11.5634 19.6207
Iteration 51  lb 7022338 ub 17858850  cores 194 192 4  time 11.7089 20.6401
Iteration 52  lb 7022338 ub 17858850  cores 196 194 2  time 11.876 21.7142
Iteration 53  lb 7022338 ub 17858850  cores 199 197 3  time 12.1781 23.2528
Iteration 54  lb 7022339 ub 17858850  cores 202 200 3  time 12.4297 25.2396
Iteration 55  lb 7022339 ub 17858850  cores 205 203 3  time 12.5372 26.8256
Iteration 56  lb 7022339 ub 17858850  cores 208 206 3  time 12.6586 28.3216
Iteration 57  lb 7022339 ub 17858850  cores 211 209 3  time 12.8607 29.4934
Iteration 58  lb 7022339 ub 17858850  cores 214 212 3  time 12.9782 30.6258
Iteration 59  lb 7022339 ub 17858850  cores 217 215 3  time 13.169 31.8108
Iteration 60  lb 7022339 ub 17858850  cores 220 218 3  time 13.3116 33.023
Iteration 61  lb 7022339 ub 17858850  cores 223 221 3  time 13.4948 34.2459
Iteration 62  lb 7022339 ub 17858850  cores 225 223 2  time 13.6295 35.9477
Iteration 63  lb 7022339 ub 17858850  cores 228 226 3  time 13.7442 37.1908
Iteration 64  lb 7022339 ub 17858850  cores 232 229 4  time 13.83 38.4109
Iteration 65  lb 7022339 ub 17858850  cores 235 232 3  time 14.0288 39.6355
Iteration 66  lb 7022340 ub 17858850  cores 238 235 3  time 14.0989 42.1448
Iteration 67  lb 7022340 ub 17858850  cores 242 239 4  time 14.2588 45.0539
Iteration 68  lb 7022340 ub 17858850  cores 245 242 3  time 14.4724 46.9531
Iteration 69  lb 7022340 ub 17858850  cores 248 245 3  time 14.7137 48.4603
Iteration 70  lb 7022340 ub 17858850  cores 252 249 4  time 14.9 50.9749
Iteration 71  lb 7022340 ub 17858850  cores 255 252 3  time 15.0147 52.9762
Iteration 72  lb 7022340 ub 17858850  cores 258 255 3  time 15.1444 54.4688
Iteration 73  lb 7022340 ub 17858850  cores 262 259 4  time 15.3082 55.908
Iteration 74  lb 7022341 ub 17858850  cores 264 261 2  time 15.3856 58.7983
Iteration 75  lb 7022341 ub 17858850  cores 268 265 4  time 15.6034 61.0835
Iteration 76  lb 7022341 ub 17858850  cores 272 269 4  time 15.8065 63.9236
Iteration 77  lb 7022341 ub 17858850  cores 276 273 4  time 15.9559 66.7891
Iteration 78  lb 7022342 ub 17858850  cores 280 277 4  time 16.0786 69.7154
Iteration 79  lb 7022342 ub 17858850  cores 283 280 3  time 16.2819 72.2848
Iteration 80  lb 7022342 ub 17858850  cores 287 284 4  time 16.4519 74.9653
Iteration 81  lb 7022342 ub 17858850  cores 289 286 2  time 16.5622 77.6587
Iteration 82  lb 7022342 ub 17858850  cores 293 290 4  time 16.7009 80.1192
Iteration 83  lb 7022342 ub 17858850  cores 296 293 3  time 16.822 82.9512
Iteration 84  lb 7022342 ub 17858850  cores 300 297 4  time 17.1744 85.287
Iteration 85  lb 7022342 ub 17858850  cores 303 300 3  time 17.4046 86.9216
Iteration 86  lb 7022343 ub 17858850  cores 306 303 3  time 17.577 89.9943
Iteration 87  lb 7022343 ub 17858850  cores 310 307 4  time 17.7014 91.6271
Iteration 88  lb 7022343 ub 17858850  cores 313 310 3  time 17.8861 95.9105
Iteration 89  lb 7022343 ub 17858850  cores 317 314 4  time 18.2889 98.116
Iteration 90  lb 7022344 ub 17858850  cores 320 317 3  time 18.556 100.084
Iteration 91  lb 7022344 ub 17858850  cores 323 320 3  time 18.7562 102.269
Iteration 92  lb 7022344 ub 17858850  cores 326 323 3  time 19.0978 104.311
Iteration 93  lb 7022344 ub 17858850  cores 329 326 3  time 19.27 108.363
Iteration 94  lb 7022344 ub 17858850  cores 332 328 3  time 19.428 112.564
Iteration 95  lb 7022345 ub 17858850  cores 335 331 3  time 19.7578 116.038
Iteration 96  lb 7022345 ub 17858850  cores 338 334 3  time 19.9463 119.928
Iteration 97  lb 7022345 ub 17858850  cores 342 338 4  time 20.4451 124.527
Iteration 98  lb 7022345 ub 17858850  cores 345 341 3  time 20.5996 129.547
Iteration 99  lb 7022346 ub 17858850  cores 348 344 3  time 20.866 134.326
Iteration 100  lb 7022346 ub 17858850  cores 352 347 4  time 21.08 138.245
Iteration 101  lb 7022346 ub 17858850  cores 355 350 3  time 21.215 142.126
Iteration 102  lb 7022346 ub 17858850  cores 358 353 3  time 21.526 146.492
Iteration 103  lb 7022346 ub 17858850  cores 361 356 3  time 21.7562 150.928
Iteration 104  lb 7022346 ub 17858850  cores 365 360 4  time 22.0163 155.933
Iteration 105  lb 7022346 ub 17858850  cores 368 362 3  time 22.2275 160.886
Iteration 106  lb 7022347 ub 17858850  cores 371 365 3  time 22.478 166.872
Iteration 107  lb 7022347 ub 17858850  cores 375 369 4  time 22.7518 172.129
Iteration 108  lb 7022347 ub 17858850  cores 379 373 4  time 22.8794 176.917
Iteration 109  lb 7022347 ub 17858850  cores 382 376 3  time 23.1037 182.813
Iteration 110  lb 7022347 ub 17858850  cores 385 378 3  time 23.2372 187.12
Iteration 111  lb 7022347 ub 17858850  cores 387 380 2  time 23.3658 193.122
Iteration 112  lb 7022347 ub 17858850  cores 390 382 3  time 23.5398 198.531
Iteration 113  lb 7022347 ub 17858850  cores 394 386 4  time 23.7291 204.094
Iteration 114  lb 7022347 ub 17858850  cores 398 390 4  time 23.877 209.089
Iteration 115  lb 7022347 ub 17858850  cores 402 394 4  time 24.0428 214.333
Iteration 116  lb 7022347 ub 17858850  cores 406 398 4  time 24.1883 220.242
Iteration 117  lb 7022347 ub 17858850  cores 410 402 4  time 24.4249 226.81
Iteration 118  lb 7022347 ub 17858850  cores 414 406 4  time 24.5453 232.807
Iteration 119  lb 7022348 ub 17858850  cores 418 410 4  time 24.8023 238.567
Iteration 120  lb 7022348 ub 17858850  cores 421 413 3  time 25.051 243.763
Iteration 121  lb 7022348 ub 17858850  cores 423 415 2  time 25.273 249.674
Iteration 122  lb 7022348 ub 17858850  cores 425 417 2  time 25.4222 254.451
Iteration 123  lb 7022348 ub 17858850  cores 428 420 3  time 25.6311 260.055
Iteration 124  lb 7022348 ub 17858850  cores 430 422 2  time 25.7003 265.469
Iteration 125  lb 7022348 ub 17858850  cores 433 425 3  time 26.0035 270.479
Iteration 126  lb 7022348 ub 17858850  cores 437 429 4  time 26.1657 275.929
Iteration 127  lb 7022348 ub 17858850  cores 440 432 3  time 26.3022 281.488
Iteration 128  lb 7022348 ub 17858850  cores 443 435 3  time 26.45 287.556
Iteration 129  lb 7022348 ub 17858850  cores 447 439 4  time 26.5973 293.743
Iteration 130  lb 7022348 ub 17858850  cores 450 442 3  time 26.7533 299.616
Iteration 131  lb 7022348 ub 17858850  cores 453 445 3  time 26.8889 305.691
Iteration 132  lb 7022348 ub 17858850  cores 457 447 4  time 27.0389 311.557
Iteration 133  lb 7022349 ub 17858850  cores 460 450 3  time 27.2412 318.073
Iteration 134  lb 7022349 ub 17858850  cores 463 452 3  time 27.6156 324.532
Iteration 135  lb 7022349 ub 17858850  cores 467 456 4  time 27.7061 331.013
Iteration 136  lb 7022349 ub 17858850  cores 470 459 3  time 27.7792 338.175
Iteration 137  lb 7022349 ub 17858850  cores 473 462 3  time 27.9474 345.505
Iteration 138  lb 7022349 ub 17858850  cores 476 465 3  time 28.0521 352.52
Iteration 139  lb 7022349 ub 17858850  cores 479 468 3  time 28.1719 359.619
Iteration 140  lb 7022349 ub 17858850  cores 482 471 3  time 28.2832 365.777
Iteration 141  lb 7022349 ub 17858850  cores 485 474 3  time 28.4312 372.617
Iteration 142  lb 7022349 ub 17858850  cores 488 477 3  time 28.6803 379.463
Iteration 143  lb 7022349 ub 17858850  cores 491 480 3  time 28.8326 385.958
Iteration 144  lb 7022349 ub 17858850  cores 495 484 4  time 28.9467 392.304
Iteration 145  lb 7022349 ub 17858850  cores 498 487 3  time 29.0449 397.531
Iteration 146  lb 7022349 ub 17858850  cores 501 490 3  time 29.1465 402.947
Iteration 147  lb 7022349 ub 17858850  cores 504 493 3  time 29.2555 409.718
Iteration 148  lb 7022350 ub 17858850  cores 507 496 3  time 29.4464 417.787
Iteration 149  lb 7022350 ub 17858850  cores 510 499 3  time 29.5862 425.933
Iteration 150  lb 7022350 ub 17858850  cores 514 502 4  time 29.783 433.998
Iteration 151  lb 7022350 ub 17858850  cores 517 505 3  time 29.8835 442.322
Iteration 152  lb 7022350 ub 17858850  cores 521 509 4  time 30.0472 450.247
Iteration 153  lb 7022350 ub 17858850  cores 524 512 3  time 30.2387 457.038
Iteration 154  lb 7022350 ub 17858850  cores 528 516 4  time 30.4636 465.2
Iteration 155  lb 7022350 ub 17858850  cores 531 519 3  time 30.6894 473.534
Iteration 156  lb 7022350 ub 17858850  cores 535 523 4  time 30.8148 480.188
Iteration 157  lb 7022350 ub 17858850  cores 538 526 3  time 30.9853 488.133
Iteration 158  lb 7022350 ub 17858850  cores 541 529 3  time 31.1971 497.277
Iteration 159  lb 7022350 ub 17858850  cores 544 532 3  time 31.3737 505.72
Iteration 160  lb 7022350 ub 17858850  cores 547 535 3  time 31.4914 525.206
Iteration 161  lb 7022350 ub 17858850  cores 550 538 3  time 31.6313 545.043
Iteration 162  lb 7022351 ub 17858850  cores 553 541 3  time 31.9559 555.304
Iteration 163  lb 7022351 ub 17858850  cores 557 545 4  time 32.0961 566.713
Iteration 164  lb 7022351 ub 17858850  cores 560 548 3  time 32.2282 577.578
Iteration 165  lb 7022351 ub 17858850  cores 563 551 3  time 32.3181 587.976
Iteration 166  lb 7022351 ub 17858850  cores 566 554 3  time 32.4879 598.265
Iteration 167  lb 7022351 ub 17858850  cores 569 557 3  time 32.6309 609.115
Iteration 168  lb 7022351 ub 17858850  cores 572 560 3  time 32.7543 619.134
Iteration 169  lb 7022351 ub 17858850  cores 576 564 4  time 32.8813 629.775
Iteration 170  lb 7022351 ub 17858850  cores 580 568 4  time 33.0848 640.113
Iteration 171  lb 7022351 ub 17858850  cores 582 570 2  time 33.1907 649.861
Iteration 172  lb 7022351 ub 17858850  cores 585 573 3  time 33.3056 659.864
Iteration 173  lb 7022351 ub 17858850  cores 587 575 2  time 33.3504 680.363
Iteration 174  lb 7022351 ub 17858850  cores 590 578 3  time 33.4584 690.034
Iteration 175  lb 7022351 ub 17858850  cores 592 580 2  time 33.504 709.67
Iteration 176  lb 7022351 ub 17858850  cores 596 584 4  time 33.7004 719.473
Iteration 177  lb 7022351 ub 17858850  cores 600 588 4  time 33.8127 729.583
Iteration 178  lb 7022351 ub 17858850  cores 603 591 3  time 33.8852 739.414
Iteration 179  lb 7022351 ub 17858850  cores 606 594 3  time 34.0096 750.121
Iteration 180  lb 7022351 ub 17858850  cores 609 597 3  time 34.1115 759.573
Iteration 181  lb 7022351 ub 17858850  cores 612 600 3  time 34.2154 781.831
Iteration 182  lb 7022351 ub 17858850  cores 616 603 4  time 34.3018 803.266
Iteration 183  lb 7022351 ub 17858850  cores 620 606 4  time 34.4234 825.437
Iteration 184  lb 7022351 ub 17858850  cores 624 610 4  time 34.5084 851.626
Iteration 185  lb 7022351 ub 17858850  cores 628 614 4  time 34.621 874.938
Iteration 186  lb 7022352 ub 17858850  cores 631 617 3  time 34.7479 906.184
Iteration 187  lb 7022352 ub 17858850  cores 635 621 4  time 34.8978 934.14
Iteration 188  lb 7022352 ub 17858850  cores 638 624 3  time 35.0416 961.276
Iteration 189  lb 7022352 ub 17858850  cores 641 627 3  time 35.1289 988.775
Iteration 190  lb 7022352 ub 17858850  cores 644 630 3  time 35.2374 1017.94
Iteration 191  lb 7022352 ub 17858850  cores 647 633 3  time 35.3755 1043.67
Iteration 192  lb 7022352 ub 17858850  cores 652 637 5  time 35.5441 1069.49
Iteration 193  lb 7022352 ub 17858850  cores 655 640 3  time 35.6642 1095.58
Iteration 194  lb 7022352 ub 17858850  cores 659 644 4  time 35.8589 1121.03
Iteration 195  lb 7022352 ub 17858850  cores 662 647 3  time 36.2247 1148.09
Iteration 196  lb 7022352 ub 17858850  cores 665 650 3  time 36.3506 1173.82
Iteration 197  lb 7022352 ub 17858850  cores 669 654 4  time 36.4868 1200.03
Iteration 198  lb 7022352 ub 17858850  cores 673 658 4  time 36.595 1233.33
Iteration 199  lb 7022352 ub 17858850  cores 676 661 3  time 36.7176 1258.3
Iteration 200  lb 7022352 ub 17858850  cores 679 664 3  time 36.8607 1281.29
Iteration 201  lb 7022352 ub 17858850  cores 682 667 3  time 36.9912 1305.73
Iteration 202  lb 7022352 ub 17858850  cores 685 670 3  time 37.2055 1318.12
Iteration 203  lb 7022352 ub 17858850  cores 688 673 3  time 37.3527 1330.34
Iteration 204  lb 7022352 ub 17858850  cores 691 676 3  time 37.5476 1356.21
Iteration 205  lb 7022352 ub 17858850  cores 694 678 3  time 37.5944 1386.87
Iteration 206  lb 7022352 ub 17858850  cores 698 682 4  time 37.696 1398.92
Iteration 207  lb 7022352 ub 17858850  cores 702 686 4  time 37.929 1434.43
Iteration 208  lb 7022352 ub 17858850  cores 706 690 4  time 38.1043 1445.33
Iteration 209  lb 7022352 ub 17858850  cores 710 694 4  time 38.2681 1469.42
Iteration 210  lb 7022352 ub 17858850  cores 713 697 3  time 38.374 1481.14
Iteration 211  lb 7022353 ub 17858850  cores 716 700 3  time 38.4644 1518.16
Iteration 212  lb 7022353 ub 17858850  cores 719 703 3  time 38.4968 1556.17
Iteration 213  lb 7022353 ub 17858850  cores 722 706 3  time 38.5376 1592.67
Iteration 214  lb 7022353 ub 17858850  cores 725 709 3  time 38.589 1629.49
Iteration 215  lb 7022353 ub 17858850  cores 728 712 3  time 38.8348 1671.11
Iteration 216  lb 7022353 ub 17858850  cores 732 716 4  time 39.0036 1703.69
Iteration 217  lb 7022353 ub 17858850  cores 735 719 3  time 39.0982 1739.11
Iteration 218  lb 7022353 ub 17858850  cores 738 722 3  time 39.2015 1775.15
Iteration 219  lb 7022353 ub 17858850  cores 741 725 3  time 39.3183 1812.01
Iteration 220  lb 7022353 ub 17858850  cores 744 727 3  time 39.4056 1854.11
Iteration 221  lb 7022353 ub 17858850  cores 747 730 3  time 39.5054 1888.2
Iteration 222  lb 7022353 ub 17858850  cores 751 734 4  time 39.6305 1924.47
Iteration 223  lb 7022353 ub 17858850  cores 754 737 3  time 39.7158 1960.1
Iteration 224  lb 7022353 ub 17858850  cores 757 740 3  time 39.8688 1997.01
Iteration 225  lb 7022353 ub 17858850  cores 761 743 4  time 40.0319 2033.33
Iteration 226  lb 7022353 ub 17858850  cores 764 746 3  time 40.0943 2068.81
Iteration 227  lb 7022353 ub 17858850  cores 768 750 4  time 40.2602 2097.87
Iteration 228  lb 7022353 ub 17858850  cores 772 754 4  time 40.5084 2135.18
