lb 1570058 ub 15927022 before adjustment
lb 0 ub 14356964 after adjustment
costs ready
26 variables 319 functions 1570058 lb, 14356964 ub
Iteration 0  lb 1570068 ub 15927022  cores 6 6 6  time 1.08788 0.184184
Iteration 1  lb 1570074 ub 15927022  cores 10 10 4  time 1.59683 0.41057
Iteration 2  lb 1570076 ub 15927022  cores 14 14 4  time 2.59313 0.639579
Iteration 3  lb 1570076 ub 15927022  cores 18 18 4  time 3.22764 0.867029
Iteration 4  lb 1570077 ub 15927022  cores 22 22 4  time 3.67065 1.10208
Iteration 5  lb 1570077 ub 15927022  cores 26 26 4  time 4.05403 1.34756
Iteration 6  lb 1570078 ub 15927022  cores 30 29 4  time 4.65398 1.60578
Iteration 7  lb 1570079 ub 15927022  cores 34 32 4  time 7.10059 1.87825
Iteration 8  lb 1570082 ub 15927022  cores 37 35 3  time 7.81817 2.17846
Iteration 9  lb 1570086 ub 15927022  cores 41 39 4  time 8.6418 2.49124
Iteration 10  lb 1570087 ub 15927022  cores 44 42 3  time 10.1297 2.80396
Iteration 11  lb 1570089 ub 15927022  cores 48 46 4  time 12.3123 3.14319
Iteration 12  lb 1570094 ub 15927022  cores 51 49 3  time 13.9727 3.47774
Iteration 13  lb 1570095 ub 15927022  cores 55 53 4  time 17.8512 3.81057
Iteration 14  lb 1570097 ub 15927022  cores 58 56 3  time 18.6329 4.15252
Iteration 15  lb 1570097 ub 15927022  cores 61 58 3  time 18.9601 4.50178
Iteration 16  lb 1570097 ub 15927022  cores 64 61 3  time 20.3185 4.85316
Iteration 17  lb 1570098 ub 15927022  cores 67 64 3  time 21.4097 5.20546
Iteration 18  lb 1570099 ub 15927022  cores 70 67 3  time 21.966 5.59419
Iteration 19  lb 1570099 ub 15927022  cores 73 70 3  time 22.4114 5.985
Iteration 20  lb 1570100 ub 15927022  cores 76 73 3  time 23.4981 6.4927
Iteration 21  lb 1570100 ub 15927022  cores 80 77 4  time 24.2099 7.01746
Iteration 22  lb 1570103 ub 15927022  cores 84 81 4  time 25.7085 7.40215
Iteration 23  lb 1570110 ub 15927022  cores 89 86 5  time 28.4014 7.76384
Iteration 24  lb 1570115 ub 15927022  cores 93 90 4  time 29.3121 8.16486
Iteration 25  lb 1570118 ub 15927022  cores 97 94 4  time 30.1577 8.53129
Iteration 26  lb 1570118 ub 15927022  cores 100 97 3  time 30.8813 8.93402
Iteration 27  lb 1570120 ub 15927022  cores 104 101 4  time 32.5941 9.33813
Iteration 28  lb 1570120 ub 15927022  cores 107 104 3  time 33.1865 9.94706
Iteration 29  lb 1570125 ub 15927022  cores 111 108 4  time 34.4054 10.3946
Iteration 30  lb 1570127 ub 15927022  cores 114 111 3  time 35.045 11.0826
Iteration 31  lb 1570127 ub 15927022  cores 117 114 3  time 38.0467 11.5418
Iteration 32  lb 1570127 ub 15927022  cores 120 117 3  time 38.3786 12.3222
Iteration 33  lb 1570130 ub 15927022  cores 125 121 5  time 40.8237 12.7694
Iteration 34  lb 1570134 ub 15927022  cores 128 124 3  time 41.6271 13.2019
Iteration 35  lb 1570136 ub 15927022  cores 132 128 4  time 42.4358 13.676
Iteration 36  lb 1570139 ub 15927022  cores 137 133 5  time 43.8361 14.403
Iteration 37  lb 1570140 ub 15927022  cores 141 137 4  time 44.684 14.9426
Iteration 38  lb 1570141 ub 15927022  cores 145 141 4  time 45.929 15.8256
Iteration 39  lb 1570142 ub 15927022  cores 149 144 4  time 46.425 16.8197
Iteration 40  lb 1570143 ub 15927022  cores 154 149 5  time 47.2632 17.898
Iteration 41  lb 1570144 ub 15927022  cores 159 153 5  time 48.5571 18.4463
Iteration 42  lb 1570144 ub 15927022  cores 162 156 3  time 48.8325 19.06
Iteration 43  lb 1570146 ub 15927022  cores 165 159 3  time 49.125 20.4221
Iteration 44  lb 1570146 ub 15927022  cores 169 163 4  time 49.9579 21.4485
Iteration 45  lb 1570147 ub 15927022  cores 172 166 3  time 50.3641 22.6613
Iteration 46  lb 1570148 ub 15927022  cores 176 170 4  time 51.4971 23.8123
Iteration 47  lb 1570149 ub 15927022  cores 180 174 4  time 52.2502 24.9089
Iteration 48  lb 1570150 ub 15927022  cores 184 178 4  time 52.9487 26.1797
Iteration 49  lb 1570151 ub 15927022  cores 188 182 4  time 53.646 27.4051
Iteration 50  lb 1570151 ub 15927022  cores 192 186 4  time 53.9744 29.0394
Iteration 51  lb 1570152 ub 15927022  cores 196 190 4  time 54.8147 30.1413
Iteration 52  lb 1570152 ub 15927022  cores 201 195 5  time 57.0111 31.4998
Iteration 53  lb 1570153 ub 15927022  cores 206 200 5  time 57.5073 32.691
Iteration 54  lb 1570153 ub 15927022  cores 210 204 4  time 57.8554 33.9979
Iteration 55  lb 1570153 ub 15927022  cores 215 208 5  time 58.5708 35.6742
Iteration 56  lb 1570154 ub 15927022  cores 220 213 5  time 59.1697 37.1322
Iteration 57  lb 1570155 ub 15927022  cores 225 218 5  time 60.1545 38.4538
Iteration 58  lb 1570155 ub 15927022  cores 229 222 4  time 60.4899 39.6123
Iteration 59  lb 1570155 ub 15927022  cores 233 226 4  time 60.9921 40.9967
Iteration 60  lb 1570156 ub 15927022  cores 237 230 4  time 61.9467 42.2682
Iteration 61  lb 1570156 ub 15927022  cores 240 233 3  time 62.2966 43.8757
Iteration 62  lb 1570157 ub 15927022  cores 243 236 3  time 62.6229 45.2293
Iteration 63  lb 1570158 ub 15927022  cores 247 239 4  time 63.4115 46.6101
Iteration 64  lb 1570158 ub 15927022  cores 251 243 4  time 64.0354 47.9777
Iteration 65  lb 1570159 ub 15927022  cores 255 247 4  time 65.6369 49.5346
Iteration 66  lb 1570160 ub 15927022  cores 259 251 4  time 66.0702 50.9762
Iteration 67  lb 1570160 ub 15927022  cores 263 255 4  time 66.612 52.5663
Iteration 68  lb 1570161 ub 15927022  cores 268 259 5  time 67.7572 54.2783
Iteration 69  lb 1570161 ub 15927022  cores 272 263 4  time 68.4333 56.5801
Iteration 70  lb 1570161 ub 15927022  cores 276 267 4  time 69.6101 58.792
Iteration 71  lb 1570163 ub 15927022  cores 280 271 4  time 70.4463 61.1372
Iteration 72  lb 1570163 ub 15927022  cores 283 273 3  time 70.7356 63.0274
Iteration 73  lb 1570165 ub 15927022  cores 288 277 5  time 71.6429 65.3206
Iteration 74  lb 1570166 ub 15927022  cores 292 281 4  time 72.6894 67.2621
Iteration 75  lb 1570167 ub 15927022  cores 296 284 4  time 73.4554 69.5462
Iteration 76  lb 1570168 ub 15927022  cores 300 288 4  time 83.1018 70.7665
Iteration 77  lb 1570168 ub 15927022  cores 302 290 2  time 83.6025 72.1248
Iteration 78  lb 1570168 ub 15927022  cores 306 294 4  time 84.4137 74.3263
Iteration 79  lb 1570169 ub 15927022  cores 310 298 4  time 85.0838 76.3659
Iteration 80  lb 1570175 ub 15927022  cores 314 302 4  time 87.6097 77.9084
Iteration 81  lb 1570176 ub 15927022  cores 318 306 4  time 89.3681 79.8023
Iteration 82  lb 1570177 ub 15927022  cores 322 310 4  time 90.6447 81.5336
Iteration 83  lb 1570179 ub 15927022  cores 326 314 4  time 91.4479 83.9875
Iteration 84  lb 1570179 ub 15927022  cores 330 318 4  time 92.6035 86.5171
Iteration 85  lb 1570180 ub 15927022  cores 335 323 5  time 94.4793 89.4153
Iteration 86  lb 1570182 ub 15927022  cores 340 328 5  time 96.3115 91.8663
Iteration 87  lb 1570184 ub 15927022  cores 344 331 4  time 97.1689 94.4905
Iteration 88  lb 1570212 ub 15927022  cores 348 334 4  time 98.7556 96.5683
Iteration 89  lb 1570212 ub 15927022  cores 352 337 4  time 99.352 98.7476
Iteration 90  lb 1570213 ub 15927022  cores 357 342 5  time 101.389 101.547
Iteration 91  lb 1570215 ub 15927022  cores 362 347 5  time 102.727 104.441
Iteration 92  lb 1570217 ub 15927022  cores 366 351 4  time 103.784 107.193
Iteration 93  lb 1570218 ub 15927022  cores 371 356 5  time 105.609 110.065
Iteration 94  lb 1570219 ub 15927022  cores 375 360 4  time 106.763 112.955
Iteration 95  lb 1570220 ub 15927022  cores 378 363 3  time 107.591 115.562
Iteration 96  lb 1570220 ub 15927022  cores 382 367 4  time 108.437 117.901
Iteration 97  lb 1570221 ub 15927022  cores 386 371 4  time 109.698 120.824
Iteration 98  lb 1570222 ub 15927022  cores 389 373 3  time 110.484 123.494
Iteration 99  lb 1570224 ub 15927022  cores 393 377 4  time 111.269 126.279
Iteration 100  lb 1570224 ub 15927022  cores 396 379 3  time 111.59 129.261
Iteration 101  lb 1570225 ub 15927022  cores 399 382 3  time 111.825 133.246
Iteration 102  lb 1570225 ub 15927022  cores 402 385 3  time 112.344 136.324
Iteration 103  lb 1570227 ub 15927022  cores 407 390 5  time 114.214 138.764
Iteration 104  lb 1570228 ub 15927022  cores 411 394 4  time 115.035 141.88
Iteration 105  lb 1570228 ub 15927022  cores 415 397 4  time 116.099 146.151
Iteration 106  lb 1570228 ub 15927022  cores 419 401 4  time 117.978 149.579
Iteration 107  lb 1570229 ub 15927022  cores 424 406 5  time 119.807 153.937
Iteration 108  lb 1570230 ub 15927022  cores 427 409 3  time 120.743 157.665
Iteration 109  lb 1570230 ub 15927022  cores 430 412 3  time 121.259 161.62
Iteration 110  lb 1570232 ub 15927022  cores 434 414 4  time 123.151 165.174
Iteration 111  lb 1570234 ub 15927022  cores 438 417 4  time 124.847 168.316
Iteration 112  lb 1570234 ub 15927022  cores 441 420 3  time 125.208 172.259
Iteration 113  lb 1570234 ub 15927022  cores 445 424 4  time 126.016 176.132
Iteration 114  lb 1570235 ub 15927022  cores 449 428 4  time 126.621 179.555
Iteration 115  lb 1570237 ub 15927022  cores 454 433 5  time 127.369 183.234
Iteration 116  lb 1570237 ub 15927022  cores 458 436 4  time 127.799 187.189
