lb 1512871 ub 5553359 before adjustment
lb 0 ub 4040488 after adjustment
costs ready
18 variables 153 functions 1512871 lb, 4040488 ub
Iteration 0  lb 1512874 ub 5553359  cores 2 2 2  time 0.024813 0.025604
Iteration 1  lb 1512875 ub 5553359  cores 4 4 2  time 0.036916 0.052196
Iteration 2  lb 1512875 ub 5553359  cores 6 5 2  time 0.045901 0.079454
Iteration 3  lb 1512879 ub 5553359  cores 8 7 2  time 0.094384 0.109725
Iteration 4  lb 1512880 ub 5553359  cores 10 9 2  time 0.098905 0.141749
Iteration 5  lb 1512880 ub 5553359  cores 12 10 2  time 0.103807 0.174483
Iteration 6  lb 1512882 ub 5553359  cores 14 12 2  time 0.196992 0.206152
Iteration 7  lb 1512883 ub 5553359  cores 16 14 2  time 0.236734 0.241807
Iteration 8  lb 1512884 ub 5553359  cores 18 16 2  time 0.299344 0.276308
Iteration 9  lb 1512884 ub 5553359  cores 20 18 2  time 0.312464 0.312174
Iteration 10  lb 1512885 ub 5553359  cores 22 20 2  time 0.325438 0.350429
Iteration 11  lb 1512885 ub 5553359  cores 24 21 2  time 0.353185 0.400455
Iteration 12  lb 1512885 ub 5553359  cores 26 23 2  time 0.370786 0.474217
Iteration 13  lb 1512885 ub 5553359  cores 28 25 2  time 0.376458 0.551843
Iteration 14  lb 1512885 ub 5553359  cores 30 27 2  time 0.38663 0.624298
Iteration 15  lb 1512886 ub 5553359  cores 32 29 2  time 0.390531 0.682558
Iteration 16  lb 1512886 ub 5553359  cores 34 31 2  time 0.401794 0.736284
Iteration 17  lb 1512886 ub 5553359  cores 36 33 2  time 0.413262 0.799338
Iteration 18  lb 1512886 ub 5553359  cores 38 35 2  time 0.418716 0.882239
Iteration 19  lb 1512886 ub 5553359  cores 40 37 2  time 0.440782 0.935579
Iteration 20  lb 1512886 ub 5553359  cores 42 39 2  time 0.456677 1.01288
Iteration 21  lb 1512886 ub 5553359  cores 44 41 2  time 0.467721 1.08242
Iteration 22  lb 1512886 ub 5553359  cores 46 43 2  time 0.485505 1.17482
Iteration 23  lb 1512886 ub 5553359  cores 48 44 2  time 0.494107 1.26728
Iteration 24  lb 1512887 ub 5553359  cores 50 44 2  time 0.506365 1.3464
Iteration 25  lb 1512887 ub 5553359  cores 52 46 2  time 0.532059 1.43452
Iteration 26  lb 1512887 ub 5553359  cores 54 48 2  time 0.555839 1.50672
Iteration 27  lb 1512887 ub 5553359  cores 56 50 2  time 0.570418 1.61113
Iteration 28  lb 1512887 ub 5553359  cores 58 52 2  time 0.579173 1.72138
Iteration 29  lb 1512887 ub 5553359  cores 60 53 2  time 0.592114 1.81021
Iteration 30  lb 1512887 ub 5553359  cores 61 54 1  time 0.613288 1.934
Iteration 31  lb 1512888 ub 5553359  cores 63 56 2  time 0.646029 2.03949
Iteration 32  lb 1512888 ub 5553359  cores 65 58 2  time 0.686484 2.11851
Iteration 33  lb 1512888 ub 5553359  cores 67 59 2  time 0.693831 2.20377
Iteration 34  lb 1512888 ub 5553359  cores 69 61 2  time 0.722618 2.31508
Iteration 35  lb 1512888 ub 5553359  cores 71 63 2  time 0.773307 2.42896
Iteration 36  lb 1512888 ub 5553359  cores 73 65 2  time 0.783979 2.52797
Iteration 37  lb 1512888 ub 5553359  cores 75 67 2  time 0.79066 2.64897
Iteration 38  lb 1512888 ub 5553359  cores 77 68 2  time 0.793946 2.73261
Iteration 39  lb 1512888 ub 5553359  cores 79 70 2  time 0.816641 2.83937
Iteration 40  lb 1512888 ub 5553359  cores 81 72 2  time 0.844884 2.94652
Iteration 41  lb 1512888 ub 5553359  cores 83 74 2  time 0.859722 3.06441
Iteration 42  lb 1512890 ub 5553359  cores 85 76 2  time 0.9098 3.18329
Iteration 43  lb 1512890 ub 5553359  cores 87 78 2  time 0.924026 3.28542
Iteration 44  lb 1512891 ub 5553359  cores 89 80 2  time 0.953832 3.37943
Iteration 45  lb 1512891 ub 5553359  cores 91 81 2  time 1.04322 3.46414
Iteration 46  lb 1512891 ub 5553359  cores 93 83 2  time 1.06132 3.53281
Iteration 47  lb 1512891 ub 5553359  cores 95 85 2  time 1.1039 3.60904
Iteration 48  lb 1512893 ub 5553359  cores 97 87 2  time 1.11977 3.70821
Iteration 49  lb 1512893 ub 5553359  cores 99 89 2  time 1.12706 3.83288
Iteration 50  lb 1512893 ub 5553359  cores 101 90 2  time 1.13979 3.92249
Iteration 51  lb 1512893 ub 5553359  cores 103 92 2  time 1.15117 4.0435
Iteration 52  lb 1512893 ub 5553359  cores 105 94 2  time 1.19863 4.14502
Iteration 53  lb 1512893 ub 5553359  cores 107 96 2  time 1.20773 4.24089
Iteration 54  lb 1512893 ub 5553359  cores 109 98 2  time 1.21715 4.37876
Iteration 55  lb 1512893 ub 5553359  cores 111 99 2  time 1.22586 4.54469
Iteration 56  lb 1512893 ub 5553359  cores 113 101 2  time 1.26034 4.68189
Iteration 57  lb 1512894 ub 5553359  cores 115 103 2  time 1.27156 4.78568
Iteration 58  lb 1512897 ub 5553359  cores 117 105 2  time 1.36114 4.84775
Iteration 59  lb 1512898 ub 5553359  cores 119 107 2  time 1.3875 4.91576
Iteration 60  lb 1512898 ub 5553359  cores 121 109 2  time 1.4408 4.97068
Iteration 61  lb 1512899 ub 5553359  cores 123 111 2  time 1.47893 5.04173
Iteration 62  lb 1512899 ub 5553359  cores 125 113 2  time 1.50152 5.15736
Iteration 63  lb 1512900 ub 5553359  cores 126 114 1  time 1.57323 5.256
Iteration 64  lb 1512900 ub 5553359  cores 128 116 2  time 1.63346 5.31571
Iteration 65  lb 1512901 ub 5553359  cores 129 117 1  time 1.65919 5.43045
Iteration 66  lb 1512901 ub 5553359  cores 131 119 2  time 1.67629 5.53556
Iteration 67  lb 1512902 ub 5553359  cores 132 120 1  time 1.81041 5.66069
Iteration 68  lb 1512902 ub 5553359  cores 134 122 2  time 1.83479 5.78662
Iteration 69  lb 1512902 ub 5553359  cores 136 124 2  time 1.86434 5.89925
Iteration 70  lb 1512902 ub 5553359  cores 138 126 2  time 1.90091 6.01113
Iteration 71  lb 1512902 ub 5553359  cores 140 128 2  time 1.9126 6.12463
Iteration 72  lb 1512902 ub 5553359  cores 142 130 2  time 1.92987 6.26353
Iteration 73  lb 1512902 ub 5553359  cores 143 130 1  time 1.94482 6.40046
Iteration 74  lb 1512903 ub 5553359  cores 145 132 2  time 1.95458 6.5411
Iteration 75  lb 1512903 ub 5553359  cores 147 134 2  time 1.97506 6.65954
Iteration 76  lb 1512903 ub 5553359  cores 149 135 2  time 1.9825 6.7977
Iteration 77  lb 1512903 ub 5553359  cores 151 137 2  time 2.05055 6.94328
Iteration 78  lb 1512903 ub 5553359  cores 153 139 2  time 2.05881 7.04648
Iteration 79  lb 1512903 ub 5553359  cores 155 141 2  time 2.07238 7.17717
Iteration 80  lb 1512903 ub 5553359  cores 157 142 2  time 2.08554 7.33362
Iteration 81  lb 1512904 ub 5553359  cores 158 143 1  time 2.10684 7.48796
Iteration 82  lb 1512904 ub 5553359  cores 160 145 2  time 2.11427 7.63668
Iteration 83  lb 1512904 ub 5553359  cores 162 147 2  time 2.12177 7.76439
Iteration 84  lb 1512904 ub 5553359  cores 164 148 2  time 2.13228 7.90729
Iteration 85  lb 1512904 ub 5553359  cores 166 150 2  time 2.15351 8.04582
Iteration 86  lb 1512904 ub 5553359  cores 167 150 1  time 2.16137 8.20255
Iteration 87  lb 1512904 ub 5553359  cores 169 152 2  time 2.17435 8.47031
Iteration 88  lb 1512904 ub 5553359  cores 171 154 2  time 2.18418 8.72351
Iteration 89  lb 1512904 ub 5553359  cores 172 155 1  time 2.20879 8.86239
Iteration 90  lb 1512904 ub 5553359  cores 174 157 2  time 2.30161 8.98522
Iteration 91  lb 1512904 ub 5553359  cores 175 158 1  time 2.30977 9.14663
Iteration 92  lb 1512904 ub 5553359  cores 177 160 2  time 2.31893 9.34794
Iteration 93  lb 1512904 ub 5553359  cores 179 162 2  time 2.32706 9.63455
Iteration 94  lb 1512904 ub 5553359  cores 181 164 2  time 2.39203 9.76835
Iteration 95  lb 1512905 ub 5553359  cores 182 165 1  time 2.40659 10.0053
Iteration 96  lb 1512905 ub 5553359  cores 183 166 1  time 2.4629 10.2341
Iteration 97  lb 1512905 ub 5553359  cores 184 167 1  time 2.47666 10.3803
Iteration 98  lb 1512905 ub 5553359  cores 186 169 2  time 2.49166 10.612
Iteration 99  lb 1512905 ub 5553359  cores 187 170 1  time 2.49621 10.8678
Iteration 100  lb 1512905 ub 5553359  cores 188 171 1  time 2.73226 10.9632
Iteration 101  lb 1512906 ub 5553359  cores 189 172 1  time 2.93348 11.0785
Iteration 102  lb 1512906 ub 5553359  cores 190 173 1  time 2.9515 11.1825
Iteration 103  lb 1512907 ub 5553359  cores 191 174 1  time 3.00338 11.3069
Iteration 104  lb 1512907 ub 5553359  cores 193 176 2  time 3.04765 11.4114
Iteration 105  lb 1512908 ub 5553359  cores 194 177 1  time 3.09693 11.5725
Iteration 106  lb 1512908 ub 5553359  cores 196 179 2  time 3.15001 11.7338
