lb 1959818 ub 4441369 before adjustment
lb 0 ub 2481551 after adjustment
costs ready
21 variables 159 functions 1959818 lb, 2481551 ub
Iteration 0  lb 1959821 ub 4441369  cores 2 2 2  time 0.032984 0.066377
Iteration 1  lb 1959822 ub 4441369  cores 4 4 2  time 0.038894 0.119026
Iteration 2  lb 1959822 ub 4441369  cores 6 6 2  time 0.047245 0.140158
Iteration 3  lb 1959823 ub 4441369  cores 8 7 2  time 0.050765 0.163786
Iteration 4  lb 1959823 ub 4441369  cores 10 7 2  time 0.053931 0.185939
Iteration 5  lb 1959824 ub 4441369  cores 12 8 2  time 0.062451 0.209594
Iteration 6  lb 1959824 ub 4441369  cores 14 10 2  time 0.066457 0.230709
Iteration 7  lb 1959824 ub 4441369  cores 16 11 2  time 0.070597 0.252604
Iteration 8  lb 1959825 ub 4441369  cores 18 13 2  time 0.074015 0.276149
Iteration 9  lb 1959826 ub 4441369  cores 20 15 2  time 0.115241 0.297346
Iteration 10  lb 1959828 ub 4441369  cores 22 17 2  time 0.1354 0.320791
Iteration 11  lb 1959828 ub 4441369  cores 24 19 2  time 0.157538 0.344838
Iteration 12  lb 1959829 ub 4441369  cores 26 21 2  time 0.16718 0.371202
Iteration 13  lb 1959829 ub 4441369  cores 28 23 2  time 0.198239 0.400207
Iteration 14  lb 1959830 ub 4441369  cores 30 23 2  time 0.204331 0.428651
Iteration 15  lb 1959830 ub 4441369  cores 32 25 2  time 0.216424 0.4764
Iteration 16  lb 1959830 ub 4441369  cores 34 27 2  time 0.229775 0.514625
Iteration 17  lb 1959830 ub 4441369  cores 36 29 2  time 0.237739 0.559756
Iteration 18  lb 1959831 ub 4441369  cores 38 31 2  time 0.250323 0.606271
Iteration 19  lb 1959831 ub 4441369  cores 40 33 2  time 0.266822 0.646372
Iteration 20  lb 1959831 ub 4441369  cores 42 35 2  time 0.283231 0.69868
Iteration 21  lb 1959832 ub 4441369  cores 44 37 2  time 0.298111 0.76613
Iteration 22  lb 1959832 ub 4441369  cores 46 38 2  time 0.312801 0.825149
Iteration 23  lb 1959832 ub 4441369  cores 47 39 1  time 0.350477 0.902458
Iteration 24  lb 1959832 ub 4441369  cores 49 41 2  time 0.360717 0.997365
Iteration 25  lb 1959832 ub 4441369  cores 50 42 1  time 0.364507 1.07713
Iteration 26  lb 1959832 ub 4441369  cores 52 44 2  time 0.372948 1.1216
Iteration 27  lb 1959833 ub 4441369  cores 54 46 2  time 0.377589 1.18223
Iteration 28  lb 1959833 ub 4441369  cores 56 48 2  time 0.391269 1.22703
Iteration 29  lb 1959833 ub 4441369  cores 57 49 1  time 0.4079 1.29685
Iteration 30  lb 1959833 ub 4441369  cores 59 50 2  time 0.433218 1.375
Iteration 31  lb 1959833 ub 4441369  cores 61 52 2  time 0.47171 1.44509
Iteration 32  lb 1959834 ub 4441369  cores 63 54 2  time 0.494656 1.50474
Iteration 33  lb 1959834 ub 4441369  cores 65 56 2  time 0.516503 1.57412
Iteration 34  lb 1959834 ub 4441369  cores 67 58 2  time 0.565096 1.62799
Iteration 35  lb 1959834 ub 4441369  cores 69 60 2  time 0.583432 1.67869
Iteration 36  lb 1959834 ub 4441369  cores 71 62 2  time 0.599866 1.76654
Iteration 37  lb 1959834 ub 4441369  cores 73 64 2  time 0.634874 1.85853
Iteration 38  lb 1959835 ub 4441369  cores 76 67 3  time 0.666393 1.95964
Iteration 39  lb 1959835 ub 4441369  cores 78 69 2  time 0.701675 2.05079
Iteration 40  lb 1959835 ub 4441369  cores 80 71 2  time 0.713704 2.15861
Iteration 41  lb 1959835 ub 4441369  cores 83 74 3  time 0.728115 2.28288
Iteration 42  lb 1959835 ub 4441369  cores 85 76 2  time 0.756622 2.37756
Iteration 43  lb 1959836 ub 4441369  cores 87 78 2  time 0.787591 2.45497
Iteration 44  lb 1959836 ub 4441369  cores 89 80 2  time 0.795303 2.5279
Iteration 45  lb 1959836 ub 4441369  cores 91 81 2  time 0.807882 2.61324
Iteration 46  lb 1959836 ub 4441369  cores 93 83 2  time 0.815751 2.68942
Iteration 47  lb 1959836 ub 4441369  cores 95 84 2  time 0.822812 2.77404
Iteration 48  lb 1959836 ub 4441369  cores 97 86 2  time 0.892561 2.89201
Iteration 49  lb 1959837 ub 4441369  cores 99 88 2  time 0.909408 2.96889
Iteration 50  lb 1959837 ub 4441369  cores 101 90 2  time 0.940504 3.02937
Iteration 51  lb 1959837 ub 4441369  cores 103 92 2  time 0.96834 3.14646
Iteration 52  lb 1959837 ub 4441369  cores 105 94 2  time 0.977342 3.26203
Iteration 53  lb 1959837 ub 4441369  cores 107 96 2  time 0.989085 3.36075
Iteration 54  lb 1959837 ub 4441369  cores 109 98 2  time 0.994284 3.4986
Iteration 55  lb 1959837 ub 4441369  cores 111 100 2  time 1.00349 3.60273
Iteration 56  lb 1959838 ub 4441369  cores 113 102 2  time 1.00754 3.73092
Iteration 57  lb 1959838 ub 4441369  cores 115 103 2  time 1.0129 3.8929
Iteration 58  lb 1959838 ub 4441369  cores 117 105 2  time 1.01916 3.99671
Iteration 59  lb 1959838 ub 4441369  cores 119 107 2  time 1.02513 4.20602
Iteration 60  lb 1959838 ub 4441369  cores 121 109 2  time 1.03817 4.33069
Iteration 61  lb 1959838 ub 4441369  cores 123 111 2  time 1.04301 4.50218
Iteration 62  lb 1959838 ub 4441369  cores 124 112 1  time 1.04558 4.78336
Iteration 63  lb 1959838 ub 4441369  cores 126 113 2  time 1.05314 4.93328
Iteration 64  lb 1959838 ub 4441369  cores 128 115 2  time 1.05768 5.07559
Iteration 65  lb 1959838 ub 4441369  cores 130 117 2  time 1.0636 5.22078
Iteration 66  lb 1959838 ub 4441369  cores 132 119 2  time 1.07054 5.36169
Iteration 67  lb 1959838 ub 4441369  cores 134 121 2  time 1.07588 5.55919
Iteration 68  lb 1959839 ub 4441369  cores 136 123 2  time 1.09976 5.67319
Iteration 69  lb 1959839 ub 4441369  cores 138 125 2  time 1.10889 5.78986
Iteration 70  lb 1959839 ub 4441369  cores 140 126 2  time 1.11373 5.89291
Iteration 71  lb 1959839 ub 4441369  cores 142 127 2  time 1.11998 6.01578
Iteration 72  lb 1959839 ub 4441369  cores 143 128 1  time 1.12224 6.15269
Iteration 73  lb 1959839 ub 4441369  cores 145 130 2  time 1.14067 6.33429
Iteration 74  lb 1959839 ub 4441369  cores 147 132 2  time 1.14739 6.46031
Iteration 75  lb 1959839 ub 4441369  cores 149 134 2  time 1.15537 6.54763
Iteration 76  lb 1959839 ub 4441369  cores 151 135 2  time 1.15935 6.78547
Iteration 77  lb 1959839 ub 4441369  cores 153 137 2  time 1.16895 6.95842
Iteration 78  lb 1959839 ub 4441369  cores 155 139 2  time 1.19314 7.13268
Iteration 79  lb 1959840 ub 4441369  cores 157 141 2  time 1.1971 7.33526
Iteration 80  lb 1959840 ub 4441369  cores 159 143 2  time 1.21668 7.57718
Iteration 81  lb 1959840 ub 4441369  cores 161 144 2  time 1.23503 7.70032
Iteration 82  lb 1959840 ub 4441369  cores 163 146 2  time 1.24211 7.83024
Iteration 83  lb 1959840 ub 4441369  cores 165 148 2  time 1.25663 8.04123
Iteration 84  lb 1959840 ub 4441369  cores 166 149 1  time 1.25847 8.21788
Iteration 85  lb 1959840 ub 4441369  cores 167 150 1  time 1.2605 8.53625
Iteration 86  lb 1959840 ub 4441369  cores 169 150 2  time 1.27763 8.87614
Iteration 87  lb 1959840 ub 4441369  cores 171 150 2  time 1.28151 9.01484
Iteration 88  lb 1959840 ub 4441369  cores 173 152 2  time 1.29198 9.22157
Iteration 89  lb 1959840 ub 4441369  cores 175 154 2  time 1.31177 9.42217
Iteration 90  lb 1959840 ub 4441369  cores 177 156 2  time 1.31597 9.71497
Iteration 91  lb 1959840 ub 4441369  cores 178 157 1  time 1.32431 9.96685
Iteration 92  lb 1959841 ub 4441369  cores 180 159 2  time 1.34035 10.1661
Iteration 93  lb 1959841 ub 4441369  cores 182 161 2  time 1.37056 10.444
Iteration 94  lb 1959841 ub 4441369  cores 183 162 1  time 1.37504 10.7151
Iteration 95  lb 1959841 ub 4441369  cores 185 164 2  time 1.381 11.1049
Iteration 96  lb 1959841 ub 4441369  cores 187 165 2  time 1.3962 11.3124
Iteration 97  lb 1959841 ub 4441369  cores 188 166 1  time 1.40017 11.5236
Iteration 98  lb 1959841 ub 4441369  cores 190 168 2  time 1.40664 11.7881
Iteration 99  lb 1959841 ub 4441369  cores 192 170 2  time 1.41608 11.9539
Iteration 100  lb 1959841 ub 4441369  cores 193 171 1  time 1.42003 12.1867
Iteration 101  lb 1959841 ub 4441369  cores 195 171 2  time 1.42664 12.3892
Iteration 102  lb 1959841 ub 4441369  cores 196 172 1  time 1.43164 12.619
Iteration 103  lb 1959841 ub 4441369  cores 198 174 2  time 1.44013 12.9825
Iteration 104  lb 1959841 ub 4441369  cores 200 176 2  time 1.44719 13.2977
Iteration 105  lb 1959841 ub 4441369  cores 201 177 1  time 1.4642 13.6554
Iteration 106  lb 1959841 ub 4441369  cores 203 179 2  time 1.47054 13.9647
Iteration 107  lb 1959842 ub 4441369  cores 204 180 1  time 1.48682 14.2881
Iteration 108  lb 1959842 ub 4441369  cores 206 182 2  time 1.49731 14.5404
Iteration 109  lb 1959842 ub 4441369  cores 207 183 1  time 1.50181 14.9177
Iteration 110  lb 1959842 ub 4441369  cores 209 185 2  time 1.5077 15.3732
Iteration 111  lb 1959842 ub 4441369  cores 211 186 2  time 1.52108 15.635
Iteration 112  lb 1959842 ub 4441369  cores 213 188 2  time 1.53712 16.0922
Iteration 113  lb 1959842 ub 4441369  cores 214 189 1  time 1.53976 16.6087
Iteration 114  lb 1959842 ub 4441369  cores 215 190 1  time 1.5426 17.0074
Iteration 115  lb 1959842 ub 4441369  cores 217 192 2  time 1.55517 17.4426
Iteration 116  lb 1959842 ub 4441369  cores 219 194 2  time 1.80553 17.6296
Iteration 117  lb 1959842 ub 4441369  cores 221 196 2  time 1.83206 18.1135
Iteration 118  lb 1959843 ub 4441369  cores 223 197 2  time 1.85059 18.3885
Iteration 119  lb 1959843 ub 4441369  cores 225 197 2  time 1.87083 18.5914
Iteration 120  lb 1959844 ub 4441369  cores 227 199 2  time 1.88716 18.8247
Iteration 121  lb 1959845 ub 4441369  cores 229 201 2  time 1.92209 19.0467
Iteration 122  lb 1959845 ub 4441369  cores 231 203 2  time 1.9322 19.2095
Iteration 123  lb 1959845 ub 4441369  cores 233 205 2  time 1.94074 19.4374
Iteration 124  lb 1959845 ub 4441369  cores 235 207 2  time 1.95385 19.6206
Iteration 125  lb 1959845 ub 4441369  cores 237 209 2  time 1.9678 19.7906
Iteration 126  lb 1959845 ub 4441369  cores 239 211 2  time 1.98448 20.2171
Iteration 127  lb 1959845 ub 4441369  cores 241 212 2  time 1.9909 20.539
Iteration 128  lb 1959845 ub 4441369  cores 243 214 2  time 2.00452 21.0717
Iteration 129  lb 1959845 ub 4441369  cores 245 215 2  time 2.01644 21.3452
Iteration 130  lb 1959845 ub 4441369  cores 247 217 2  time 2.02781 21.8293
Iteration 131  lb 1959845 ub 4441369  cores 249 219 2  time 2.0436 22.0881
Iteration 132  lb 1959845 ub 4441369  cores 251 221 2  time 2.05299 22.4635
Iteration 133  lb 1959845 ub 4441369  cores 253 223 2  time 2.07116 22.6899
Iteration 134  lb 1959845 ub 4441369  cores 255 225 2  time 2.07923 23.0973
Iteration 135  lb 1959845 ub 4441369  cores 257 227 2  time 2.09254 23.4983
Iteration 136  lb 1959845 ub 4441369  cores 259 229 2  time 2.09864 23.9904
Iteration 137  lb 1959846 ub 4441369  cores 261 231 2  time 2.11111 24.38
Iteration 138  lb 1959846 ub 4441369  cores 263 233 2  time 2.1256 24.834
Iteration 139  lb 1959846 ub 4441369  cores 265 233 2  time 2.13335 25.3472
Iteration 140  lb 1959846 ub 4441369  cores 267 235 2  time 2.13977 25.6313
Iteration 141  lb 1959846 ub 4441369  cores 269 237 2  time 2.14984 26.1028
Iteration 142  lb 1959846 ub 4441369  cores 271 237 2  time 2.15904 26.5258
