lb 3068483 ub 13846793 before adjustment
lb 0 ub 10778310 after adjustment
costs ready
35 variables 542 functions 3068483 lb, 10778310 ub
Iteration 0  lb 3068490 ub 13846793  cores 5 5 5  time 0.432644 0.068094
Iteration 1  lb 3068491 ub 13846793  cores 10 10 5  time 0.691017 0.154502
Iteration 2  lb 3068492 ub 13846793  cores 15 15 5  time 0.917095 0.245909
Iteration 3  lb 3068493 ub 13846793  cores 19 19 4  time 1.15156 0.337085
Iteration 4  lb 3068499 ub 13846793  cores 24 24 5  time 2.01172 0.434448
Iteration 5  lb 3068500 ub 13846793  cores 29 28 5  time 2.51194 0.54506
Iteration 6  lb 3068510 ub 13846793  cores 34 33 5  time 3.15545 0.653184
Iteration 7  lb 3068511 ub 13846793  cores 40 38 6  time 3.61715 0.756862
Iteration 8  lb 3068513 ub 13846793  cores 45 43 5  time 4.22553 0.898519
Iteration 9  lb 3068514 ub 13846793  cores 50 48 5  time 4.73741 1.04187
Iteration 10  lb 3068514 ub 13846793  cores 53 51 3  time 5.71444 1.21121
Iteration 11  lb 3068516 ub 13846793  cores 57 55 4  time 6.16425 1.35277
Iteration 12  lb 3068517 ub 13846793  cores 60 58 3  time 6.38587 1.4993
Iteration 13  lb 3068520 ub 13846793  cores 64 62 4  time 7.39689 1.6784
Iteration 14  lb 3068521 ub 13846793  cores 68 66 4  time 7.73853 1.88868
Iteration 15  lb 3068522 ub 13846793  cores 71 69 3  time 8.02857 2.10117
Iteration 16  lb 3068522 ub 13846793  cores 74 72 3  time 8.14774 2.33671
Iteration 17  lb 3068522 ub 13846793  cores 77 75 3  time 8.59514 2.57006
Iteration 18  lb 3068523 ub 13846793  cores 81 79 4  time 8.78205 2.81318
Iteration 19  lb 3068523 ub 13846793  cores 84 82 3  time 8.9538 3.04737
Iteration 20  lb 3068523 ub 13846793  cores 88 86 4  time 9.24475 3.29956
Iteration 21  lb 3068523 ub 13846793  cores 91 89 3  time 9.42714 3.56221
Iteration 22  lb 3068523 ub 13846793  cores 94 92 3  time 9.57027 3.81143
Iteration 23  lb 3068523 ub 13846793  cores 98 96 4  time 9.87619 4.07059
Iteration 24  lb 3068523 ub 13846793  cores 102 100 4  time 10.6269 4.47474
Iteration 25  lb 3068523 ub 13846793  cores 106 104 4  time 10.8866 4.73892
Iteration 26  lb 3068524 ub 13846793  cores 110 108 4  time 11.2052 5.12185
Iteration 27  lb 3068525 ub 13846793  cores 113 111 3  time 11.884 5.32669
Iteration 28  lb 3068526 ub 13846793  cores 117 115 4  time 12.1844 5.61183
Iteration 29  lb 3068526 ub 13846793  cores 121 119 4  time 12.8827 5.8156
Iteration 30  lb 3068528 ub 13846793  cores 125 123 4  time 13.4292 6.05534
Iteration 31  lb 3068528 ub 13846793  cores 130 128 5  time 13.8475 6.29781
Iteration 32  lb 3068528 ub 13846793  cores 134 132 4  time 14.2461 6.59869
Iteration 33  lb 3068530 ub 13846793  cores 139 137 5  time 14.6281 6.81376
Iteration 34  lb 3068531 ub 13846793  cores 143 141 4  time 15.1369 7.181
Iteration 35  lb 3068533 ub 13846793  cores 147 145 4  time 15.698 8.32749
Iteration 36  lb 3068533 ub 13846793  cores 151 149 4  time 16.1323 9.2754
Iteration 37  lb 3068534 ub 13846793  cores 155 153 4  time 16.5142 10.0637
Iteration 38  lb 3068535 ub 13846793  cores 160 158 5  time 16.7481 11.1847
Iteration 39  lb 3068535 ub 13846793  cores 164 162 4  time 16.9545 12.1868
Iteration 40  lb 3068536 ub 13846793  cores 169 167 5  time 17.3774 13.1393
Iteration 41  lb 3068536 ub 13846793  cores 173 171 4  time 17.6773 14.3256
Iteration 42  lb 3068536 ub 13846793  cores 176 174 3  time 17.9268 15.5453
Iteration 43  lb 3068537 ub 13846793  cores 180 178 4  time 18.7972 16.8906
Iteration 44  lb 3068537 ub 13846793  cores 184 182 4  time 19.0478 18.0812
Iteration 45  lb 3068538 ub 13846793  cores 187 185 3  time 19.2863 19.2274
Iteration 46  lb 3068539 ub 13846793  cores 191 189 4  time 19.4532 20.4091
Iteration 47  lb 3068539 ub 13846793  cores 195 193 4  time 19.9789 21.5662
Iteration 48  lb 3068539 ub 13846793  cores 199 197 4  time 20.5899 22.5926
Iteration 49  lb 3068540 ub 13846793  cores 203 201 4  time 22.0128 23.8782
Iteration 50  lb 3068541 ub 13846793  cores 207 205 4  time 22.3897 25.3475
Iteration 51  lb 3068542 ub 13846793  cores 210 208 3  time 22.8569 26.8788
Iteration 52  lb 3068544 ub 13846793  cores 214 212 4  time 23.626 28.1798
Iteration 53  lb 3068546 ub 13846793  cores 217 215 3  time 24.5025 30.3888
Iteration 54  lb 3068547 ub 13846793  cores 221 219 4  time 25.2682 32.5077
Iteration 55  lb 3068549 ub 13846793  cores 225 223 4  time 25.7322 34.4122
Iteration 56  lb 3068550 ub 13846793  cores 229 227 4  time 25.9993 36.0898
Iteration 57  lb 3068550 ub 13846793  cores 233 231 4  time 26.4292 38.5383
Iteration 58  lb 3068550 ub 13846793  cores 237 235 4  time 26.6833 40.3321
Iteration 59  lb 3068551 ub 13846793  cores 241 239 4  time 27.0589 42.0483
Iteration 60  lb 3068551 ub 13846793  cores 245 243 4  time 27.3979 43.4442
Iteration 61  lb 3068552 ub 13846793  cores 249 247 4  time 27.7391 45.7312
Iteration 62  lb 3068552 ub 13846793  cores 253 251 4  time 28.0496 48.0218
Iteration 63  lb 3068552 ub 13846793  cores 257 255 4  time 28.3296 50.5669
Iteration 64  lb 3068553 ub 13846793  cores 260 258 3  time 28.5907 53.1545
Iteration 65  lb 3068553 ub 13846793  cores 264 262 4  time 28.9189 56.0517
Iteration 66  lb 3068553 ub 13846793  cores 268 266 4  time 29.4191 58.3965
Iteration 67  lb 3068554 ub 13846793  cores 272 270 4  time 29.9167 60.683
Iteration 68  lb 3068554 ub 13846793  cores 275 273 3  time 30.2023 63.2555
Iteration 69  lb 3068554 ub 13846793  cores 279 277 4  time 30.4531 65.7897
Iteration 70  lb 3068555 ub 13846793  cores 283 281 4  time 30.6994 68.2361
Iteration 71  lb 3068555 ub 13846793  cores 287 285 4  time 31.4073 71.1072
Iteration 72  lb 3068555 ub 13846793  cores 290 288 3  time 31.8887 73.9955
Iteration 73  lb 3068555 ub 13846793  cores 294 292 4  time 32.8556 76.5819
Iteration 74  lb 3068555 ub 13846793  cores 297 295 3  time 33.334 79.8013
Iteration 75  lb 3068555 ub 13846793  cores 300 298 3  time 33.6321 82.3692
Iteration 76  lb 3068555 ub 13846793  cores 304 302 4  time 34.3527 84.9727
Iteration 77  lb 3068555 ub 13846793  cores 308 306 4  time 35.0199 86.699
Iteration 78  lb 3068555 ub 13846793  cores 311 309 3  time 35.3914 89.4692
Iteration 79  lb 3068556 ub 13846793  cores 314 312 3  time 36.3013 91.9789
Iteration 80  lb 3068556 ub 13846793  cores 318 316 4  time 36.9663 94.7832
Iteration 81  lb 3068557 ub 13846793  cores 322 320 4  time 37.4632 98.153
Iteration 82  lb 3068557 ub 13846793  cores 325 323 3  time 39.2258 101.126
Iteration 83  lb 3068557 ub 13846793  cores 328 326 3  time 39.6583 103.828
Iteration 84  lb 3068558 ub 13846793  cores 332 330 4  time 39.9605 106.527
Iteration 85  lb 3068560 ub 13846793  cores 335 333 3  time 40.2701 110.012
Iteration 86  lb 3068560 ub 13846793  cores 338 336 3  time 40.5885 112.9
Iteration 87  lb 3068561 ub 13846793  cores 342 340 4  time 40.7654 116.711
Iteration 88  lb 3068561 ub 13846793  cores 346 344 4  time 41.125 120.581
Iteration 89  lb 3068561 ub 13846793  cores 349 347 3  time 41.5055 124.498
Iteration 90  lb 3068561 ub 13846793  cores 352 349 3  time 41.6476 128.638
Iteration 91  lb 3068562 ub 13846793  cores 356 353 4  time 42.2852 132.769
Iteration 92  lb 3068562 ub 13846793  cores 360 357 4  time 42.8853 136.025
Iteration 93  lb 3068562 ub 13846793  cores 365 362 5  time 43.4183 140.196
Iteration 94  lb 3068562 ub 13846793  cores 368 365 3  time 44.1872 144.299
Iteration 95  lb 3068563 ub 13846793  cores 372 369 4  time 44.6445 148.079
Iteration 96  lb 3068563 ub 13846793  cores 375 372 3  time 45.1978 152.164
Iteration 97  lb 3068564 ub 13846793  cores 378 375 3  time 45.6532 156.691
Iteration 98  lb 3068564 ub 13846793  cores 382 379 4  time 45.8433 160.453
Iteration 99  lb 3068564 ub 13846793  cores 386 383 4  time 46.2694 165.158
Iteration 100  lb 3068564 ub 13846793  cores 389 386 3  time 46.7531 169.686
Iteration 101  lb 3068565 ub 13846793  cores 393 390 4  time 47.0949 174.298
Iteration 102  lb 3068565 ub 13846793  cores 396 393 3  time 47.4149 179.249
Iteration 103  lb 3068565 ub 13846793  cores 400 397 4  time 48.1102 184.363
Iteration 104  lb 3068566 ub 13846793  cores 404 401 4  time 48.4798 189.564
Iteration 105  lb 3068566 ub 13846793  cores 407 404 3  time 48.864 194.703
Iteration 106  lb 3068566 ub 13846793  cores 411 408 4  time 49.5932 200.073
Iteration 107  lb 3068566 ub 13846793  cores 414 411 3  time 49.9801 205.023
Iteration 108  lb 3068566 ub 13846793  cores 418 415 4  time 50.6494 210.014
Iteration 109  lb 3068566 ub 13846793  cores 421 418 3  time 50.9859 215.968
Iteration 110  lb 3068566 ub 13846793  cores 424 421 3  time 51.2584 220.31
Iteration 111  lb 3068566 ub 13846793  cores 427 424 3  time 51.689 226.207
Iteration 112  lb 3068567 ub 13846793  cores 431 428 4  time 52.0253 231.346
Iteration 113  lb 3068567 ub 13846793  cores 434 431 3  time 52.1986 236.416
Iteration 114  lb 3068567 ub 13846793  cores 438 435 4  time 52.9669 241.644
Iteration 115  lb 3068567 ub 13846793  cores 441 438 3  time 53.1746 247.535
Iteration 116  lb 3068567 ub 13846793  cores 445 442 4  time 53.6495 253.403
Iteration 117  lb 3068567 ub 13846793  cores 449 446 4  time 53.9904 259.477
Iteration 118  lb 3068567 ub 13846793  cores 452 449 3  time 54.4475 265.367
Iteration 119  lb 3068567 ub 13846793  cores 455 452 3  time 54.7714 270.788
Iteration 120  lb 3068567 ub 13846793  cores 458 455 3  time 55.071 277.08
Iteration 121  lb 3068568 ub 13846793  cores 462 459 4  time 55.6638 283.364
Iteration 122  lb 3068568 ub 13846793  cores 465 462 3  time 55.8658 290.632
Iteration 123  lb 3068568 ub 13846793  cores 469 466 4  time 56.0747 296.457
Iteration 124  lb 3068568 ub 13846793  cores 473 470 4  time 56.3205 302.987
Iteration 125  lb 3068568 ub 13846793  cores 476 473 3  time 56.8131 309.629
Iteration 126  lb 3068568 ub 13846793  cores 480 477 4  time 57.2072 315.981
Iteration 127  lb 3068568 ub 13846793  cores 483 480 3  time 57.4895 323.138
Iteration 128  lb 3068568 ub 13846793  cores 487 484 4  time 57.7227 328.928
Iteration 129  lb 3068569 ub 13846793  cores 490 487 3  time 58.1552 336.875
Iteration 130  lb 3068569 ub 13846793  cores 494 490 4  time 58.3192 345.373
Iteration 131  lb 3068569 ub 13846793  cores 498 494 4  time 58.4836 353.449
Iteration 132  lb 3068569 ub 13846793  cores 502 498 4  time 58.8815 360.936
Iteration 133  lb 3068569 ub 13846793  cores 505 501 3  time 59.1251 368.572
Iteration 134  lb 3068569 ub 13846793  cores 509 505 4  time 59.4113 375.829
Iteration 135  lb 3068569 ub 13846793  cores 513 509 4  time 59.5465 383.714
Iteration 136  lb 3068569 ub 13846793  cores 516 512 3  time 60.0612 391.988
Iteration 137  lb 3068569 ub 13846793  cores 519 515 3  time 60.4231 401.229
Iteration 138  lb 3068569 ub 13846793  cores 523 519 4  time 60.7733 410.068
Iteration 139  lb 3068570 ub 13846793  cores 526 522 3  time 61.2082 419.435
Iteration 140  lb 3068570 ub 13846793  cores 530 526 4  time 61.6382 427.622
Iteration 141  lb 3068570 ub 13846793  cores 533 529 3  time 62.3916 436.922
Iteration 142  lb 3068570 ub 13846793  cores 536 532 3  time 62.5693 445.42
Iteration 143  lb 3068570 ub 13846793  cores 540 536 4  time 62.9585 453.553
Iteration 144  lb 3068570 ub 13846793  cores 543 539 3  time 63.1447 462.537
Iteration 145  lb 3068570 ub 13846793  cores 547 543 4  time 63.3811 471.435
Iteration 146  lb 3068570 ub 13846793  cores 551 547 4  time 63.9896 479.589
Iteration 147  lb 3068570 ub 13846793  cores 554 550 3  time 64.2399 487.358
Iteration 148  lb 3068570 ub 13846793  cores 558 554 4  time 64.52 495.26
Iteration 149  lb 3068570 ub 13846793  cores 561 557 3  time 64.953 503.933
Iteration 150  lb 3068571 ub 13846793  cores 564 560 3  time 65.4139 511.66
Iteration 151  lb 3068571 ub 13846793  cores 567 563 3  time 66.0562 520.454
Iteration 152  lb 3068571 ub 13846793  cores 570 566 3  time 66.3165 529.477
Iteration 153  lb 3068571 ub 13846793  cores 574 570 4  time 66.6708 537.724
Iteration 154  lb 3068571 ub 13846793  cores 577 573 3  time 66.8476 547.338
Iteration 155  lb 3068571 ub 13846793  cores 580 576 3  time 67.147 556.577
Iteration 156  lb 3068571 ub 13846793  cores 584 580 4  time 67.3263 566.587
Iteration 157  lb 3068571 ub 13846793  cores 588 584 4  time 67.5479 575.629
Iteration 158  lb 3068572 ub 13846793  cores 591 587 3  time 67.8856 586.747
