lb 2902974 ub 24064097 before adjustment
lb 0 ub 21161123 after adjustment
costs ready
34 variables 483 functions 2902974 lb, 21161123 ub
Iteration 0  lb 2902986 ub 24064097  cores 8 8 8  time 3.06164 0.23688
Iteration 1  lb 2902993 ub 24064097  cores 16 16 8  time 9.88822 0.525589
Iteration 2  lb 2903001 ub 24064097  cores 23 23 7  time 15.1921 0.827753
Iteration 3  lb 2903025 ub 24064097  cores 30 30 7  time 17.9015 1.13659
Iteration 4  lb 2903062 ub 24064097  cores 37 37 7  time 22.8012 1.4719
Iteration 5  lb 2903075 ub 24064097  cores 45 45 8  time 31.6369 1.84061
Iteration 6  lb 2903080 ub 24064097  cores 53 53 8  time 34.5895 2.21365
Iteration 7  lb 2903140 ub 24064097  cores 60 60 7  time 42.1693 2.60421
Iteration 8  lb 2903165 ub 24064097  cores 66 65 6  time 47.8429 2.98493
Iteration 9  lb 2903171 ub 24064097  cores 73 72 7  time 53.6686 3.44034
Iteration 10  lb 2903181 ub 24064097  cores 79 78 6  time 58.7541 3.87096
Iteration 11  lb 2903204 ub 24064097  cores 87 86 8  time 71.9482 4.36458
Iteration 12  lb 2903212 ub 24064097  cores 94 93 7  time 75.4877 5.27383
Iteration 13  lb 2903213 ub 24064097  cores 101 100 7  time 79.2233 5.78651
Iteration 14  lb 2903215 ub 24064097  cores 107 106 6  time 82.4911 6.59484
Iteration 15  lb 2903216 ub 24064097  cores 113 111 6  time 86.5606 7.65643
Iteration 16  lb 2903219 ub 24064097  cores 118 116 5  time 89.6607 8.70889
Iteration 17  lb 2903223 ub 24064097  cores 123 121 5  time 96.6165 9.64077
Iteration 18  lb 2903226 ub 24064097  cores 130 128 7  time 102.156 10.2882
Iteration 19  lb 2903233 ub 24064097  cores 139 137 9  time 107.905 11.8236
Iteration 20  lb 2903237 ub 24064097  cores 146 143 7  time 120.224 13.2637
Iteration 21  lb 2903248 ub 24064097  cores 152 149 6  time 127.832 14.5643
Iteration 22  lb 2903262 ub 24064097  cores 158 155 6  time 134.474 15.8354
Iteration 23  lb 2903274 ub 24064097  cores 165 161 7  time 139.823 16.6585
Iteration 24  lb 2903282 ub 24064097  cores 172 168 7  time 146.244 18.5261
Iteration 25  lb 2903287 ub 24064097  cores 177 173 5  time 153.184 20.383
Iteration 26  lb 2903296 ub 24064097  cores 183 179 6  time 191.884 21.5731
Iteration 27  lb 2903308 ub 24064097  cores 190 186 7  time 196.526 23.444
Iteration 28  lb 2903325 ub 24064097  cores 197 193 7  time 200.679 26.4453
Iteration 29  lb 2903327 ub 24064097  cores 203 199 6  time 205.885 29.6212
Iteration 30  lb 2903337 ub 24064097  cores 210 206 7  time 252.643 32.813
Iteration 31  lb 2903341 ub 24064097  cores 217 213 7  time 263.829 36.0713
Iteration 32  lb 2903342 ub 24064097  cores 224 219 7  time 270.039 40.3957
