lb 8909714 ub 18882433 before adjustment
lb 0 ub 9972719 after adjustment
costs ready
52 variables 1028 functions 8909714 lb, 9972719 ub
Iteration 0  lb 8909723 ub 18882433  cores 8 8 8  time 0.216463 0.050999
Iteration 1  lb 8909724 ub 18882433  cores 14 14 6  time 0.352104 0.11575
Iteration 2  lb 8909725 ub 18882433  cores 20 20 6  time 0.579199 0.184751
Iteration 3  lb 8909726 ub 18882433  cores 27 27 7  time 0.788586 0.260011
Iteration 4  lb 8909726 ub 18882433  cores 33 33 6  time 0.996813 0.34965
Iteration 5  lb 8909727 ub 18882433  cores 38 38 5  time 1.1721 0.447768
Iteration 6  lb 8909727 ub 18882433  cores 44 44 6  time 1.37338 0.555544
Iteration 7  lb 8909727 ub 18882433  cores 50 50 6  time 1.84114 0.674346
Iteration 8  lb 8909728 ub 18882433  cores 57 57 7  time 2.19748 0.873056
Iteration 9  lb 8909729 ub 18882433  cores 63 63 6  time 2.36027 1.00992
Iteration 10  lb 8909729 ub 18882433  cores 69 69 6  time 2.54536 1.17672
Iteration 11  lb 8909729 ub 18882433  cores 74 74 5  time 2.83093 1.41282
Iteration 12  lb 8909730 ub 18882433  cores 80 80 6  time 3.10504 1.67664
Iteration 13  lb 8909730 ub 18882433  cores 85 85 5  time 3.24836 2.19528
Iteration 14  lb 8909730 ub 18882433  cores 90 90 5  time 3.41542 2.62901
Iteration 15  lb 8909731 ub 18882433  cores 96 96 6  time 3.64416 3.21095
Iteration 16  lb 8909731 ub 18882433  cores 102 102 6  time 3.84099 3.92437
Iteration 17  lb 8909732 ub 18882433  cores 108 108 6  time 4.01577 4.50434
Iteration 18  lb 8909732 ub 18882433  cores 114 114 6  time 4.21558 4.71551
Iteration 19  lb 8909733 ub 18882433  cores 120 120 6  time 4.36455 5.83226
Iteration 20  lb 8909733 ub 18882433  cores 126 125 6  time 4.55413 6.78861
Iteration 21  lb 8909734 ub 18882433  cores 132 130 6  time 4.8715 7.60669
Iteration 22  lb 8909734 ub 18882433  cores 138 136 6  time 5.40416 8.78911
Iteration 23  lb 8909734 ub 18882433  cores 144 142 6  time 5.59375 9.67026
Iteration 24  lb 8909734 ub 18882433  cores 149 147 5  time 5.80064 12.0431
Iteration 25  lb 8909735 ub 18882433  cores 153 151 4  time 5.91633 14.4956
Iteration 26  lb 8909735 ub 18882433  cores 158 156 5  time 6.15602 16.6729
Iteration 27  lb 8909735 ub 18882433  cores 163 161 5  time 6.37453 17.8152
Iteration 28  lb 8909735 ub 18882433  cores 169 167 6  time 6.54863 20.0558
Iteration 29  lb 8909735 ub 18882433  cores 175 173 6  time 6.75755 22.4141
Iteration 30  lb 8909735 ub 18882433  cores 180 178 5  time 6.94122 26.3036
Iteration 31  lb 8909736 ub 18882433  cores 184 182 4  time 7.09219 32.6981
Iteration 32  lb 8909736 ub 18882433  cores 189 187 5  time 7.28041 35.4158
Iteration 33  lb 8909736 ub 18882433  cores 193 191 4  time 7.43754 39.0369
Iteration 34  lb 8909736 ub 18882433  cores 198 196 5  time 7.58928 42.3529
Iteration 35  lb 8909736 ub 18882433  cores 203 201 5  time 7.79065 45.6621
Iteration 36  lb 8909736 ub 18882433  cores 207 205 4  time 7.94441 48.7104
Iteration 37  lb 8909736 ub 18882433  cores 212 210 5  time 8.06899 52.176
Iteration 38  lb 8909736 ub 18882433  cores 217 215 5  time 8.2987 58.7916
Iteration 39  lb 8909737 ub 18882433  cores 222 220 5  time 8.48148 72.6127
Iteration 40  lb 8909737 ub 18882433  cores 225 223 3  time 8.56907 84.9682
Iteration 41  lb 8909737 ub 18882433  cores 230 228 5  time 8.77323 95.7839
Iteration 42  lb 8909737 ub 18882433  cores 235 233 5  time 9.03467 103.449
Iteration 43  lb 8909737 ub 18882433  cores 240 238 5  time 9.1698 107.788
Iteration 44  lb 8909737 ub 18882433  cores 245 243 5  time 9.27758 115.616
Iteration 45  lb 8909737 ub 18882433  cores 250 248 5  time 9.3973 119.955
Iteration 46  lb 8909737 ub 18882433  cores 256 254 6  time 9.55713 127.484
Iteration 47  lb 8909737 ub 18882433  cores 262 260 6  time 9.71083 132.594
Iteration 48  lb 8909737 ub 18882433  cores 267 265 5  time 9.86791 137.969
Iteration 49  lb 8909737 ub 18882433  cores 272 270 5  time 9.97887 153.577
Iteration 50  lb 8909737 ub 18882433  cores 278 276 6  time 10.3097 159.051
Iteration 51  lb 8909737 ub 18882433  cores 283 281 5  time 10.5926 166.637
Iteration 52  lb 8909738 ub 18882433  cores 289 287 6  time 10.9241 180.654
Iteration 53  lb 8909738 ub 18882433  cores 294 292 5  time 11.0575 190.739
Iteration 54  lb 8909738 ub 18882433  cores 299 296 5  time 11.2899 200.822
Iteration 55  lb 8909739 ub 18882433  cores 304 301 5  time 11.5329 215.213
Iteration 56  lb 8909739 ub 18882433  cores 309 306 5  time 11.8111 229.083
Iteration 57  lb 8909739 ub 18882433  cores 315 312 6  time 12.0092 248.637
Iteration 58  lb 8909739 ub 18882433  cores 321 318 6  time 12.1742 281.704
Iteration 59  lb 8909739 ub 18882433  cores 326 323 5  time 12.3577 299.655
Iteration 60  lb 8909740 ub 18882433  cores 331 328 5  time 12.6081 323.999
Iteration 61  lb 8909740 ub 18882433  cores 337 334 6  time 12.7046 349.88
Iteration 62  lb 8909740 ub 18882433  cores 343 340 6  time 12.9572 370.346
Iteration 63  lb 8909740 ub 18882433  cores 347 344 4  time 13.1034 389.91
Iteration 64  lb 8909740 ub 18882433  cores 353 350 6  time 13.3651 409.213
Iteration 65  lb 8909740 ub 18882433  cores 358 355 5  time 13.5443 428.936
Iteration 66  lb 8909740 ub 18882433  cores 363 360 5  time 13.6474 446.651
Iteration 67  lb 8909740 ub 18882433  cores 368 365 5  time 13.8028 525.45
Iteration 68  lb 8909740 ub 18882433  cores 374 371 6  time 13.999 623.301
Iteration 69  lb 8909740 ub 18882433  cores 379 376 5  time 14.2406 675.462
Iteration 70  lb 8909741 ub 18882433  cores 386 383 7  time 14.4578 725.104
Iteration 71  lb 8909741 ub 18882433  cores 391 388 5  time 14.5777 767.474
Iteration 72  lb 8909741 ub 18882433  cores 397 394 6  time 14.8485 800.135
Iteration 73  lb 8909741 ub 18882433  cores 403 400 6  time 15.0382 828.731
Iteration 74  lb 8909741 ub 18882433  cores 409 406 6  time 15.2438 853.005
Iteration 75  lb 8909741 ub 18882433  cores 415 411 6  time 15.4048 928.508
Iteration 76  lb 8909741 ub 18882433  cores 421 417 6  time 15.613 1102.92
Iteration 77  lb 8909742 ub 18882433  cores 426 422 5  time 15.8323 1310.52
Iteration 78  lb 8909742 ub 18882433  cores 432 428 6  time 16.0498 1435.18
Iteration 79  lb 8909742 ub 18882433  cores 437 433 5  time 16.2109 1489.99
Iteration 80  lb 8909742 ub 18882433  cores 443 439 6  time 16.3806 1553.78
Iteration 81  lb 8909742 ub 18882433  cores 448 444 5  time 16.5213 1609.61
Iteration 82  lb 8909742 ub 18882433  cores 454 450 6  time 16.6943 1643.16
Iteration 83  lb 8909742 ub 18882433  cores 458 454 4  time 16.9155 1783.29
Iteration 84  lb 8909742 ub 18882433  cores 464 460 6  time 17.0564 2008.58
Iteration 85  lb 8909742 ub 18882433  cores 470 466 6  time 17.2645 2179.88
Iteration 86  lb 8909742 ub 18882433  cores 475 471 5  time 17.4543 2480.48
Iteration 87  lb 8909743 ub 18882433  cores 480 476 5  time 17.6985 2810.12
