lb 1133725847326 ub 512409557603043100 before adjustment
lb 0 ub 512408423877195774 after adjustment
costs ready
ub 3787984542962 after 2nd adjustment
22 variables 253 functions 1133725847326 lb, 3787984542962 ub
Iteration 0  lb 1133725907540 ub 4921710390288  cores 5 5 5  time 1.61486 0.655093
Iteration 1  lb 1133727418852 ub 4921710390288  cores 9 9 4  time 5.46178 1.38342
Iteration 2  lb 1133727501540 ub 4921710390288  cores 13 13 4  time 9.37615 2.13531
Iteration 3  lb 1133727543696 ub 4921710390288  cores 16 16 3  time 9.96249 2.88664
Iteration 4  lb 1133727623454 ub 4921710390288  cores 20 20 4  time 12.9099 3.634
Iteration 5  lb 1133727630447 ub 4921710390288  cores 23 23 3  time 13.5738 4.40747
Iteration 6  lb 1133727747227 ub 4921710390288  cores 26 26 3  time 14.7688 5.18203
Iteration 7  lb 1133727761516 ub 4921710390288  cores 30 30 4  time 15.2943 5.96918
Iteration 8  lb 1133727796481 ub 4921710390288  cores 33 33 3  time 17.0817 6.77215
Iteration 9  lb 1133727824441 ub 4921710390288  cores 36 36 3  time 18.1512 7.60532
Iteration 10  lb 1133727875128 ub 4921710390288  cores 39 39 3  time 20.0329 8.42934
Iteration 11  lb 1133727937565 ub 4921710390288  cores 43 43 4  time 23.7842 9.23216
Iteration 12  lb 1133727958042 ub 4921710390288  cores 48 48 5  time 25.3546 10.0508
Iteration 13  lb 1133728119185 ub 4921710390288  cores 52 52 4  time 27.7788 10.8808
Iteration 14  lb 1133728166250 ub 4921710390288  cores 56 56 4  time 29.9597 11.7282
Iteration 15  lb 1133728244400 ub 4921710390288  cores 60 60 4  time 30.982 12.5716
Iteration 16  lb 1133728294435 ub 4921710390288  cores 64 63 4  time 33.7398 13.4535
Iteration 17  lb 1133728375636 ub 4921710390288  cores 67 66 3  time 34.9293 14.3248
Iteration 18  lb 1133728402703 ub 4921710390288  cores 71 70 4  time 36.9888 15.2046
Iteration 19  lb 1133728451756 ub 4921710390288  cores 74 73 3  time 39.1274 16.0959
Iteration 20  lb 1133728527558 ub 4921710390288  cores 77 76 3  time 41.6732 16.925
Iteration 21  lb 1133728562305 ub 4921710390288  cores 80 78 3  time 42.4462 17.7548
Iteration 22  lb 1133728686610 ub 4921710390288  cores 83 81 3  time 44.5026 18.6192
Iteration 23  lb 1133728738459 ub 4921710390288  cores 86 84 3  time 45.0237 19.4918
Iteration 24  lb 1133728834798 ub 4921710390288  cores 90 88 4  time 46.3433 20.4405
Iteration 25  lb 1133728936514 ub 4921710390288  cores 93 91 3  time 48.4302 21.3937
Iteration 26  lb 1133728940863 ub 4921710390288  cores 97 94 4  time 49.0491 22.3584
Iteration 27  lb 1133728987457 ub 4921710390288  cores 100 97 3  time 50.4535 23.4948
Iteration 28  lb 1133728995962 ub 4921710390288  cores 104 101 4  time 52.1115 24.4503
Iteration 29  lb 1133729022464 ub 4921710390288  cores 107 103 3  time 53.7249 25.3654
Iteration 30  lb 1133729144147 ub 4921710390288  cores 111 107 4  time 54.6588 26.2867
Iteration 31  lb 1133729189532 ub 4921710390288  cores 114 110 3  time 56.1797 27.2485
Iteration 32  lb 1133729231150 ub 4921710390288  cores 117 112 3  time 57.3093 28.1874
Iteration 33  lb 1133729253637 ub 4921710390288  cores 120 115 3  time 58.6798 29.1929
Iteration 34  lb 1133729272781 ub 4921710390288  cores 123 118 3  time 61.8079 30.1472
Iteration 35  lb 1133729403629 ub 4921710390288  cores 126 121 3  time 63.972 31.1834
Iteration 36  lb 1133729434050 ub 4921710390288  cores 129 124 3  time 65.0069 32.1493
Iteration 37  lb 1133730030223 ub 4921710390288  cores 132 127 3  time 68.1988 33.0191
Iteration 38  lb 1133730219410 ub 4921710390288  cores 134 128 2  time 69.0844 33.8877
Iteration 39  lb 1133730572311 ub 4921710390288  cores 136 130 2  time 70.5777 34.9556
Iteration 40  lb 1133730630520 ub 4921710390288  cores 139 133 3  time 72.1789 35.9727
Iteration 41  lb 1133730660123 ub 4921710390288  cores 142 136 3  time 73.1448 37.0751
Iteration 42  lb 1133730720606 ub 4921710390288  cores 145 139 3  time 74.2136 38.1052
Iteration 43  lb 1133730769148 ub 4921710390288  cores 147 141 2  time 75.2229 39.1748
Iteration 44  lb 1133730781813 ub 4921710390288  cores 150 144 3  time 75.8298 40.1677
Iteration 45  lb 1133730796241 ub 4921710390288  cores 153 147 3  time 76.4273 41.1641
Iteration 46  lb 1133731072326 ub 4921710390288  cores 156 150 3  time 79.6379 42.181
Iteration 47  lb 1133731306200 ub 4921710390288  cores 159 153 3  time 80.2385 43.6777
