lb 4960307596207 ub 512409557603043100 before adjustment
lb 0 ub 512404597295446893 after adjustment
costs ready
ub 5908943755850 after 2nd adjustment
35 variables 630 functions 4960307596207 lb, 5908943755850 ub
Iteration 0  lb 4960307635227 ub 10869251352057  cores 5 5 5  time 13.3664 2.97516
Iteration 1  lb 4960307637897 ub 10869251352057  cores 9 9 4  time 20.9554 6.25429
Iteration 2  lb 4960307808480 ub 10869251352057  cores 14 14 5  time 41.5703 9.67289
Iteration 3  lb 4960307825356 ub 10869251352057  cores 18 18 4  time 59.0715 13.0299
Iteration 4  lb 4960308144859 ub 10869251352057  cores 22 22 4  time 196.457 16.4028
Iteration 5  lb 4960308176575 ub 10869251352057  cores 25 25 3  time 275.261 19.7971
Iteration 6  lb 4960308185175 ub 10869251352057  cores 28 28 3  time 299.515 23.282
Iteration 7  lb 4960308188976 ub 10869251352057  cores 32 32 4  time 313.247 26.9155
Iteration 8  lb 4960308223351 ub 10869251352057  cores 36 36 4  time 389.59 30.7665
Iteration 9  lb 4960308225787 ub 10869251352057  cores 39 39 3  time 399.442 34.5578
Iteration 10  lb 4960308270424 ub 10869251352057  cores 43 43 4  time 452.168 38.2911
Iteration 11  lb 4960308270900 ub 10869251352057  cores 46 46 3  time 496.966 42.0773
Iteration 12  lb 4960309042507 ub 10869251352057  cores 51 51 5  time 579.762 45.8772
Iteration 13  lb 4960309049668 ub 10869251352057  cores 55 55 4  time 590.773 49.6545
Iteration 14  lb 4960309103916 ub 10869251352057  cores 59 59 4  time 673.675 53.4253
Iteration 15  lb 4960309119967 ub 10869251352057  cores 63 63 4  time 700.618 57.2865
Iteration 16  lb 4960309165276 ub 10869251352057  cores 67 67 4  time 729.326 61.1766
Iteration 17  lb 4960309211950 ub 10869251352057  cores 71 71 4  time 812.508 65.0735
Iteration 18  lb 4960309220767 ub 10869251352057  cores 76 75 5  time 852.57 68.7618
Iteration 19  lb 4960309287346 ub 10869251352057  cores 80 79 4  time 873.406 72.5272
Iteration 20  lb 4960309296889 ub 10869251352057  cores 84 82 4  time 948.475 76.4227
Iteration 21  lb 4960309299766 ub 10869251352057  cores 87 85 3  time 961.851 80.3153
Iteration 22  lb 4960309304056 ub 10869251352057  cores 90 88 3  time 1001.93 84.1259
Iteration 23  lb 4960309306107 ub 10869251352057  cores 93 91 3  time 1023.3 87.9165
