lb 1126020292631 ub 512409557603043100 before adjustment
lb 0 ub 512408431582750469 after adjustment
costs ready
ub 3176989626841 after 2nd adjustment
18 variables 171 functions 1126020292631 lb, 3176989626841 ub
Iteration 0  lb 1126020292633 ub 4303009919472  cores 2 2 2  time 0.037182 0.123495
Iteration 1  lb 1126020317805 ub 4303009919472  cores 4 4 2  time 0.304754 0.264265
Iteration 2  lb 1126020330682 ub 4303009919472  cores 6 6 2  time 0.446151 0.406526
Iteration 3  lb 1126020421711 ub 4303009919472  cores 8 8 2  time 0.827733 0.552501
Iteration 4  lb 1126020549723 ub 4303009919472  cores 10 10 2  time 0.980094 0.701966
Iteration 5  lb 1126020555082 ub 4303009919472  cores 11 11 1  time 1.0794 0.848607
Iteration 6  lb 1126020561293 ub 4303009919472  cores 13 12 2  time 1.15765 0.997102
Iteration 7  lb 1126020577304 ub 4303009919472  cores 15 14 2  time 1.24317 1.15459
Iteration 8  lb 1126020597485 ub 4303009919472  cores 17 16 2  time 1.28492 1.31612
Iteration 9  lb 1126020603911 ub 4303009919472  cores 19 17 2  time 1.32326 1.47777
Iteration 10  lb 1126020605534 ub 4303009919472  cores 21 19 2  time 1.43375 1.64229
Iteration 11  lb 1126020608776 ub 4303009919472  cores 22 20 1  time 1.45717 1.80848
Iteration 12  lb 1126020624942 ub 4303009919472  cores 23 21 1  time 1.5236 1.97528
Iteration 13  lb 1126020632093 ub 4303009919472  cores 24 21 1  time 1.54689 2.14942
Iteration 14  lb 1126020638617 ub 4303009919472  cores 25 22 1  time 1.61785 2.3226
Iteration 15  lb 1126020640306 ub 4303009919472  cores 26 22 1  time 1.64002 2.49431
Iteration 16  lb 1126020641832 ub 4303009919472  cores 27 23 1  time 1.67108 2.66351
Iteration 17  lb 1126020648211 ub 4303009919472  cores 28 24 1  time 1.71265 2.83145
Iteration 18  lb 1126020651501 ub 4303009919472  cores 29 25 1  time 1.81609 3.00642
Iteration 19  lb 1126020661374 ub 4303009919472  cores 30 26 1  time 1.86614 3.1808
Iteration 20  lb 1126020665176 ub 4303009919472  cores 31 27 1  time 1.89184 3.36471
Iteration 21  lb 1126020666865 ub 4303009919472  cores 32 27 1  time 1.93986 3.54268
Iteration 22  lb 1126020668296 ub 4303009919472  cores 33 28 1  time 2.00502 3.72043
Iteration 23  lb 1126020673892 ub 4303009919472  cores 34 29 1  time 2.04908 3.89518
Iteration 24  lb 1126020676583 ub 4303009919472  cores 35 30 1  time 2.0682 4.07093
Iteration 25  lb 1126020677660 ub 4303009919472  cores 36 31 1  time 2.11479 4.24772
Iteration 26  lb 1126020692920 ub 4303009919472  cores 37 32 1  time 2.1578 4.42439
Iteration 27  lb 1126020694254 ub 4303009919472  cores 38 32 1  time 2.18066 4.60255
Iteration 28  lb 1126020697897 ub 4303009919472  cores 39 33 1  time 2.2225 4.78074
Iteration 29  lb 1126020708569 ub 4303009919472  cores 40 33 1  time 2.28971 4.9693
Iteration 30  lb 1126020716018 ub 4303009919472  cores 41 33 1  time 2.32085 5.15053
Iteration 31  lb 1126020716113 ub 4303009919472  cores 42 34 1  time 2.33805 5.33273
Iteration 32  lb 1126020718830 ub 4303009919472  cores 44 34 2  time 2.42061 5.51394
Iteration 33  lb 1126020723304 ub 4303009919472  cores 45 35 1  time 2.45797 5.69416
Iteration 34  lb 1126020727033 ub 4303009919472  cores 46 36 1  time 2.53425 5.89694
Iteration 35  lb 1126020732306 ub 4303009919472  cores 47 37 1  time 2.59678 6.10541
Iteration 36  lb 1126020735033 ub 4303009919472  cores 48 37 1  time 2.63692 6.31119
Iteration 37  lb 1126020736663 ub 4303009919472  cores 49 38 1  time 2.68353 6.51826
Iteration 38  lb 1126020738753 ub 4303009919472  cores 50 39 1  time 2.72535 6.70022
Iteration 39  lb 1126020744656 ub 4303009919472  cores 51 40 1  time 2.80901 6.88372
Iteration 40  lb 1126020746402 ub 4303009919472  cores 52 41 1  time 2.83657 7.0677
Iteration 41  lb 1126020749215 ub 4303009919472  cores 53 42 1  time 2.90739 7.25326
Iteration 42  lb 1126020750903 ub 4303009919472  cores 54 43 1  time 2.93734 7.44082
Iteration 43  lb 1126020751524 ub 4303009919472  cores 55 44 1  time 2.97419 7.62385
Iteration 44  lb 1126020754097 ub 4303009919472  cores 56 45 1  time 2.99491 7.80919
Iteration 45  lb 1126020755128 ub 4303009919472  cores 57 45 1  time 3.01061 7.99657
Iteration 46  lb 1126020757389 ub 4303009919472  cores 58 46 1  time 3.04608 8.20256
Iteration 47  lb 1126020757960 ub 4303009919472  cores 59 47 1  time 3.06993 8.41094
Iteration 48  lb 1126020759915 ub 4303009919472  cores 60 47 1  time 3.09751 8.60333
Iteration 49  lb 1126020771215 ub 4303009919472  cores 61 47 1  time 3.11633 8.79484
Iteration 50  lb 1126021139259 ub 4303009919472  cores 62 48 1  time 3.40491 8.96673
Iteration 51  lb 1126021163191 ub 4303009919472  cores 63 49 1  time 3.44911 9.13833
Iteration 52  lb 1126021173972 ub 4303009919472  cores 65 51 2  time 3.60237 9.31057
Iteration 53  lb 1126021206111 ub 4303009919472  cores 66 51 1  time 3.79644 9.48304
Iteration 54  lb 1126021208207 ub 4303009919472  cores 67 52 1  time 3.89711 9.65593
Iteration 55  lb 1126021209901 ub 4303009919472  cores 69 54 2  time 4.19066 9.82854
Iteration 56  lb 1126021209927 ub 4303009919472  cores 71 56 2  time 4.23959 10.0017
Iteration 57  lb 1126021213695 ub 4303009919472  cores 73 58 2  time 4.26964 10.1749
Iteration 58  lb 1126021216557 ub 4303009919472  cores 75 60 2  time 4.29788 10.3487
Iteration 59  lb 1126021218942 ub 4303009919472  cores 77 62 2  time 4.33125 10.5231
Iteration 60  lb 1126021222327 ub 4303009919472  cores 79 64 2  time 4.36688 10.6972
Iteration 61  lb 1126021224854 ub 4303009919472  cores 80 65 1  time 4.39623 10.8729
Iteration 62  lb 1126021238301 ub 4303009919472  cores 81 65 1  time 4.41822 11.0483
Iteration 63  lb 1126021238630 ub 4303009919472  cores 82 65 1  time 4.43751 11.2243
Iteration 64  lb 1126021239636 ub 4303009919472  cores 84 67 2  time 4.50312 11.4047
Iteration 65  lb 1126021243594 ub 4303009919472  cores 85 67 1  time 4.52695 11.5861
Iteration 66  lb 1126021243786 ub 4303009919472  cores 86 68 1  time 4.54329 11.7669
Iteration 67  lb 1126021244158 ub 4303009919472  cores 88 69 2  time 4.58442 11.9484
Iteration 68  lb 1126021246687 ub 4303009919472  cores 90 71 2  time 4.619 12.1305
Iteration 69  lb 1126021250048 ub 4303009919472  cores 92 73 2  time 4.64397 12.3105
Iteration 70  lb 1126021252601 ub 4303009919472  cores 94 75 2  time 4.71715 12.4914
Iteration 71  lb 1126021255559 ub 4303009919472  cores 96 77 2  time 4.77347 12.673
Iteration 72  lb 1126021262305 ub 4303009919472  cores 98 79 2  time 4.83367 12.8702
Iteration 73  lb 1126021262424 ub 4303009919472  cores 100 81 2  time 4.91129 13.0779
Iteration 74  lb 1126021277398 ub 4303009919472  cores 102 82 2  time 4.95854 13.2813
Iteration 75  lb 1126021288273 ub 4303009919472  cores 104 84 2  time 4.99882 13.4865
Iteration 76  lb 1126021290650 ub 4303009919472  cores 106 85 2  time 5.04711 13.6932
Iteration 77  lb 1126021292606 ub 4303009919472  cores 108 86 2  time 5.08716 13.9216
Iteration 78  lb 1126021311180 ub 4303009919472  cores 110 87 2  time 5.13145 14.132
Iteration 79  lb 1126021311729 ub 4303009919472  cores 112 89 2  time 5.17386 14.3443
Iteration 80  lb 1126021312885 ub 4303009919472  cores 114 90 2  time 5.22903 14.5668
Iteration 81  lb 1126021316308 ub 4303009919472  cores 115 91 1  time 5.26852 14.7961
Iteration 82  lb 1126021316951 ub 4303009919472  cores 116 92 1  time 5.30109 15.0298
Iteration 83  lb 1126021317939 ub 4303009919472  cores 118 94 2  time 5.35852 15.242
Iteration 84  lb 1126021318693 ub 4303009919472  cores 120 96 2  time 5.50413 15.4569
Iteration 85  lb 1126021319139 ub 4303009919472  cores 121 97 1  time 5.54125 15.6712
Iteration 86  lb 1126021321016 ub 4303009919472  cores 122 97 1  time 5.57918 15.8858
Iteration 87  lb 1126021336290 ub 4303009919472  cores 124 99 2  time 5.88186 16.1002
Iteration 88  lb 1126021341107 ub 4303009919472  cores 126 100 2  time 5.95334 16.3156
Iteration 89  lb 1126021343684 ub 4303009919472  cores 128 102 2  time 5.99969 16.5348
Iteration 90  lb 1126021393174 ub 4303009919472  cores 130 104 2  time 6.66744 16.7536
Iteration 91  lb 1126021396141 ub 4303009919472  cores 132 105 2  time 6.72654 16.9753
Iteration 92  lb 1126021413872 ub 4303009919472  cores 134 107 2  time 6.7875 17.2176
Iteration 93  lb 1126021418205 ub 4303009919472  cores 136 109 2  time 6.85965 17.4546
Iteration 94  lb 1126021425463 ub 4303009919472  cores 138 110 2  time 6.915 17.6698
Iteration 95  lb 1126021439805 ub 4303009919472  cores 140 112 2  time 7.08753 17.8883
Iteration 96  lb 1126021441037 ub 4303009919472  cores 142 114 2  time 7.12606 18.1101
Iteration 97  lb 1126021484620 ub 4303009919472  cores 143 115 1  time 7.44094 18.3398
Iteration 98  lb 1126021493600 ub 4303009919472  cores 145 117 2  time 7.58176 18.5645
Iteration 99  lb 1126021508401 ub 4303009919472  cores 147 119 2  time 7.61157 18.7782
Iteration 100  lb 1126021508546 ub 4303009919472  cores 148 120 1  time 7.62616 18.9926
Iteration 101  lb 1126021508552 ub 4303009919472  cores 149 121 1  time 7.63397 19.2072
Iteration 102  lb 1126021508955 ub 4303009919472  cores 150 122 1  time 7.66094 19.464
Iteration 103  lb 1126021516719 ub 4303009919472  cores 152 124 2  time 7.73866 19.7216
Iteration 104  lb 1126021521822 ub 4303009919472  cores 153 124 1  time 7.79195 19.9688
Iteration 105  lb 1126021522420 ub 4303009919472  cores 155 126 2  time 7.82961 20.2232
Iteration 106  lb 1126021522566 ub 4303009919472  cores 156 127 1  time 7.83863 20.4764
Iteration 107  lb 1126021522572 ub 4303009919472  cores 157 128 1  time 7.84635 20.729
Iteration 108  lb 1126021523758 ub 4303009919472  cores 159 129 2  time 7.88113 20.9862
Iteration 109  lb 1126021524396 ub 4303009919472  cores 160 130 1  time 7.97708 21.2068
Iteration 110  lb 1126021527067 ub 4303009919472  cores 162 131 2  time 8.02036 21.4319
Iteration 111  lb 1126021527838 ub 4303009919472  cores 164 133 2  time 8.08441 21.6576
Iteration 112  lb 1126021528305 ub 4303009919472  cores 165 134 1  time 8.13518 21.8891
Iteration 113  lb 1126021530442 ub 4303009919472  cores 167 136 2  time 8.19757 22.1108
Iteration 114  lb 1126021532131 ub 4303009919472  cores 168 137 1  time 8.24092 22.3307
Iteration 115  lb 1126021534360 ub 4303009919472  cores 170 139 2  time 8.44431 22.5587
Iteration 116  lb 1126021549589 ub 4303009919472  cores 172 141 2  time 8.50695 22.796
Iteration 117  lb 1126021555000 ub 4303009919472  cores 174 143 2  time 8.64765 23.0227
Iteration 118  lb 1126021566225 ub 4303009919472  cores 176 144 2  time 8.93766 23.281
Iteration 119  lb 1126021570842 ub 4303009919472  cores 178 146 2  time 9.03065 23.5154
Iteration 120  lb 1126021578453 ub 4303009919472  cores 180 148 2  time 9.05666 23.7515
Iteration 121  lb 1126021578595 ub 4303009919472  cores 181 149 1  time 9.06586 23.9871
Iteration 122  lb 1126021578604 ub 4303009919472  cores 182 150 1  time 9.0738 24.2111
Iteration 123  lb 1126021585887 ub 4303009919472  cores 183 151 1  time 9.0858 24.4467
Iteration 124  lb 1126021586196 ub 4303009919472  cores 185 153 2  time 9.13077 24.6928
Iteration 125  lb 1126021589990 ub 4303009919472  cores 187 155 2  time 9.16997 24.9348
Iteration 126  lb 1126021597260 ub 4303009919472  cores 189 155 2  time 9.20485 25.1737
Iteration 127  lb 1126021597888 ub 4303009919472  cores 191 157 2  time 9.25337 25.413
Iteration 128  lb 1126021602228 ub 4303009919472  cores 193 159 2  time 9.38535 25.6511
Iteration 129  lb 1126021602420 ub 4303009919472  cores 195 161 2  time 9.43818 25.8911
Iteration 130  lb 1126021603135 ub 4303009919472  cores 196 162 1  time 9.7189 26.1327
Iteration 131  lb 1126021607023 ub 4303009919472  cores 198 163 2  time 9.75816 26.3765
Iteration 132  lb 1126021615153 ub 4303009919472  cores 199 164 1  time 9.81128 26.6176
Iteration 133  lb 1126021620068 ub 4303009919472  cores 201 166 2  time 9.98193 26.8841
Iteration 134  lb 1126021620835 ub 4303009919472  cores 203 168 2  time 10.0463 27.1364
Iteration 135  lb 1126021624412 ub 4303009919472  cores 205 169 2  time 10.126 27.5859
Iteration 136  lb 1126021625069 ub 4303009919472  cores 207 171 2  time 10.2065 27.8368
Iteration 137  lb 1126021627531 ub 4303009919472  cores 209 173 2  time 10.2563 28.0844
Iteration 138  lb 1126021632890 ub 4303009919472  cores 211 175 2  time 10.3195 28.3549
Iteration 139  lb 1126021633932 ub 4303009919472  cores 213 177 2  time 10.602 28.5953
Iteration 140  lb 1126021677588 ub 4303009919472  cores 214 178 1  time 11.0489 28.8058
