lb 2520576639957 ub 512409557603043100 before adjustment
lb 0 ub 512407037026403143 after adjustment
costs ready
ub 3496024724338 after 2nd adjustment
14 variables 105 functions 2520576639957 lb, 3496024724338 ub
Iteration 0  lb 2520577264614 ub 6016601364295  cores 2 2 2  time 73.9529 0.981122
Iteration 1  lb 2520577267857 ub 6016601364295  cores 5 5 3  time 116.424 2.24519
Iteration 2  lb 2520577317116 ub 6016601364295  cores 8 7 3  time 126.279 3.49247
Iteration 3  lb 2520577325317 ub 6016601364295  cores 10 8 2  time 126.807 4.72683
Iteration 4  lb 2520577326797 ub 6016601364295  cores 12 8 2  time 135.472 5.94644
Iteration 5  lb 2520577350640 ub 6016601364295  cores 14 10 2  time 139.093 7.18118
Iteration 6  lb 2520577351591 ub 6016601364295  cores 16 12 2  time 143.443 8.43722
Iteration 7  lb 2520577353304 ub 6016601364295  cores 18 12 2  time 147.315 9.7273
Iteration 8  lb 2520577355887 ub 6016601364295  cores 20 14 2  time 149.922 11.0754
Iteration 9  lb 2520577366468 ub 6016601364295  cores 22 16 2  time 154.051 12.4137
Iteration 10  lb 2520577388308 ub 6016601364295  cores 24 18 2  time 158.141 13.7494
Iteration 11  lb 2520578586162 ub 6016601364295  cores 27 21 3  time 203.171 14.965
Iteration 12  lb 2520578593849 ub 6016601364295  cores 29 23 2  time 206.387 16.1794
Iteration 13  lb 2520578595843 ub 6016601364295  cores 31 24 2  time 208.944 17.413
Iteration 14  lb 2520578597461 ub 6016601364295  cores 33 24 2  time 211.297 18.6663
Iteration 15  lb 2520581043993 ub 6016601364295  cores 35 26 2  time 496.487 19.9425
Iteration 16  lb 2520594296094 ub 6016601364295  cores 37 28 2  time 1922.88 21.1473
Iteration 17  lb 2520594300862 ub 6016601364295  cores 39 30 2  time 1926.18 22.3644
Iteration 18  lb 2520594317466 ub 6016601364295  cores 41 32 2  time 1930.36 23.5982
Iteration 19  lb 2520594338818 ub 6016601364295  cores 43 33 2  time 1933.94 24.855
Iteration 20  lb 2520594355062 ub 6016601364295  cores 45 34 2  time 1947.1 26.1339
Iteration 21  lb 2520594370894 ub 6016601364295  cores 47 36 2  time 1952.23 27.4519
Iteration 22  lb 2520594381764 ub 6016601364295  cores 49 37 2  time 1956.85 28.8
Iteration 23  lb 2520596784528 ub 6016601364295  cores 51 39 2  time 2446.26 30.1711
