lb 1881607459857 ub 512409557603043100 before adjustment
lb 0 ub 512407675995583243 after adjustment
costs ready
ub 6657284556351 after 2nd adjustment
36 variables 666 functions 1881607459857 lb, 6657284556351 ub
Iteration 0  lb 1881607664096 ub 8538892016208  cores 9 9 9  time 3.50511 0.901865
Iteration 1  lb 1881607739027 ub 8538892016208  cores 16 16 7  time 6.31858 1.92355
Iteration 2  lb 1881607760710 ub 8538892016208  cores 23 23 7  time 8.90108 2.9944
Iteration 3  lb 1881607813258 ub 8538892016208  cores 32 32 9  time 14.5455 4.05996
Iteration 4  lb 1881607847073 ub 8538892016208  cores 37 37 5  time 18.5924 5.15923
Iteration 5  lb 1881608580628 ub 8538892016208  cores 43 43 6  time 23.2994 6.25324
Iteration 6  lb 1881608700748 ub 8538892016208  cores 50 50 7  time 24.6747 7.35373
Iteration 7  lb 1881611945343 ub 8538892016208  cores 56 56 6  time 28.6942 8.47944
Iteration 8  lb 1881611970538 ub 8538892016208  cores 63 63 7  time 31.3194 9.64795
Iteration 9  lb 1881612083318 ub 8538892016208  cores 70 70 7  time 34.4325 10.8742
Iteration 10  lb 1881612153584 ub 8538892016208  cores 76 76 6  time 36.0217 12.154
Iteration 11  lb 1881612222283 ub 8538892016208  cores 82 81 6  time 37.9882 13.4552
Iteration 12  lb 1881612273422 ub 8538892016208  cores 88 86 6  time 41.3277 14.7129
Iteration 13  lb 1881612678503 ub 8538892016208  cores 95 93 7  time 46.3388 15.9527
Iteration 14  lb 1881612906421 ub 8538892016208  cores 103 101 8  time 53.1229 17.279
Iteration 15  lb 1881612986813 ub 8538892016208  cores 111 109 8  time 61.9793 18.6232
Iteration 16  lb 1881613050525 ub 8538892016208  cores 116 114 5  time 66.7361 19.9833
Iteration 17  lb 1881613056861 ub 8538892016208  cores 122 120 6  time 73.4997 21.3528
Iteration 18  lb 1881613097488 ub 8538892016208  cores 128 126 6  time 76.4826 23.096
Iteration 19  lb 1881613792290 ub 8538892016208  cores 135 133 7  time 80.8774 24.4422
Iteration 20  lb 1881613976415 ub 8538892016208  cores 141 138 6  time 83.8485 25.964
Iteration 21  lb 1881614074312 ub 8538892016208  cores 148 145 7  time 89.4398 27.463
Iteration 22  lb 1881614075224 ub 8538892016208  cores 152 149 4  time 90.8695 28.947
Iteration 23  lb 1881614077053 ub 8538892016208  cores 157 152 5  time 91.7029 30.4781
Iteration 24  lb 1881614179809 ub 8538892016208  cores 162 157 5  time 100.047 31.9409
Iteration 25  lb 1881614187310 ub 8538892016208  cores 167 162 5  time 101.578 33.3789
Iteration 26  lb 1881614422861 ub 8538892016208  cores 173 168 6  time 107.467 34.7582
Iteration 27  lb 1881614489634 ub 8538892016208  cores 178 173 5  time 109.488 36.2327
Iteration 28  lb 1881614492148 ub 8538892016208  cores 182 177 4  time 110.646 37.7179
Iteration 29  lb 1881614499305 ub 8538892016208  cores 187 182 5  time 112.432 39.2153
Iteration 30  lb 1881614499645 ub 8538892016208  cores 192 187 5  time 113.211 40.7105
Iteration 31  lb 1881614639155 ub 8538892016208  cores 197 192 5  time 115.509 42.2597
Iteration 32  lb 1881614649855 ub 8538892016208  cores 202 197 5  time 119.973 43.8772
Iteration 33  lb 1881614662691 ub 8538892016208  cores 207 201 5  time 124.513 45.5455
Iteration 34  lb 1881614709448 ub 8538892016208  cores 213 207 6  time 133.103 47.4248
Iteration 35  lb 1881614710559 ub 8538892016208  cores 218 212 5  time 138.528 49.2677
Iteration 36  lb 1881614716906 ub 8538892016208  cores 223 217 5  time 141.238 51.76
Iteration 37  lb 1881614717726 ub 8538892016208  cores 228 222 5  time 143.199 53.7087
Iteration 38  lb 1881614728040 ub 8538892016208  cores 233 227 5  time 145.501 55.6906
Iteration 39  lb 1881614731670 ub 8538892016208  cores 238 232 5  time 146.65 57.8583
Iteration 40  lb 1881614734526 ub 8538892016208  cores 243 237 5  time 150.549 61.0449
Iteration 41  lb 1881614734990 ub 8538892016208  cores 248 242 5  time 151.237 63.5241
Iteration 42  lb 1881614735090 ub 8538892016208  cores 253 245 5  time 151.74 65.9652
Iteration 43  lb 1881614735627 ub 8538892016208  cores 258 250 5  time 152.382 68.5829
Iteration 44  lb 1881614745747 ub 8538892016208  cores 263 255 5  time 154.472 72.3333
Iteration 45  lb 1881614753227 ub 8538892016208  cores 268 260 5  time 156.525 75.0366
Iteration 46  lb 1881614764264 ub 8538892016208  cores 274 266 6  time 160.761 78.6096
Iteration 47  lb 1881614765517 ub 8538892016208  cores 279 270 5  time 163.166 82.8066
Iteration 48  lb 1881614766602 ub 8538892016208  cores 284 275 5  time 165.934 87.5047
Iteration 49  lb 1881614771159 ub 8538892016208  cores 290 281 6  time 168.688 91.0547
Iteration 50  lb 1881614773221 ub 8538892016208  cores 295 286 5  time 172.785 97.2386
