lb 4193035912954 ub 512409557603043100 before adjustment
lb 0 ub 512405364567130146 after adjustment
costs ready
ub 12929876455869 after 2nd adjustment
45 variables 1035 functions 4193035912954 lb, 12929876455869 ub
Iteration 0  lb 4193035964008 ub 17122912368823  cores 12 12 12  time 72.4199 5.89938
Iteration 1  lb 4193035984055 ub 17122912368823  cores 23 23 11  time 122.251 12.5353
Iteration 2  lb 4193036019816 ub 17122912368823  cores 33 33 10  time 189.788 19.3908
Iteration 3  lb 4193036058435 ub 17122912368823  cores 43 43 10  time 263.58 26.2217
Iteration 4  lb 4193036130250 ub 17122912368823  cores 53 53 10  time 354.829 33.187
Iteration 5  lb 4193036163630 ub 17122912368823  cores 62 62 9  time 409.524 40.2534
Iteration 6  lb 4193037163238 ub 17122912368823  cores 74 74 12  time 745.687 47.2678
Iteration 7  lb 4193037175250 ub 17122912368823  cores 84 84 10  time 836.151 54.3343
Iteration 8  lb 4193037774876 ub 17122912368823  cores 95 94 11  time 1027 61.8388
Iteration 9  lb 4193038493777 ub 17122912368823  cores 105 104 10  time 1338.21 69.2799
Iteration 10  lb 4193038504284 ub 17122912368823  cores 114 113 9  time 1416.15 76.935
Iteration 11  lb 4193038625282 ub 17122912368823  cores 123 122 9  time 1535.4 84.6766
Iteration 12  lb 4193038645234 ub 17122912368823  cores 131 130 8  time 1574.12 93.9706
Iteration 13  lb 4193038665838 ub 17122912368823  cores 141 140 10  time 1634.2 103.001
Iteration 14  lb 4193038703623 ub 17122912368823  cores 149 148 8  time 1720.92 111.395
Iteration 15  lb 4193038727641 ub 17122912368823  cores 157 156 8  time 2040.92 121.466
Iteration 16  lb 4193038734626 ub 17122912368823  cores 168 167 11  time 2084.84 131.215
Iteration 17  lb 4193038819200 ub 17122912368823  cores 177 176 9  time 2195.14 140.822
Iteration 18  lb 4193038855690 ub 17122912368823  cores 187 186 10  time 2480.49 148.611
Iteration 19  lb 4193038885068 ub 17122912368823  cores 196 194 9  time 2531.76 156.636
Iteration 20  lb 4193038925393 ub 17122912368823  cores 204 202 8  time 2557.56 166.703
