lb 13533668743544 ub 512409557603043100 before adjustment
lb 0 ub 512396023934299556 after adjustment
costs ready
ub 12339212645603 after 2nd adjustment
65 variables 2138 functions 13533668743544 lb, 12339212645603 ub
Iteration 0  lb 13533668743549 ub 25872881389147  cores 5 5 5  time 13.2523 5.43482
Iteration 1  lb 13533668757284 ub 25872881389147  cores 9 9 4  time 35.7022 11.4211
Iteration 2  lb 13533668796671 ub 25872881389147  cores 13 13 4  time 84.977 17.4681
Iteration 3  lb 13533668797191 ub 25872881389147  cores 16 16 3  time 110.345 23.6372
Iteration 4  lb 13533668799585 ub 25872881389147  cores 19 19 3  time 120.16 29.9732
Iteration 5  lb 13533668803350 ub 25872881389147  cores 22 22 3  time 128.44 36.349
Iteration 6  lb 13533668804059 ub 25872881389147  cores 25 25 3  time 136.184 42.8127
Iteration 7  lb 13533668804488 ub 25872881389147  cores 28 27 3  time 141.396 49.4285
Iteration 8  lb 13533668808780 ub 25872881389147  cores 31 30 3  time 145.719 56.0091
Iteration 9  lb 13533668808922 ub 25872881389147  cores 34 33 3  time 154.415 62.5144
Iteration 10  lb 13533668810447 ub 25872881389147  cores 37 36 3  time 165.65 69.1273
Iteration 11  lb 13533668813122 ub 25872881389147  cores 40 38 3  time 185.428 75.6437
Iteration 12  lb 13533668814070 ub 25872881389147  cores 43 40 3  time 196.457 82.2313
Iteration 13  lb 13533668815222 ub 25872881389147  cores 47 44 4  time 203.106 88.7598
Iteration 14  lb 13533668815834 ub 25872881389147  cores 50 47 3  time 212.325 95.332
Iteration 15  lb 13533668816515 ub 25872881389147  cores 54 51 4  time 224.478 101.897
Iteration 16  lb 13533668817266 ub 25872881389147  cores 57 54 3  time 229.46 108.511
Iteration 17  lb 13533668817499 ub 25872881389147  cores 60 57 3  time 232.094 115.155
Iteration 18  lb 13533668836390 ub 25872881389147  cores 63 60 3  time 261.077 121.15
Iteration 19  lb 13533668929884 ub 25872881389147  cores 67 64 4  time 301.647 126.918
Iteration 20  lb 13533669086393 ub 25872881389147  cores 70 67 3  time 341.145 132.751
Iteration 21  lb 13533669086544 ub 25872881389147  cores 75 72 5  time 348.731 138.996
Iteration 22  lb 13533669087023 ub 25872881389147  cores 78 75 3  time 354.799 145.659
Iteration 23  lb 13533669102758 ub 25872881389147  cores 80 77 2  time 425.686 152.202
Iteration 24  lb 13533669102806 ub 25872881389147  cores 84 81 4  time 427.821 158.774
Iteration 25  lb 13533669102949 ub 25872881389147  cores 88 85 4  time 431.254 165.537
Iteration 26  lb 13533669116969 ub 25872881389147  cores 92 89 4  time 463.789 172.357
Iteration 27  lb 13533669117111 ub 25872881389147  cores 95 92 3  time 471.095 179.124
Iteration 28  lb 13533669120115 ub 25872881389147  cores 98 95 3  time 502.648 186.067
Iteration 29  lb 13533669149628 ub 25872881389147  cores 100 97 2  time 575.103 193.044
Iteration 30  lb 13533669158494 ub 25872881389147  cores 103 100 3  time 602.606 200.087
Iteration 31  lb 13533669163311 ub 25872881389147  cores 106 102 3  time 616.147 207.07
Iteration 32  lb 13533669524613 ub 25872881389147  cores 109 105 3  time 688.855 214.133
Iteration 33  lb 13533669525185 ub 25872881389147  cores 112 108 3  time 717.622 221.164
Iteration 34  lb 13533669539100 ub 25872881389147  cores 115 111 3  time 746.042 228.37
Iteration 35  lb 13533669545958 ub 25872881389147  cores 118 114 3  time 752.864 235.434
Iteration 36  lb 13533669555120 ub 25872881389147  cores 120 116 2  time 766.949 242.68
Iteration 37  lb 13533669558184 ub 25872881389147  cores 123 119 3  time 790.883 249.831
Iteration 38  lb 13533669558660 ub 25872881389147  cores 125 121 2  time 811.607 258.1
Iteration 39  lb 13533669562266 ub 25872881389147  cores 127 123 2  time 830.677 265.385
Iteration 40  lb 13533669562267 ub 25872881389147  cores 129 125 2  time 831.348 273.894
Iteration 41  lb 13533669562682 ub 25872881389147  cores 132 127 3  time 838.52 282.266
Iteration 42  lb 13533669562603 ub 25872881389147  cores 135 130 3  time 839.972 290.855
Iteration 43  lb 13533669562605 ub 25872881389147  cores 137 132 2  time 840.6 298.663
Iteration 44  lb 13533669562713 ub 25872881389147  cores 139 133 2  time 841.096 307.75
Iteration 45  lb 13533669562936 ub 25872881389147  cores 142 136 3  time 868.257 317.746
Iteration 46  lb 13533669564413 ub 25872881389147  cores 144 138 2  time 889.823 327.549
Iteration 47  lb 13533669564842 ub 25872881389147  cores 147 141 3  time 900.224 336.273
Iteration 48  lb 13533669570886 ub 25872881389147  cores 151 145 4  time 1002.09 343.493
Iteration 49  lb 13533669584523 ub 25872881389147  cores 155 149 4  time 1018.41 350.458
Iteration 50  lb 13533669584762 ub 25872881389147  cores 158 152 3  time 1031.04 357.452
Iteration 51  lb 13533669585866 ub 25872881389147  cores 161 155 3  time 1044.96 364.44
Iteration 52  lb 13533669595975 ub 25872881389147  cores 166 160 5  time 1070.92 371.397
Iteration 53  lb 13533669597778 ub 25872881389147  cores 169 163 3  time 1097.91 379.366
Iteration 54  lb 13533669598636 ub 25872881389147  cores 172 166 3  time 1121.88 387.868
Iteration 55  lb 13533669607711 ub 25872881389147  cores 176 170 4  time 1172.74 394.891
Iteration 56  lb 13533669650197 ub 25872881389147  cores 178 172 2  time 1256.82 401.883
Iteration 57  lb 13533669650669 ub 25872881389147  cores 180 174 2  time 1279.55 408.918
Iteration 58  lb 13533669786132 ub 25872881389147  cores 182 176 2  time 1360.98 415.924
Iteration 59  lb 13533669787463 ub 25872881389147  cores 185 179 3  time 1368.36 423.134
Iteration 60  lb 13533669788229 ub 25872881389147  cores 187 181 2  time 1387.01 430.386
Iteration 61  lb 13533669790673 ub 25872881389147  cores 190 184 3  time 1410.16 437.461
Iteration 62  lb 13533669799623 ub 25872881389147  cores 193 187 3  time 1553.78 444.58
Iteration 63  lb 13533669800440 ub 25872881389147  cores 197 191 4  time 1562.3 451.571
Iteration 64  lb 13533669803477 ub 25872881389147  cores 200 194 3  time 1591.08 458.754
Iteration 65  lb 13533669803645 ub 25872881389147  cores 203 197 3  time 1596.5 465.916
Iteration 66  lb 13533669808264 ub 25872881389147  cores 207 201 4  time 1611.76 473.171
Iteration 67  lb 13533669808791 ub 25872881389147  cores 210 203 3  time 1619.35 480.398
Iteration 68  lb 13533669809029 ub 25872881389147  cores 213 206 3  time 1622.87 487.546
Iteration 69  lb 13533669814995 ub 25872881389147  cores 217 210 4  time 1646.73 494.638
Iteration 70  lb 13533669815273 ub 25872881389147  cores 220 212 3  time 1649.83 501.907
Iteration 71  lb 13533669825006 ub 25872881389147  cores 224 215 4  time 1670.96 510.233
