lb 12892682042706 ub 512409557603043100 before adjustment
lb 0 ub 512396664921000394 after adjustment
costs ready
ub 12887057437736 after 2nd adjustment
72 variables 2627 functions 12892682042706 lb, 12887057437736 ub
Iteration 0  lb 12892682042712 ub 25779739480442  cores 6 6 6  time 4.56565 2.54422
Iteration 1  lb 12892682042714 ub 25779739480442  cores 12 12 6  time 9.96506 5.45018
Iteration 2  lb 12892682042764 ub 25779739480442  cores 18 18 6  time 18.2611 8.34848
Iteration 3  lb 12892682042768 ub 25779739480442  cores 23 23 5  time 20.8222 11.3119
Iteration 4  lb 12892682042907 ub 25779739480442  cores 29 29 6  time 28.2386 14.3485
Iteration 5  lb 12892682043099 ub 25779739480442  cores 34 34 5  time 31.5402 17.3689
Iteration 6  lb 12892682043151 ub 25779739480442  cores 39 39 5  time 34.9144 20.4854
Iteration 7  lb 12892682043153 ub 25779739480442  cores 46 46 7  time 37.4516 23.73
Iteration 8  lb 12892682043200 ub 25779739480442  cores 51 51 5  time 43.3862 27.1116
Iteration 9  lb 12892682043247 ub 25779739480442  cores 57 57 6  time 55.3261 30.3989
Iteration 10  lb 12892682043250 ub 25779739480442  cores 64 64 7  time 59.1934 33.8079
Iteration 11  lb 12892682043253 ub 25779739480442  cores 70 70 6  time 63.0147 37.1829
Iteration 12  lb 12892682044117 ub 25779739480442  cores 76 76 6  time 67.7647 40.5501
Iteration 13  lb 12892682044214 ub 25779739480442  cores 82 82 6  time 74.5567 43.9387
Iteration 14  lb 12892682045113 ub 25779739480442  cores 89 89 7  time 81.2748 47.3504
Iteration 15  lb 12892682045118 ub 25779739480442  cores 95 95 6  time 86.0134 50.6906
Iteration 16  lb 12892682045259 ub 25779739480442  cores 101 101 6  time 90.1337 54.1575
Iteration 17  lb 12892682045305 ub 25779739480442  cores 108 108 7  time 111.954 57.5604
Iteration 18  lb 12892682045360 ub 25779739480442  cores 114 114 6  time 114.677 60.9492
Iteration 19  lb 12892682045504 ub 25779739480442  cores 120 120 6  time 119.858 64.4935
Iteration 20  lb 12892682045506 ub 25779739480442  cores 127 127 7  time 130.018 68.0661
Iteration 21  lb 12892682045554 ub 25779739480442  cores 134 134 7  time 136.476 71.6034
Iteration 22  lb 12892682045557 ub 25779739480442  cores 140 140 6  time 142.059 75.2369
Iteration 23  lb 12892682045649 ub 25779739480442  cores 147 147 7  time 149.32 78.8109
Iteration 24  lb 12892682045667 ub 25779739480442  cores 154 154 7  time 166.447 82.3386
Iteration 25  lb 12892682045712 ub 25779739480442  cores 159 159 5  time 172.752 85.8514
Iteration 26  lb 12892682045743 ub 25779739480442  cores 165 165 6  time 178.893 89.381
Iteration 27  lb 12892682045746 ub 25779739480442  cores 171 171 6  time 185.582 92.9493
Iteration 28  lb 12892682045750 ub 25779739480442  cores 177 177 6  time 189.831 96.4936
Iteration 29  lb 12892682045755 ub 25779739480442  cores 183 183 6  time 196.838 100.083
Iteration 30  lb 12892682045758 ub 25779739480442  cores 188 188 5  time 202.588 103.639
Iteration 31  lb 12892682045823 ub 25779739480442  cores 194 194 6  time 209.889 107.225
Iteration 32  lb 12892682045856 ub 25779739480442  cores 200 200 6  time 216.499 111.374
Iteration 33  lb 12892682046025 ub 25779739480442  cores 206 206 6  time 241.219 115.005
Iteration 34  lb 12892682046068 ub 25779739480442  cores 212 212 6  time 248.432 119.224
Iteration 35  lb 12892682046091 ub 25779739480442  cores 217 217 5  time 254.68 122.977
Iteration 36  lb 12892682046220 ub 25779739480442  cores 222 222 5  time 260.334 126.806
Iteration 37  lb 12892682046920 ub 25779739480442  cores 228 228 6  time 266.527 130.649
Iteration 38  lb 12892682047019 ub 25779739480442  cores 234 234 6  time 273.017 134.278
Iteration 39  lb 12892682047196 ub 25779739480442  cores 240 240 6  time 287.06 138.052
Iteration 40  lb 12892682047290 ub 25779739480442  cores 246 246 6  time 295.36 141.867
Iteration 41  lb 12892682047342 ub 25779739480442  cores 252 252 6  time 302.711 145.763
Iteration 42  lb 12892682047346 ub 25779739480442  cores 258 258 6  time 308.009 149.645
Iteration 43  lb 12892682047360 ub 25779739480442  cores 265 265 7  time 328.817 153.544
Iteration 44  lb 12892682048132 ub 25779739480442  cores 271 271 6  time 341.266 158.187
Iteration 45  lb 12892682048137 ub 25779739480442  cores 277 277 6  time 346.335 162.179
Iteration 46  lb 12892682048141 ub 25779739480442  cores 283 283 6  time 349.873 166.297
Iteration 47  lb 12892682048146 ub 25779739480442  cores 290 289 7  time 355.78 170.355
Iteration 48  lb 12892682048236 ub 25779739480442  cores 296 295 6  time 359.678 175.174
Iteration 49  lb 12892682048304 ub 25779739480442  cores 302 301 6  time 365.632 180.359
