lb 7023198122937 ub 512409557603043100 before adjustment
lb 0 ub 512402534404920163 after adjustment
costs ready
ub 10828464363126 after 2nd adjustment
53 variables 1431 functions 7023198122937 lb, 10828464363126 ub
Iteration 0  lb 7023198254245 ub 17851662486063  cores 11 11 11  time 4.03394 1.23664
Iteration 1  lb 7023198357647 ub 17851662486063  cores 20 20 9  time 8.7342 2.66633
Iteration 2  lb 7023198383789 ub 17851662486063  cores 29 29 9  time 11.7202 4.1232
Iteration 3  lb 7023198722586 ub 17851662486063  cores 40 40 11  time 18.2117 5.62858
Iteration 4  lb 7023198780864 ub 17851662486063  cores 49 49 9  time 21.4461 7.10041
Iteration 5  lb 7023198927997 ub 17851662486063  cores 57 57 8  time 25.6998 8.6011
Iteration 6  lb 7023198952908 ub 17851662486063  cores 66 66 9  time 29.6565 10.1857
Iteration 7  lb 7023198954862 ub 17851662486063  cores 74 74 8  time 35.8507 11.8411
Iteration 8  lb 7023198955868 ub 17851662486063  cores 82 82 8  time 38.084 13.5069
Iteration 9  lb 7023198955946 ub 17851662486063  cores 89 89 7  time 40.3527 15.2169
Iteration 10  lb 7023198956348 ub 17851662486063  cores 96 96 7  time 42.4492 16.9163
Iteration 11  lb 7023198966555 ub 17851662486063  cores 103 103 7  time 45.8025 18.6531
Iteration 12  lb 7023198974978 ub 17851662486063  cores 110 110 7  time 49.4329 20.3829
Iteration 13  lb 7023198988426 ub 17851662486063  cores 117 116 7  time 58.6485 22.1811
Iteration 14  lb 7023198998289 ub 17851662486063  cores 126 125 9  time 63.0983 24.001
Iteration 15  lb 7023199002739 ub 17851662486063  cores 133 132 7  time 66.3324 25.8109
Iteration 16  lb 7023199003777 ub 17851662486063  cores 139 138 6  time 68.9137 27.6579
Iteration 17  lb 7023199025824 ub 17851662486063  cores 147 146 8  time 72.1413 29.4981
Iteration 18  lb 7023199043520 ub 17851662486063  cores 156 155 9  time 76.872 31.3314
Iteration 19  lb 7023199062883 ub 17851662486063  cores 164 163 8  time 85.2214 33.1878
Iteration 20  lb 7023199065678 ub 17851662486063  cores 171 170 7  time 88.6196 35.0567
Iteration 21  lb 7023199082265 ub 17851662486063  cores 179 178 8  time 92.7971 36.9667
Iteration 22  lb 7023199082551 ub 17851662486063  cores 188 187 9  time 95.3227 38.9223
Iteration 23  lb 7023200889131 ub 17851662486063  cores 197 196 9  time 101.39 40.8945
Iteration 24  lb 7023201023442 ub 17851662486063  cores 205 204 8  time 104.255 42.8492
