lb 3750501132637 ub 512409557603043100 before adjustment
lb 0 ub 512405807101910463 after adjustment
costs ready
ub 4962805443793 after 2nd adjustment
29 variables 435 functions 3750501132637 lb, 4962805443793 ub
Iteration 0  lb 3750501211037 ub 8713306576430  cores 4 4 4  time 0.91924 0.428804
Iteration 1  lb 3750501214015 ub 8713306576430  cores 9 9 5  time 1.529 0.914216
Iteration 2  lb 3750501214053 ub 8713306576430  cores 12 12 3  time 1.70616 1.40625
Iteration 3  lb 3750501258006 ub 8713306576430  cores 16 16 4  time 3.53932 1.90963
Iteration 4  lb 3750501337524 ub 8713306576430  cores 21 21 5  time 5.19064 2.4323
Iteration 5  lb 3750501395490 ub 8713306576430  cores 26 26 5  time 6.74303 2.98899
Iteration 6  lb 3750501842007 ub 8713306576430  cores 30 30 4  time 7.92558 3.52249
Iteration 7  lb 3750501880378 ub 8713306576430  cores 34 33 4  time 8.77674 4.06328
Iteration 8  lb 3750501892506 ub 8713306576430  cores 39 38 5  time 9.70868 4.62019
Iteration 9  lb 3750501927715 ub 8713306576430  cores 43 42 4  time 10.5164 5.18228
Iteration 10  lb 3750501931536 ub 8713306576430  cores 49 48 6  time 11.6804 5.75671
Iteration 11  lb 3750501950625 ub 8713306576430  cores 53 52 4  time 13.4997 6.36898
Iteration 12  lb 3750501991004 ub 8713306576430  cores 57 56 4  time 14.9403 6.99402
Iteration 13  lb 3750501998516 ub 8713306576430  cores 62 61 5  time 16.0566 7.62767
Iteration 14  lb 3750502000810 ub 8713306576430  cores 66 65 4  time 17.2592 8.26007
Iteration 15  lb 3750502001026 ub 8713306576430  cores 69 68 3  time 17.7195 8.88908
Iteration 16  lb 3750502010708 ub 8713306576430  cores 72 71 3  time 18.7212 9.52792
Iteration 17  lb 3750502026744 ub 8713306576430  cores 75 74 3  time 19.4722 10.1759
Iteration 18  lb 3750502027924 ub 8713306576430  cores 79 78 4  time 20.1171 10.8244
Iteration 19  lb 3750502028806 ub 8713306576430  cores 83 82 4  time 20.766 11.5548
Iteration 20  lb 3750502034655 ub 8713306576430  cores 87 86 4  time 21.4529 12.3143
Iteration 21  lb 3750502040885 ub 8713306576430  cores 90 89 3  time 22.8927 13.0064
Iteration 22  lb 3750502041028 ub 8713306576430  cores 93 92 3  time 23.1625 13.7057
Iteration 23  lb 3750502041989 ub 8713306576430  cores 96 95 3  time 24.5515 14.496
Iteration 24  lb 3750502106715 ub 8713306576430  cores 100 99 4  time 25.3861 15.1567
Iteration 25  lb 3750502108232 ub 8713306576430  cores 103 101 3  time 25.7441 15.8509
Iteration 26  lb 3750502112621 ub 8713306576430  cores 107 105 4  time 26.3261 16.4933
Iteration 27  lb 3750502300627 ub 8713306576430  cores 111 109 4  time 27.8843 17.1814
Iteration 28  lb 3750502304610 ub 8713306576430  cores 115 113 4  time 28.8381 17.8883
Iteration 29  lb 3750502324292 ub 8713306576430  cores 119 117 4  time 30.1894 18.6039
Iteration 30  lb 3750502324816 ub 8713306576430  cores 123 120 4  time 30.8938 19.3288
Iteration 31  lb 3750502326706 ub 8713306576430  cores 127 124 4  time 32.2243 20.0644
Iteration 32  lb 3750502333188 ub 8713306576430  cores 131 127 4  time 33.689 20.9104
Iteration 33  lb 3750502348967 ub 8713306576430  cores 134 130 3  time 35.9334 21.6133
Iteration 34  lb 3750502368004 ub 8713306576430  cores 138 134 4  time 36.6001 22.3668
Iteration 35  lb 3750502372722 ub 8713306576430  cores 142 138 4  time 39.3491 23.0688
Iteration 36  lb 3750502455879 ub 8713306576430  cores 146 142 4  time 40.5312 23.7922
Iteration 37  lb 3750502461908 ub 8713306576430  cores 149 145 3  time 41.9924 24.4634
Iteration 38  lb 3750502488986 ub 8713306576430  cores 153 149 4  time 42.7514 25.2123
Iteration 39  lb 3750502490261 ub 8713306576430  cores 157 153 4  time 43.1748 25.9641
Iteration 40  lb 3750502508747 ub 8713306576430  cores 161 156 4  time 43.7825 26.7277
Iteration 41  lb 3750502508996 ub 8713306576430  cores 165 159 4  time 44.1411 27.5087
