lb 1513069995787 ub 512409557603043100 before adjustment
lb 0 ub 512408044533047313 after adjustment
costs ready
ub 3410849622676 after 2nd adjustment
17 variables 153 functions 1513069995787 lb, 3410849622676 ub
Iteration 0  lb 1513070770927 ub 4923919618463  cores 3 3 3  time 0.364875 0.093322
Iteration 1  lb 1513072511997 ub 4923919618463  cores 7 7 4  time 0.542656 0.198772
Iteration 2  lb 1513076654641 ub 4923919618463  cores 10 10 3  time 1.01574 0.304519
Iteration 3  lb 1513076758222 ub 4923919618463  cores 13 11 3  time 1.49552 0.410265
Iteration 4  lb 1513076884768 ub 4923919618463  cores 16 14 3  time 1.86709 0.520538
Iteration 5  lb 1513076909476 ub 4923919618463  cores 19 17 3  time 2.01723 0.630492
Iteration 6  lb 1513077012718 ub 4923919618463  cores 23 21 4  time 2.17317 0.745173
Iteration 7  lb 1513077159577 ub 4923919618463  cores 26 24 3  time 2.45138 0.861618
Iteration 8  lb 1513082749709 ub 4923919618463  cores 29 27 3  time 3.26697 0.97313
Iteration 9  lb 1513082852408 ub 4923919618463  cores 32 30 3  time 3.44205 1.0886
Iteration 10  lb 1513082875412 ub 4923919618463  cores 35 32 3  time 3.56769 1.2057
Iteration 11  lb 1513083005244 ub 4923919618463  cores 38 35 3  time 3.7196 1.32638
Iteration 12  lb 1513083031423 ub 4923919618463  cores 41 37 3  time 3.90603 1.45182
Iteration 13  lb 1513083218193 ub 4923919618463  cores 44 39 3  time 4.08704 1.5765
Iteration 14  lb 1513083287290 ub 4923919618463  cores 47 41 3  time 4.25862 1.70108
Iteration 15  lb 1513083350941 ub 4923919618463  cores 50 42 3  time 4.63417 1.82648
Iteration 16  lb 1513083399698 ub 4923919618463  cores 53 44 3  time 4.82878 1.96173
Iteration 17  lb 1513083450831 ub 4923919618463  cores 56 46 3  time 5.03674 2.08855
Iteration 18  lb 1513083642686 ub 4923919618463  cores 59 49 3  time 5.21004 2.2152
Iteration 19  lb 1513083752417 ub 4923919618463  cores 62 52 3  time 5.37403 2.34475
Iteration 20  lb 1513083787800 ub 4923919618463  cores 65 55 3  time 5.53154 2.47534
Iteration 21  lb 1513083875844 ub 4923919618463  cores 68 57 3  time 5.70678 2.60699
Iteration 22  lb 1513083892156 ub 4923919618463  cores 71 59 3  time 5.87558 2.73864
Iteration 23  lb 1513083911514 ub 4923919618463  cores 74 61 3  time 6.00186 2.86878
Iteration 24  lb 1513084158073 ub 4923919618463  cores 77 63 3  time 6.14014 3.00079
Iteration 25  lb 1513084221536 ub 4923919618463  cores 80 66 3  time 6.47869 3.13544
Iteration 26  lb 1513084279849 ub 4923919618463  cores 83 68 3  time 6.59658 3.28041
