name,sat-lb,sat-lub-greedy,sat-lub-model,sat-lub-callback
AIJ14F-1C9O.55p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1CM1.17p.19aa.usingEref_self_digit2,0.404595,0.397109,0.398578,0.399348
AIJ14F-1HZ5.12p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1HZ5.12p.9aa.usingEref_self_digit2,TO,46.2739,TO,TO
AIJ14F-1PGB.11p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1PGB.11p.9aa.usingEref_self_digit2,0.0878,0.084571,0.070817,0.06886
AIJ14F-1PIN.28p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1UBI.13p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-1UBI.13p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-2DHC.14p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14F-2PCY.18p.8aa.usingEref_self_digit2,TO,78.913,TO,TO
AIJ14F-2TRX.11p.8aa.usingEref_self_digit2,3.2982,2.18543,0.764348,837.751
AIJ14L-1BK2.matrix.24p.17aa.usingEref_self_digit2,TO,603.227,TO,TO
AIJ14L-1BRS.matrix.44p.20aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1C9O.matrix.43p.17aa.usingEref_self_digit2,TO,1540.55,TO,TO
AIJ14L-1CDL.matrix.40p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CM1.matrix.42p.19aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CSE.matrix.97p.18aa.usingEref_self_digit2,0.039488,0.024098,0.024292,0.024102
AIJ14L-1CSK.matrix.30p.9aa.usingEref_self_digit2,666.978,53.749,TO,TO
AIJ14L-1CSP.matrix.30p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1CTF.matrix.39p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1DKT.matrix.46p.18aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1ENH.matrix.36p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1FNA.matrix.38p.8aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1FYN.matrix.23p.19aa.usingEref_self_digit2,TO,2068.14,TO,TO
AIJ14L-1GVP.matrix.52p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1HNG.matrix.85p.17aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1L63.matrix.83p.17aa.usingEref_self_digit2,TO,774.798,TO,TO
AIJ14L-1LZ1.matrix.59p.9aa.usingEref_self_digit2,TO,TO,TO,TO
AIJ14L-1MJC.matrix.28p.17aa.usingEref_self_digit2,0.02698,0.010527,0.010526,0.010586
AIJ14L-1NXB.matrix.34p.9aa.usingEref_self_digit2,0.013663,0.014904,0.015069,0.015085
