name, sat-lb,sat-lub-greedy,sat-lub-model,sat-lub-callback, fc-lb,fc-lub-greedy,fc-lub-model,fc-lub-callback
CP13-404,22.7946,11.4598,19.3323,10.7658,TO,TO,TO,TO
CP13-503,2.47967,1.21528,2.00446,1.11524,TO,TO,TO,TO
CP13-505,TO,3565.12,1175.98,1018.77,TO,TO,TO,TO
CP13-pedigree13,28.1675,6.16774,17.2553,12.1866,TO,TO,TO,TO
CP13-pedigree18,5.17369,0.918479,20.0662,10.8658,TO,TO,TO,TO
CP13-pedigree20,92.5759,1.92457,7.22496,25.374,TO,TO,TO,TO
CP13-pedigree25,4.15556,0.208159,7.99711,4.03292,TO,TO,TO,TO
CP13-pedigree30,12.9215,0.54172,101.742,15.7533,TO,TO,TO,TO
CP13-pedigree31,TO,1222.49,6829.6,1828.98,TO,TO,TO,TO
CP13-pedigree33,89.2076,0.11671,37.839,38.2854,TO,TO,TO,TO
CP13-pedigree39,49.3486,3.56039,76.6269,37.0521,TO,TO,TO,TO
CP13-pedigree41,TO,120.187,TO,4001.41,TO,TO,TO,TO
CP13-pedigree44,2249.81,35.5207,1477.13,716.462,TO,TO,TO,TO
CP13-pedigree51,36.0708,5.46074,192.963,17.9248,TO,TO,TO,TO
CP13-pedigree7,2.1466,0.2172,2.32326,1.15753,TO,TO,TO,TO
CP13-pedigree9,1472.78,70.1416,1106.77,392.478,TO,TO,TO,TO
timeout=3600
