lb 3850 ub 81635 before adjustment
860 unsorted cost functions
lb 0 ub 77785 after adjustment
costs ready
545 variables 1510 functions 3850 lb, 77785 ub
Iteration 0  lb 4990 ub 81635  cores 15 15 15  time 0.006559 0.002169
Iteration 1  lb 5148 ub 81635  cores 25 25 10  time 0.010204 0.007501
Iteration 2  lb 5592 ub 81635  cores 35 35 10  time 0.014068 0.011209
Iteration 3  lb 5808 ub 81635  cores 41 41 6  time 0.016489 0.015469
Iteration 4  lb 5892 ub 81635  cores 47 47 6  time 0.018961 0.019658
Iteration 5  lb 6037 ub 81635  cores 52 52 5  time 0.021001 0.024786
Iteration 6  lb 6045 ub 81635  cores 57 56 5  time 0.023062 0.029842
Iteration 7  lb 6069 ub 81635  cores 62 61 5  time 0.025406 0.038621
Iteration 8  lb 6100 ub 81635  cores 68 67 6  time 0.027792 0.056421
Iteration 9  lb 6107 ub 81635  cores 73 72 5  time 0.029929 0.075236
Iteration 10  lb 6119 ub 81635  cores 78 77 5  time 0.032144 0.093354
Iteration 11  lb 6120 ub 81635  cores 83 82 5  time 0.03439 0.133102
Iteration 12  lb 6137 ub 81635  cores 89 88 6  time 0.037129 0.166726
Iteration 13  lb 6150 ub 81635  cores 94 93 5  time 0.039376 0.192641
Iteration 14  lb 6154 ub 81635  cores 100 99 6  time 0.041929 0.251133
Iteration 15  lb 6164 ub 81635  cores 104 103 4  time 0.043642 0.323309
Iteration 16  lb 6168 ub 81635  cores 107 106 3  time 0.045008 0.377795
Iteration 17  lb 6168 ub 81635  cores 113 112 6  time 0.047723 0.470854
Iteration 18  lb 6168 ub 81635  cores 117 116 4  time 0.049741 0.517506
Iteration 19  lb 6174 ub 81635  cores 121 119 4  time 0.051511 0.559633
Iteration 20  lb 6174 ub 81635  cores 123 121 2  time 0.052527 0.634438
Iteration 21  lb 6187 ub 81635  cores 126 124 3  time 0.053826 0.718378
Iteration 22  lb 6188 ub 81635  cores 130 128 4  time 0.055546 0.785875
Iteration 23  lb 6203 ub 81635  cores 134 132 4  time 0.057322 0.912341
Iteration 24  lb 6214 ub 81635  cores 137 135 3  time 0.0588 0.997224
Iteration 25  lb 6217 ub 81635  cores 140 138 3  time 0.060277 1.06219
Iteration 26  lb 6223 ub 81635  cores 143 141 3  time 0.06163 1.19403
Iteration 27  lb 6224 ub 81635  cores 147 145 4  time 0.063316 1.2652
Iteration 28  lb 6224 ub 81635  cores 150 148 3  time 0.06463 1.33991
Iteration 29  lb 6237 ub 81635  cores 154 152 4  time 0.066381 1.49716
Iteration 30  lb 6237 ub 81635  cores 157 155 3  time 0.068015 1.64362
Iteration 31  lb 6244 ub 81635  cores 159 157 2  time 0.068931 1.77933
Iteration 32  lb 6245 ub 81635  cores 162 160 3  time 0.070416 1.93446
Iteration 33  lb 6247 ub 81635  cores 166 164 4  time 0.072172 2.08914
Iteration 34  lb 6254 ub 81635  cores 170 168 4  time 0.073873 2.19454
Iteration 35  lb 6262 ub 81635  cores 173 171 3  time 0.075436 2.38784
Iteration 36  lb 6264 ub 81635  cores 175 173 2  time 0.076475 2.6012
Iteration 37  lb 6265 ub 81635  cores 178 176 3  time 0.077828 2.79096
Iteration 38  lb 6266 ub 81635  cores 181 179 3  time 0.079148 2.98102
Iteration 39  lb 6278 ub 81635  cores 184 182 3  time 0.08067 3.16743
Iteration 40  lb 6286 ub 81635  cores 187 185 3  time 0.081995 3.40901
Iteration 41  lb 6286 ub 81635  cores 191 189 4  time 0.083972 3.73378
Iteration 42  lb 6286 ub 81635  cores 193 191 2  time 0.08507 3.98564
Iteration 43  lb 6287 ub 81635  cores 196 194 3  time 0.086445 4.30732
Iteration 44  lb 6288 ub 81635  cores 198 195 2  time 0.087513 4.65187
Iteration 45  lb 6290 ub 81635  cores 201 198 3  time 0.088956 4.97085
Iteration 46  lb 6291 ub 81635  cores 204 201 3  time 0.090376 5.27238
Iteration 47  lb 6292 ub 81635  cores 206 203 2  time 0.091409 5.54652
Iteration 48  lb 6294 ub 81635  cores 211 208 5  time 0.093569 5.80856
Iteration 49  lb 6295 ub 81635  cores 215 212 4  time 0.095182 6.09253
Iteration 50  lb 6296 ub 81635  cores 217 214 2  time 0.096238 6.32013
Iteration 51  lb 6297 ub 81635  cores 219 216 2  time 0.097315 6.55828
Iteration 52  lb 6302 ub 81635  cores 222 219 3  time 0.09867 6.96706
Iteration 53  lb 6305 ub 81635  cores 225 222 3  time 0.100103 7.28185
Iteration 54  lb 6311 ub 81635  cores 229 226 4  time 0.101996 7.60416
Iteration 55  lb 6316 ub 81635  cores 233 230 4  time 0.1037 8.1613
Iteration 56  lb 6319 ub 81635  cores 236 233 3  time 0.105115 8.42002
Iteration 57  lb 6321 ub 81635  cores 241 238 5  time 0.107315 8.84491
Iteration 58  lb 6322 ub 81635  cores 243 240 2  time 0.108335 9.33925
Iteration 59  lb 6322 ub 81635  cores 245 242 2  time 0.109579 9.66406
Iteration 60  lb 6324 ub 81635  cores 248 245 3  time 0.110922 10.0454
Iteration 61  lb 6325 ub 81635  cores 252 249 4  time 0.112598 10.525
Iteration 62  lb 6331 ub 81635  cores 255 252 3  time 0.114081 11.022
Iteration 63  lb 6332 ub 81635  cores 259 256 4  time 0.115884 11.5953
Iteration 64  lb 6338 ub 81635  cores 264 260 5  time 0.118136 11.9592
Iteration 65  lb 6338 ub 81635  cores 268 263 4  time 0.119717 12.4166
Iteration 66  lb 6339 ub 81635  cores 272 267 4  time 0.121742 13.0106
Iteration 67  lb 6339 ub 81635  cores 275 270 3  time 0.123116 13.3246
Iteration 68  lb 6340 ub 81635  cores 278 272 3  time 0.124516 13.7264
Iteration 69  lb 6346 ub 81635  cores 281 275 3  time 0.126147 14.147
Iteration 70  lb 6348 ub 81635  cores 283 277 2  time 0.12729 14.5967
Iteration 71  lb 6353 ub 81635  cores 287 277 4  time 0.128926 15.0498
Iteration 72  lb 6358 ub 81635  cores 289 278 2  time 0.129982 15.3662
Iteration 73  lb 6359 ub 81635  cores 292 281 3  time 0.13139 15.8394
