lb 67 ub 154 before adjustment
279 unsorted cost functions
lb 0 ub 87 after adjustment
costs ready
88 variables 679 functions 67 lb, 87 ub
Iteration 0  lb 86 ub 154  cores 19 19 19  time 0.003488 0.001754
Iteration 1  lb 90 ub 154  cores 31 31 12  time 0.005774 0.004088
Iteration 2  lb 92 ub 154  cores 42 42 11  time 0.007913 0.012027
Iteration 3  lb 95 ub 154  cores 54 54 12  time 0.010567 0.025113
Iteration 4  lb 95 ub 154  cores 63 62 9  time 0.012518 0.034455
Iteration 5  lb 97 ub 154  cores 71 70 8  time 0.014151 0.048604
Iteration 6  lb 99 ub 154  cores 81 78 10  time 0.015167 0.055785
Iteration 7  lb 99 ub 154  cores 88 85 7  time 0.015957 0.062653
Iteration 8  lb 101 ub 154  cores 96 93 8  time 0.016788 0.074277
Iteration 9  lb 102 ub 154  cores 103 100 7  time 0.017555 0.09238
Iteration 10  lb 103 ub 154  cores 110 107 7  time 0.018331 0.107221
Iteration 11  lb 103 ub 154  cores 117 113 7  time 0.019117 0.121716
Iteration 12  lb 103 ub 154  cores 125 121 8  time 0.020035 0.136811
Iteration 13  lb 103 ub 154  cores 132 128 7  time 0.02083 0.15774
Iteration 14  lb 104 ub 154  cores 138 134 6  time 0.021422 0.168404
Iteration 15  lb 104 ub 154  cores 146 140 8  time 0.022369 0.181755
Iteration 16  lb 105 ub 154  cores 151 145 5  time 0.023051 0.207974
Iteration 17  lb 106 ub 154  cores 159 152 8  time 0.023891 0.241059
Iteration 18  lb 106 ub 154  cores 165 158 6  time 0.024665 0.275547
Iteration 19  lb 107 ub 154  cores 170 162 5  time 0.025242 0.302139
Iteration 20  lb 108 ub 154  cores 175 167 5  time 0.025825 0.342379
Iteration 21  lb 108 ub 154  cores 178 170 3  time 0.026223 0.393853
Iteration 22  lb 108 ub 154  cores 183 175 5  time 0.026791 0.436767
Iteration 23  lb 108 ub 154  cores 188 180 5  time 0.027376 0.485781
Iteration 24  lb 108 ub 154  cores 193 185 5  time 0.027964 0.538376
Iteration 25  lb 108 ub 154  cores 198 190 5  time 0.028563 0.584057
Iteration 26  lb 109 ub 154  cores 204 196 6  time 0.029259 0.638446
Iteration 27  lb 109 ub 154  cores 208 200 4  time 0.029744 0.721791
Iteration 28  lb 109 ub 154  cores 212 204 4  time 0.030205 0.807793
Iteration 29  lb 109 ub 154  cores 214 206 2  time 0.030516 0.858616
Iteration 30  lb 109 ub 154  cores 216 208 2  time 0.030824 0.921586
Iteration 31  lb 109 ub 154  cores 221 213 5  time 0.031425 0.978118
Iteration 32  lb 109 ub 154  cores 225 217 4  time 0.031926 1.05261
Iteration 33  lb 109 ub 154  cores 231 222 6  time 0.032594 1.11056
Iteration 34  lb 110 ub 154  cores 235 226 4  time 0.033046 1.17819
Iteration 35  lb 110 ub 154  cores 239 230 4  time 0.033505 1.24149
Iteration 36  lb 110 ub 154  cores 242 233 3  time 0.03389 1.34694
Iteration 37  lb 110 ub 154  cores 245 236 3  time 0.034316 1.40838
Iteration 38  lb 110 ub 154  cores 247 237 2  time 0.034648 1.49382
Iteration 39  lb 110 ub 154  cores 252 242 5  time 0.035261 1.54714
Iteration 40  lb 110 ub 154  cores 257 247 5  time 0.035823 1.6098
Iteration 41  lb 111 ub 154  cores 260 250 3  time 0.036228 1.67548
Iteration 42  lb 111 ub 154  cores 263 253 3  time 0.036629 1.73703
Iteration 43  lb 111 ub 154  cores 266 256 3  time 0.037022 1.81044
Iteration 44  lb 111 ub 154  cores 270 260 4  time 0.037443 1.90315
Iteration 45  lb 111 ub 154  cores 274 263 4  time 0.037904 1.9661
Iteration 46  lb 111 ub 154  cores 278 267 4  time 0.038412 2.05107
Iteration 47  lb 111 ub 154  cores 281 270 3  time 0.038805 2.13602
Iteration 48  lb 111 ub 154  cores 286 275 5  time 0.039383 2.21493
Iteration 49  lb 111 ub 154  cores 288 277 2  time 0.039683 2.28311
Iteration 50  lb 111 ub 154  cores 291 280 3  time 0.040105 2.36418
Iteration 51  lb 111 ub 154  cores 295 284 4  time 0.040603 2.4502
Iteration 52  lb 111 ub 154  cores 297 284 2  time 0.040909 2.52993
Iteration 53  lb 111 ub 154  cores 301 288 4  time 0.04148 2.60925
Iteration 54  lb 111 ub 154  cores 304 291 3  time 0.041861 2.69839
Iteration 55  lb 111 ub 154  cores 307 294 3  time 0.042242 2.8418
Iteration 56  lb 111 ub 154  cores 310 297 3  time 0.042672 2.92039
Iteration 57  lb 112 ub 154  cores 314 300 4  time 0.043121 3.01439
Iteration 58  lb 112 ub 154  cores 316 302 2  time 0.043465 3.10124
Iteration 59  lb 112 ub 154  cores 319 305 3  time 0.043846 3.2045
Iteration 60  lb 112 ub 154  cores 323 309 4  time 0.044291 3.29147
Iteration 61  lb 112 ub 154  cores 325 311 2  time 0.044574 3.37619
Iteration 62  lb 112 ub 154  cores 327 311 2  time 0.044853 3.47902
Iteration 63  lb 112 ub 154  cores 331 315 4  time 0.045322 3.56069
Iteration 64  lb 112 ub 154  cores 335 318 4  time 0.045774 3.64882
Iteration 65  lb 112 ub 154  cores 337 320 2  time 0.046078 3.73081
Iteration 66  lb 112 ub 154  cores 339 321 2  time 0.04638 3.80317
Iteration 67  lb 112 ub 154  cores 342 324 3  time 0.046776 3.89517
Iteration 68  lb 112 ub 154  cores 344 325 2  time 0.047103 3.9939
Iteration 69  lb 112 ub 154  cores 346 327 2  time 0.04739 4.06358
Iteration 70  lb 112 ub 154  cores 348 329 2  time 0.047671 4.12955
Iteration 71  lb 112 ub 154  cores 350 331 2  time 0.047947 4.23125
Iteration 72  lb 112 ub 154  cores 352 333 2  time 0.048264 4.29995
Iteration 73  lb 112 ub 154  cores 354 334 2  time 0.048556 4.38069
Iteration 74  lb 112 ub 154  cores 357 337 3  time 0.048926 4.46361
Iteration 75  lb 112 ub 154  cores 360 340 3  time 0.049289 4.57122
Iteration 76  lb 112 ub 154  cores 363 343 3  time 0.049678 4.66868
Iteration 77  lb 112 ub 154  cores 365 345 2  time 0.04997 4.7684
Iteration 78  lb 112 ub 154  cores 367 347 2  time 0.050248 4.86807
