lb 1423 ub 71945 before adjustment
401 unsorted cost functions
lb 0 ub 70522 after adjustment
costs ready
ub 48570 after 2nd adjustment
273 variables 725 functions 1423 lb, 48570 ub
Iteration 0  lb 1433 ub 49993  cores 5 5 5  time 0.001286 0.001687
Iteration 1  lb 1528 ub 49993  cores 11 11 6  time 0.002597 0.003369
Iteration 2  lb 1600 ub 49993  cores 16 16 5  time 0.003827 0.007046
Iteration 3  lb 1675 ub 49993  cores 22 21 6  time 0.005163 0.011161
Iteration 4  lb 1720 ub 49993  cores 27 25 5  time 0.006277 0.017012
Iteration 5  lb 1724 ub 49993  cores 30 28 3  time 0.007285 0.021365
Iteration 6  lb 1727 ub 49993  cores 33 31 3  time 0.008134 0.028433
Iteration 7  lb 1727 ub 49993  cores 36 33 3  time 0.008908 0.0341
Iteration 8  lb 1748 ub 49993  cores 40 36 4  time 0.009777 0.040518
Iteration 9  lb 1774 ub 49993  cores 43 38 3  time 0.010639 0.049455
Iteration 10  lb 1796 ub 49993  cores 48 41 5  time 0.011687 0.058776
Iteration 11  lb 1804 ub 49993  cores 51 44 3  time 0.012397 0.065854
Iteration 12  lb 1821 ub 49993  cores 54 46 3  time 0.013087 0.074575
Iteration 13  lb 1841 ub 49993  cores 57 49 3  time 0.013801 0.083469
Iteration 14  lb 1841 ub 49993  cores 59 51 2  time 0.014483 0.093188
Iteration 15  lb 1842 ub 49993  cores 61 53 2  time 0.015012 0.102243
Iteration 16  lb 1847 ub 49993  cores 64 56 3  time 0.015776 0.11199
Iteration 17  lb 1848 ub 49993  cores 66 58 2  time 0.016318 0.123481
Iteration 18  lb 1848 ub 49993  cores 68 59 2  time 0.016921 0.135666
Iteration 19  lb 1849 ub 49993  cores 70 61 2  time 0.017459 0.145641
Iteration 20  lb 1852 ub 49993  cores 72 63 2  time 0.017977 0.160585
Iteration 21  lb 1853 ub 49993  cores 73 63 1  time 0.018305 0.174232
Iteration 22  lb 1871 ub 49993  cores 74 63 1  time 0.018637 0.188815
Iteration 23  lb 1876 ub 49993  cores 77 66 3  time 0.019457 0.200459
Iteration 24  lb 1877 ub 49993  cores 78 67 1  time 0.019814 0.212501
Iteration 25  lb 1877 ub 49993  cores 79 68 1  time 0.020149 0.225912
Iteration 26  lb 1877 ub 49993  cores 81 70 2  time 0.020924 0.239065
Iteration 27  lb 1936 ub 49993  cores 84 73 3  time 0.021765 0.258056
Iteration 28  lb 1941 ub 49993  cores 85 74 1  time 0.0221 0.280298
Iteration 29  lb 1964 ub 49993  cores 87 76 2  time 0.022638 0.32339
Iteration 30  lb 1964 ub 49993  cores 89 77 2  time 0.02318 0.350486
Iteration 31  lb 1965 ub 49993  cores 92 80 3  time 0.023883 0.386153
Iteration 32  lb 1965 ub 49993  cores 94 82 2  time 0.024396 0.423055
Iteration 33  lb 1980 ub 49993  cores 96 80 2  time 0.02494 0.435924
Iteration 34  lb 2007 ub 49993  cores 98 82 2  time 0.025618 0.453982
Iteration 35  lb 2007 ub 49993  cores 100 84 2  time 0.026146 0.475145
Iteration 36  lb 2008 ub 49993  cores 102 86 2  time 0.026703 0.492525
Iteration 37  lb 2008 ub 49993  cores 104 88 2  time 0.02726 0.520958
Iteration 38  lb 2008 ub 49993  cores 106 89 2  time 0.02783 0.555126
Iteration 39  lb 2009 ub 49993  cores 109 91 3  time 0.028746 0.58571
Iteration 40  lb 2011 ub 49993  cores 111 93 2  time 0.029255 0.602874
Iteration 41  lb 2032 ub 49993  cores 113 95 2  time 0.029842 0.639664
Iteration 42  lb 2033 ub 49993  cores 115 96 2  time 0.030359 0.685128
Iteration 43  lb 2035 ub 49993  cores 117 98 2  time 0.030924 0.713378
Iteration 44  lb 2036 ub 49993  cores 119 100 2  time 0.031462 0.763252
Iteration 45  lb 2037 ub 49993  cores 121 102 2  time 0.031983 0.816441
Iteration 46  lb 2037 ub 49993  cores 124 105 3  time 0.032651 0.849896
Iteration 47  lb 2038 ub 49993  cores 126 107 2  time 0.033193 0.888248
Iteration 48  lb 2039 ub 49993  cores 128 109 2  time 0.033716 0.930544
Iteration 49  lb 2040 ub 49993  cores 130 111 2  time 0.03424 0.964896
Iteration 50  lb 2041 ub 49993  cores 132 113 2  time 0.034813 1.01494
Iteration 51  lb 2042 ub 49993  cores 134 115 2  time 0.035341 1.06266
Iteration 52  lb 2043 ub 49993  cores 136 117 2  time 0.035848 1.11199
Iteration 53  lb 2045 ub 49993  cores 137 118 1  time 0.036189 1.16086
Iteration 54  lb 2047 ub 49993  cores 138 119 1  time 0.036518 1.21102
Iteration 55  lb 2047 ub 49993  cores 139 120 1  time 0.036853 1.23927
Iteration 56  lb 2051 ub 49993  cores 140 121 1  time 0.037172 1.28923
Iteration 57  lb 2052 ub 49993  cores 142 123 2  time 0.03769 1.32231
Iteration 58  lb 2052 ub 49993  cores 143 124 1  time 0.03803 1.38504
Iteration 59  lb 2067 ub 49993  cores 145 126 2  time 0.038546 1.4161
Iteration 60  lb 2067 ub 49993  cores 146 127 1  time 0.038968 1.47048
Iteration 61  lb 2067 ub 49993  cores 147 128 1  time 0.039323 1.5038
Iteration 62  lb 2068 ub 49993  cores 149 130 2  time 0.039853 1.56793
Iteration 63  lb 2070 ub 49993  cores 150 131 1  time 0.040163 1.65966
Iteration 64  lb 2070 ub 49993  cores 151 132 1  time 0.040481 1.74125
Iteration 65  lb 2071 ub 49993  cores 152 133 1  time 0.040785 1.82485
Iteration 66  lb 2071 ub 49993  cores 155 136 3  time 0.041488 1.85485
Iteration 67  lb 2091 ub 49993  cores 158 139 3  time 0.042202 1.90926
Iteration 68  lb 2094 ub 49993  cores 161 137 3  time 0.042891 1.93589
Iteration 69  lb 2123 ub 49993  cores 163 139 2  time 0.043444 2.01615
Iteration 70  lb 2123 ub 49993  cores 165 141 2  time 0.043997 2.10511
Iteration 71  lb 2124 ub 49993  cores 168 142 3  time 0.044687 2.19583
Iteration 72  lb 2125 ub 49993  cores 169 143 1  time 0.045044 2.26873
Iteration 73  lb 2125 ub 49993  cores 170 144 1  time 0.045427 2.33156
Iteration 74  lb 2127 ub 49993  cores 171 145 1  time 0.045765 2.40704
Iteration 75  lb 2129 ub 49993  cores 173 147 2  time 0.046265 2.47323
Iteration 76  lb 2129 ub 49993  cores 175 149 2  time 0.046779 2.53929
Iteration 77  lb 2130 ub 49993  cores 176 150 1  time 0.047105 2.63109
Iteration 78  lb 2134 ub 49993  cores 178 152 2  time 0.047649 2.71059
Iteration 79  lb 2136 ub 49993  cores 180 154 2  time 0.048144 2.78899
Iteration 80  lb 2149 ub 49993  cores 182 156 2  time 0.048732 2.87553
Iteration 81  lb 2149 ub 49993  cores 184 158 2  time 0.049247 2.96371
Iteration 82  lb 2154 ub 49993  cores 186 160 2  time 0.049799 3.06208
Iteration 83  lb 2154 ub 49993  cores 187 161 1  time 0.050149 3.14578
Iteration 84  lb 2154 ub 49993  cores 188 162 1  time 0.050495 3.23395
Iteration 85  lb 2154 ub 49993  cores 189 163 1  time 0.050833 3.3263
Iteration 86  lb 2154 ub 49993  cores 190 164 1  time 0.051167 3.41951
Iteration 87  lb 2155 ub 49993  cores 192 166 2  time 0.051701 3.48811
Iteration 88  lb 2159 ub 49993  cores 194 167 2  time 0.052247 3.55187
Iteration 89  lb 2159 ub 49993  cores 196 169 2  time 0.052785 3.64576
Iteration 90  lb 2160 ub 49993  cores 197 170 1  time 0.053128 3.73965
Iteration 91  lb 2162 ub 49993  cores 198 171 1  time 0.053459 3.84892
Iteration 92  lb 2164 ub 49993  cores 200 173 2  time 0.053996 3.94464
Iteration 93  lb 2166 ub 49993  cores 201 174 1  time 0.054325 4.05632
Iteration 94  lb 2167 ub 49993  cores 203 176 2  time 0.054855 4.18691
Iteration 95  lb 2167 ub 49993  cores 204 177 1  time 0.055201 4.30218
Iteration 96  lb 2168 ub 49993  cores 205 178 1  time 0.05553 4.41974
Iteration 97  lb 2168 ub 49993  cores 207 180 2  time 0.056109 4.56947
Iteration 98  lb 2168 ub 49993  cores 209 181 2  time 0.056698 4.68486
Iteration 99  lb 2169 ub 49993  cores 210 182 1  time 0.057048 4.79474
Iteration 100  lb 2169 ub 49993  cores 211 183 1  time 0.057428 4.91777
Iteration 101  lb 2169 ub 49993  cores 212 184 1  time 0.057783 5.02856
Iteration 102  lb 2169 ub 49993  cores 213 185 1  time 0.058126 5.14989
Iteration 103  lb 2170 ub 49993  cores 214 186 1  time 0.058462 5.26367
Iteration 104  lb 2170 ub 49993  cores 216 188 2  time 0.059203 5.39168
Iteration 105  lb 2170 ub 49993  cores 217 188 1  time 0.059549 5.51001
Iteration 106  lb 2171 ub 49993  cores 219 190 2  time 0.060046 5.63151
Iteration 107  lb 2183 ub 49993  cores 222 192 3  time 0.060739 5.72132
Iteration 108  lb 2184 ub 49993  cores 223 193 1  time 0.061096 5.7607
Iteration 109  lb 2186 ub 49993  cores 224 194 1  time 0.061436 5.88805
Iteration 110  lb 2187 ub 49993  cores 225 195 1  time 0.061773 5.97689
Iteration 111  lb 2208 ub 49993  cores 227 197 2  time 0.062388 6.09992
Iteration 112  lb 2211 ub 49993  cores 229 198 2  time 0.062907 6.2291
Iteration 113  lb 2212 ub 49993  cores 231 200 2  time 0.063487 6.35177
Iteration 114  lb 2212 ub 49993  cores 233 202 2  time 0.064006 6.47385
Iteration 115  lb 2216 ub 49993  cores 235 203 2  time 0.064561 6.58997
Iteration 116  lb 2218 ub 49993  cores 237 204 2  time 0.065136 6.71273
Iteration 117  lb 2224 ub 49993  cores 239 205 2  time 0.065697 6.83808
Iteration 118  lb 2224 ub 49993  cores 240 206 1  time 0.06605 6.96371
Iteration 119  lb 2224 ub 49993  cores 241 207 1  time 0.066397 7.08519
Iteration 120  lb 2224 ub 49993  cores 242 208 1  time 0.066733 7.24008
Iteration 121  lb 2225 ub 49993  cores 243 209 1  time 0.067095 7.37881
Iteration 122  lb 2226 ub 49993  cores 244 209 1  time 0.067486 7.49851
Iteration 123  lb 2226 ub 49993  cores 246 210 2  time 0.06817 7.63239
Iteration 124  lb 2227 ub 49993  cores 247 211 1  time 0.068511 7.75933
Iteration 125  lb 2227 ub 49993  cores 248 212 1  time 0.06886 7.88524
Iteration 126  lb 2227 ub 49993  cores 249 213 1  time 0.069207 8.04613
Iteration 127  lb 2227 ub 49993  cores 250 214 1  time 0.069538 8.1631
Iteration 128  lb 2227 ub 49993  cores 251 215 1  time 0.06987 8.2854
Iteration 129  lb 2227 ub 49993  cores 252 216 1  time 0.070222 8.41235
Iteration 130  lb 2228 ub 49993  cores 253 217 1  time 0.070554 8.57374
Iteration 131  lb 2228 ub 49993  cores 254 218 1  time 0.070904 8.71079
Iteration 132  lb 2229 ub 49993  cores 255 218 1  time 0.071253 8.81108
Iteration 133  lb 2231 ub 49993  cores 257 220 2  time 0.071871 8.95318
Iteration 134  lb 2237 ub 49993  cores 259 221 2  time 0.072458 9.06147
Iteration 135  lb 2237 ub 49993  cores 260 222 1  time 0.072825 9.13862
Iteration 136  lb 2238 ub 49993  cores 261 223 1  time 0.073173 9.24391
Iteration 137  lb 2240 ub 49993  cores 262 224 1  time 0.073527 9.36289
Iteration 138  lb 2241 ub 49993  cores 263 225 1  time 0.073862 9.49349
Iteration 139  lb 2241 ub 49993  cores 264 226 1  time 0.074232 9.61397
Iteration 140  lb 2242 ub 49993  cores 265 227 1  time 0.074569 9.74285
Iteration 141  lb 2242 ub 49993  cores 266 228 1  time 0.074909 9.88364
Iteration 142  lb 2244 ub 49993  cores 267 229 1  time 0.075278 10.027
Iteration 143  lb 2244 ub 49993  cores 269 231 2  time 0.075813 10.1383
Iteration 144  lb 2244 ub 49993  cores 270 232 1  time 0.076165 10.2596
Iteration 145  lb 2245 ub 49993  cores 271 233 1  time 0.076526 10.4062
Iteration 146  lb 2245 ub 49993  cores 273 235 2  time 0.077066 10.5241
Iteration 147  lb 2245 ub 49993  cores 275 237 2  time 0.077636 10.6441
Iteration 148  lb 2245 ub 49993  cores 276 238 1  time 0.078054 10.7789
Iteration 149  lb 2245 ub 49993  cores 277 239 1  time 0.078401 10.8987
Iteration 150  lb 2245 ub 49993  cores 278 240 1  time 0.07874 11.0131
Iteration 151  lb 2246 ub 49993  cores 280 242 2  time 0.079436 11.184
Iteration 152  lb 2246 ub 49993  cores 282 244 2  time 0.080027 11.3118
Iteration 153  lb 2247 ub 49993  cores 284 246 2  time 0.080643 11.4366
Iteration 154  lb 2248 ub 49993  cores 285 247 1  time 0.081048 11.5745
Iteration 155  lb 2249 ub 49993  cores 287 249 2  time 0.08163 11.6893
Iteration 156  lb 2249 ub 49993  cores 288 250 1  time 0.081995 11.8308
Iteration 157  lb 2249 ub 49993  cores 289 251 1  time 0.082333 11.9562
Iteration 158  lb 2249 ub 49993  cores 291 253 2  time 0.082879 12.084
Iteration 159  lb 2249 ub 49993  cores 293 255 2  time 0.083447 12.1972
Iteration 160  lb 2250 ub 49993  cores 295 257 2  time 0.083942 12.3072
Iteration 161  lb 2251 ub 49993  cores 297 259 2  time 0.084449 12.4187
Iteration 162  lb 2256 ub 49993  cores 300 259 3  time 0.085152 12.5331
Iteration 163  lb 2256 ub 49993  cores 301 260 1  time 0.085508 12.6643
Iteration 164  lb 2257 ub 49993  cores 302 260 1  time 0.08584 12.7966
Iteration 165  lb 2259 ub 49993  cores 303 261 1  time 0.08625 12.944
Iteration 166  lb 2260 ub 49993  cores 304 262 1  time 0.086638 13.0947
Iteration 167  lb 2261 ub 49993  cores 306 264 2  time 0.087163 13.2439
Iteration 168  lb 2266 ub 49993  cores 307 265 1  time 0.087506 13.3971
Iteration 169  lb 2281 ub 49993  cores 309 267 2  time 0.088013 13.5024
Iteration 170  lb 2286 ub 49993  cores 311 269 2  time 0.088541 13.5847
Iteration 171  lb 2286 ub 49993  cores 312 270 1  time 0.088877 13.6785
Iteration 172  lb 2287 ub 49993  cores 314 272 2  time 0.089406 13.769
Iteration 173  lb 2287 ub 49993  cores 316 274 2  time 0.089935 13.8583
Iteration 174  lb 2293 ub 49993  cores 317 275 1  time 0.090283 13.9538
Iteration 175  lb 2296 ub 49993  cores 319 275 2  time 0.090816 14.0446
Iteration 176  lb 2298 ub 49993  cores 320 276 1  time 0.09117 14.1553
Iteration 177  lb 2298 ub 49993  cores 322 278 2  time 0.091712 14.2606
Iteration 178  lb 2299 ub 49993  cores 324 279 2  time 0.092234 14.3693
Iteration 179  lb 2302 ub 49993  cores 326 280 2  time 0.09274 14.4732
Iteration 180  lb 2302 ub 49993  cores 327 281 1  time 0.093092 14.5784
Iteration 181  lb 2305 ub 49993  cores 328 282 1  time 0.093436 14.6875
Iteration 182  lb 2305 ub 49993  cores 330 284 2  time 0.094012 14.8491
Iteration 183  lb 2306 ub 49993  cores 331 285 1  time 0.09436 15.0245
Iteration 184  lb 2313 ub 49993  cores 333 286 2  time 0.094895 15.1229
Iteration 185  lb 2314 ub 49993  cores 334 287 1  time 0.095245 15.2338
Iteration 186  lb 2377 ub 49993  cores 336 288 2  time 0.095751 15.3862
Iteration 187  lb 2382 ub 49993  cores 338 289 2  time 0.096264 15.5407
Iteration 188  lb 2383 ub 49993  cores 340 291 2  time 0.096775 15.6794
Iteration 189  lb 2384 ub 49993  cores 341 292 1  time 0.097178 15.832
Iteration 190  lb 2384 ub 49993  cores 343 293 2  time 0.097693 15.981
Iteration 191  lb 2384 ub 49993  cores 344 294 1  time 0.098051 16.1115
Iteration 192  lb 2386 ub 49993  cores 345 295 1  time 0.098391 16.226
Iteration 193  lb 2386 ub 49993  cores 347 297 2  time 0.098986 16.382
Iteration 194  lb 2386 ub 49993  cores 348 298 1  time 0.099342 16.4892
Iteration 195  lb 2387 ub 49993  cores 350 299 2  time 0.099845 16.6353
Iteration 196  lb 2397 ub 49993  cores 352 301 2  time 0.100486 16.7293
Iteration 197  lb 2399 ub 49993  cores 353 302 1  time 0.100842 16.8528
