name, sat-lb,sat-lub-greedy,sat-lub-model,sat-lub-callback, fc-lb,fc-lub-greedy,fc-lub-model,fc-lub-callback
CP13-404,6.83387,3.49476,5.75474,3.78419,TO,TO,TO,TO
CP13-503,0.922813,0.437762,0.864257,0.472623,TO,TO,TO,TO
CP13-505,TO,899.681,312.01,259.663,TO,TO,TO,TO
CP13-pedigree13,10.1188,2.43165,9.03464,4.9855,TO,TO,TO,TO
CP13-pedigree18,2.36124,0.596664,18.4241,9.42624,TO,TO,TO,TO
CP13-pedigree20,32.8365,0.813055,3.6145,12.5471,TO,TO,TO,TO
CP13-pedigree25,1.96196,0.177719,5.05672,1.96065,TO,TO,TO,TO
CP13-pedigree30,5.38322,0.41483,55.1053,12.8066,TO,TO,TO,TO
CP13-pedigree31,TO,339.025,2014.49,565.319,TO,TO,TO,TO
CP13-pedigree33,38.377,0.128631,23.1085,30.8687,TO,TO,TO,TO
CP13-pedigree39,18.2158,1.3585,34.7122,13.5618,TO,TO,TO,TO
CP13-pedigree41,TO,36.5107,TO,1626.87,TO,TO,TO,TO
CP13-pedigree44,647.593,13.0195,656.296,252.333,TO,TO,TO,TO
CP13-pedigree51,13.1688,2.09855,151.306,13.806,TO,TO,TO,TO
CP13-pedigree7,0.9816,0.181211,1.9836,0.851024,TO,TO,TO,TO
CP13-pedigree9,412.308,22.3532,731.763,172.704,TO,TO,TO,TO
timeout=3600
