name,cost,time
CP13-404,47,0.050767410999999985
CP13-503,3541,0.009215823999999997
CP13-505,9135,0.16716513500000002
CP13-pedigree13,984,4.582696587
CP13-pedigree18,1830,44.43363548
CP13-pedigree20,1109,98.853905986
CP13-pedigree25,3184,0.039118312
CP13-pedigree30,1884,1.3602519770000001
CP13-pedigree31,NA,TO
CP13-pedigree33,3401,0.047532310999999994
CP13-pedigree39,1645,1559.917200216
CP13-pedigree41,NA,TO
CP13-pedigree44,NA,TO
CP13-pedigree51,2491,2881.022308051
CP13-pedigree7,1199,29.020662463999997
CP13-pedigree9,2508,2617.4386426190003
AIJ14F-1C9O.55p.19aa.usingEref_self_digit2,NA,MO
AIJ14F-1CM1.17p.19aa.usingEref_self_digit2,0,1.9518678430000005
AIJ14F-1HZ5.12p.19aa.usingEref_self_digit2,188,128.164511196
AIJ14F-1HZ5.12p.9aa.usingEref_self_digit2,151,2.6305797909999997
AIJ14F-1PGB.11p.19aa.usingEref_self_digit2,NA,MO
AIJ14F-1PGB.11p.9aa.usingEref_self_digit2,1,0.11763785800000004
AIJ14F-1PIN.28p.19aa.usingEref_self_digit2,NA,MO
AIJ14F-1UBI.13p.19aa.usingEref_self_digit2,NA,MO
AIJ14F-1UBI.13p.9aa.usingEref_self_digit2,NA,TO
AIJ14F-2DHC.14p.19aa.usingEref_self_digit2,NA,MO
AIJ14F-2PCY.18p.8aa.usingEref_self_digit2,45,1.8909733050000002
AIJ14F-2TRX.11p.8aa.usingEref_self_digit2,4,0.259576425
AIJ14L-1BK2.matrix.24p.17aa.usingEref_self_digit2,170,6.042408381
AIJ14L-1BRS.matrix.44p.20aa.usingEref_self_digit2,NA,MO
AIJ14L-1C9O.matrix.43p.17aa.usingEref_self_digit2,135,40.188193772
AIJ14L-1CDL.matrix.40p.19aa.usingEref_self_digit2,NA,MO
AIJ14L-1CM1.matrix.42p.19aa.usingEref_self_digit2,NA,TO
AIJ14L-1CSE.matrix.97p.18aa.usingEref_self_digit2,0,0.09288185099999999
AIJ14L-1CSK.matrix.30p.9aa.usingEref_self_digit2,30,0.46939914000000005
AIJ14L-1CSP.matrix.30p.17aa.usingEref_self_digit2,NA,TO
AIJ14L-1CTF.matrix.39p.9aa.usingEref_self_digit2,157,117.928779691
AIJ14L-1DKT.matrix.46p.18aa.usingEref_self_digit2,89,104.02764012
AIJ14L-1ENH.matrix.36p.17aa.usingEref_self_digit2,NA,MO
AIJ14L-1FNA.matrix.38p.8aa.usingEref_self_digit2,154,15.112616415
AIJ14L-1FYN.matrix.23p.19aa.usingEref_self_digit2,121,186.37129911
AIJ14L-1GVP.matrix.52p.17aa.usingEref_self_digit2,NA,MO
AIJ14L-1HNG.matrix.85p.17aa.usingEref_self_digit2,273,524.082118638
AIJ14L-1L63.matrix.83p.17aa.usingEref_self_digit2,31,5.653499621000001
AIJ14L-1LZ1.matrix.59p.9aa.usingEref_self_digit2,NA,TO
AIJ14L-1MJC.matrix.28p.17aa.usingEref_self_digit2,0,0.026172609
AIJ14L-1NXB.matrix.34p.9aa.usingEref_self_digit2,0,0.039458858
AIJ14L-1PGB.matrix.31p.17aa.usingEref_self_digit2,NA,MO
AIJ14L-1PIN.matrix.28p.20aa.usingEref_self_digit2,NA,MO
AIJ14L-1POH.matrix.46p.17aa.usingEref_self_digit2,2,0.14071059200000002
AIJ14L-1RIS.matrix.56p.17aa.usingEref_self_digit2,NA,MO
AIJ14L-1SHF.matrix.30p.9aa.usingEref_self_digit2,0,0.08268480299999997
AIJ14L-1SHG.matrix.28p.17aa.usingEref_self_digit2,280,2302.1235058380003
AIJ14L-1STN.matrix.120p.18aa.usingEref_self_digit2,NA,MO
AIJ14L-1TEN.matrix.39p.9aa.usingEref_self_digit2,44,0.575583623
AIJ14L-1UBI.matrix.40p.17aa.usingEref_self_digit2,NA,TO
AIJ14L-2CI2.matrix.51p.18aa.usingEref_self_digit2,NA,MO
AIJ14L-2DRI.matrix.37p.19aa.usingEref_self_digit2,NA,MO
AIJ14L-2PCY.matrix.46p.9aa.usingEref_self_digit2,1,0.18008373
AIJ14L-2RN2.matrix.69p.9aa.usingEref_self_digit2,178,35.582273373
AIJ14L-2TRX.matrix.61p.19aa.usingEref_self_digit2,72,11.151322421
AIJ14L-3CHY.matrix.74p.9aa.usingEref_self_digit2,NA,TO
AIJ14L-3HHR.matrix.115p.19aa.usingEref_self_digit2,NA,MO
Bio13-1BK2.matrix.24p.17aa.usingEref_self_digit8,NA,MO
Bio13-1BRS.matrix.44p.20aa.usingEref_self_digit8,NA,MO
Bio13-1C9O.matrix.43p.17aa.usingEref_self_digit8,NA,MO
Bio13-1CDL.matrix.40p.19aa.usingEref_self_digit8,NA,MO
Bio13-1CM1.matrix.42p.19aa.usingEref_self_digit8,NA,MO
Bio13-1CSE.matrix.97p.18aa.usingEref_self_digit8,0,0.12834488000000005
Bio13-1CSK.matrix.30p.9aa.usingEref_self_digit8,NA,MO
Bio13-1CSP.matrix.30p.17aa.usingEref_self_digit8,NA,MO
Bio13-1CTF.matrix.39p.9aa.usingEref_self_digit8,NA,MO
Bio13-1DKT.matrix.46p.18aa.usingEref_self_digit8,NA,MO
Bio13-1ENH.matrix.36p.17aa.usingEref_self_digit8,NA,MO
Bio13-1FNA.matrix.38p.8aa.usingEref_self_digit8,NA,MO
Bio13-1FYN.matrix.23p.19aa.usingEref_self_digit8,NA,MO
Bio13-1GVP.matrix.52p.17aa.usingEref_self_digit8,NA,MO
Bio13-1HNG.matrix.85p.17aa.usingEref_self_digit8,NA,MO
Bio13-1L63.matrix.83p.17aa.usingEref_self_digit8,NA,MO
Bio13-1LZ1.matrix.59p.9aa.usingEref_self_digit8,NA,MO
Bio13-1MJC.matrix.28p.17aa.usingEref_self_digit8,0,0.02732002
Bio13-1NXB.matrix.34p.9aa.usingEref_self_digit8,0,0.079516093
Bio13-1PGB.matrix.31p.17aa.usingEref_self_digit8,NA,MO
Bio13-1PIN.matrix.28p.20aa.usingEref_self_digit8,NA,MO
Bio13-1POH.matrix.46p.17aa.usingEref_self_digit8,0,0.12427409100000003
Bio13-1RIS.matrix.56p.17aa.usingEref_self_digit8,NA,MO
Bio13-1SHF.matrix.30p.9aa.usingEref_self_digit8,0,0.10205971600000002
Bio13-1SHG.matrix.28p.17aa.usingEref_self_digit8,NA,MO
UAI17-1dvo-full,NA,MO
UAI17-1f00-full,NA,MO
UAI17-1is1-full,NA,MO
UAI17-1ng2-full,NA,TO
UAI17-1xaw-full,NA,MO
UAI17-1ytq-full,NA,MO
UAI17-1yz7-full,NA,MO
UAI17-2af5-full,NA,MO
UAI17-2gee-full,NA,MO
UAI17-2x8x-full,NA,MO
UAI17-3e3v-full,NA,MO
UAI17-3lf9-full,NA,MO
UAI17-3r8q-full,NA,MO
UAI17-3sz7-full,NA,MO
UAI17-4bxp-full,NA,MO
UAI17-4uos-full,NA,MO
UAI17-5dbl-full,NA,MO
UAI17-5e0z-full,NA,MO
UAI17-5e10-full,NA,MO
UAI17-5eqz-full,NA,TO
UAI17-5jdd-full,NA,MO
timeout=3600      
