name,cost,time
CP13-404,114,53.868
CP13-503,11113,2970.496
CP13-505,NA,TO
CP13-pedigree13,2030,1.199
CP13-pedigree18,7021,124.407
CP13-pedigree20,2532,0.495
CP13-pedigree25,10630,1270.952
CP13-pedigree30,7341,185.109
CP13-pedigree31,5258,2575.78
CP13-pedigree33,5855,7.816
CP13-pedigree39,11793,8.693
CP13-pedigree41,6618,191.418
CP13-pedigree44,6651,2578.9
CP13-pedigree51,6406,46223.901
CP13-pedigree7,3548,6.906
CP13-pedigree9,7040,3378.318
AIJ14F-1C9O.55p.19aa.usingEref_self_digit2,NA,TO
AIJ14F-1CM1.17p.19aa.usingEref_self_digit2,743645,0.266
AIJ14F-1HZ5.12p.19aa.usingEref_self_digit2,342476,0.333
AIJ14F-1HZ5.12p.9aa.usingEref_self_digit2,150714,0.016
AIJ14F-1PGB.11p.19aa.usingEref_self_digit2,286135,1.887
AIJ14F-1PGB.11p.9aa.usingEref_self_digit2,125306,0.018
AIJ14F-1PIN.28p.19aa.usingEref_self_digit2,NA,TO
AIJ14F-1UBI.13p.19aa.usingEref_self_digit2,380554,15842.299
AIJ14F-1UBI.13p.9aa.usingEref_self_digit2,159522,0.079
AIJ14F-2DHC.14p.19aa.usingEref_self_digit2,1410850,22.858
AIJ14F-2PCY.18p.8aa.usingEref_self_digit2,307667,0.029
AIJ14F-2TRX.11p.8aa.usingEref_self_digit2,178440,0.017
AIJ14L-1BK2.matrix.24p.17aa.usingEref_self_digit2,1133737,0.03
AIJ14L-1BRS.matrix.44p.20aa.usingEref_self_digit2,4007610,744.651
AIJ14L-1C9O.matrix.43p.17aa.usingEref_self_digit2,4959931,0.337
AIJ14L-1CDL.matrix.40p.19aa.usingEref_self_digit2,3590514,135.693
AIJ14L-1CM1.matrix.42p.19aa.usingEref_self_digit2,3895415,1.278
AIJ14L-1CSE.matrix.97p.18aa.usingEref_self_digit2,18602292,0.02
AIJ14L-1CSK.matrix.30p.9aa.usingEref_self_digit2,1125798,0.015
AIJ14L-1CSP.matrix.30p.17aa.usingEref_self_digit2,2520706,0.233
AIJ14L-1CTF.matrix.39p.9aa.usingEref_self_digit2,1881332,0.246
AIJ14L-1DKT.matrix.46p.18aa.usingEref_self_digit2,4192582,0.412
AIJ14L-1ENH.matrix.36p.17aa.usingEref_self_digit2,NA,TO
AIJ14L-1FNA.matrix.38p.8aa.usingEref_self_digit2,3750256,0.068
AIJ14L-1FYN.matrix.23p.19aa.usingEref_self_digit2,1183427,0.571
AIJ14L-1GVP.matrix.52p.17aa.usingEref_self_digit2,5196719,2021.605
AIJ14L-1HNG.matrix.85p.17aa.usingEref_self_digit2,13532638,0.713
AIJ14L-1L63.matrix.83p.17aa.usingEref_self_digit2,12891031,0.207
AIJ14L-1LZ1.matrix.59p.9aa.usingEref_self_digit2,7022658,0.598
AIJ14L-1MJC.matrix.28p.17aa.usingEref_self_digit2,1514364,0.004
AIJ14L-1NXB.matrix.34p.9aa.usingEref_self_digit2,2971624,0.011
AIJ14L-1PGB.matrix.31p.17aa.usingEref_self_digit2,NA,TO
AIJ14L-1PIN.matrix.28p.20aa.usingEref_self_digit2,1570593,1.009
AIJ14L-1POH.matrix.46p.17aa.usingEref_self_digit2,4033880,0.028
AIJ14L-1RIS.matrix.56p.17aa.usingEref_self_digit2,6171191,109.767
AIJ14L-1SHF.matrix.30p.9aa.usingEref_self_digit2,1101033,0.018
