lb 6294945 ub 25156925 before adjustment
lb 0 ub 18861980 after adjustment
costs ready
48 variables 1077 functions 6294945 lb, 18861980 ub
Iteration 0  lb 6294972 ub 25156925  cores 22 22 22  time 30.1338 0.235302
Iteration 1  lb 6294997 ub 25156925  cores 47 47 25  time 56.5334 0.54079
Iteration 2  lb 6295025 ub 25156925  cores 69 69 22  time 98.4684 0.870136
Iteration 3  lb 6295038 ub 25156925  cores 89 88 20  time 119.51 1.24253
Iteration 4  lb 6295056 ub 25156925  cores 108 106 19  time 144.521 1.6552
Iteration 5  lb 6295069 ub 25156925  cores 129 126 21  time 168.711 2.3361
Iteration 6  lb 6295079 ub 25156925  cores 152 149 23  time 193.81 4.1828
Iteration 7  lb 6295088 ub 25156925  cores 174 171 22  time 213.426 4.78416
Iteration 8  lb 6295105 ub 25156925  cores 196 193 22  time 235.355 7.97535
Iteration 9  lb 6295116 ub 25156925  cores 221 218 25  time 252.373 12.1713
Iteration 10  lb 6295119 ub 25156925  cores 241 238 20  time 275.43 17.9508
Iteration 11  lb 6295135 ub 25156925  cores 264 261 23  time 302.717 23.0425
Iteration 12  lb 6295140 ub 25156925  cores 285 282 21  time 323.629 42.2755
Iteration 13  lb 6295151 ub 25156925  cores 308 305 23  time 351.384 47.6176
Iteration 14  lb 6295160 ub 25156925  cores 330 327 22  time 390.662 67.0404
Iteration 15  lb 6295171 ub 25156925  cores 349 346 19  time 418.758 107.668
Iteration 16  lb 6295175 ub 25156925  cores 369 366 20  time 444.238 147.457
Iteration 17  lb 6295177 ub 25156925  cores 390 386 21  time 456.996 224.643
Iteration 18  lb 6295182 ub 25156925  cores 410 406 20  time 474.806 371.725
Iteration 19  lb 6295196 ub 25156925  cores 433 429 23  time 500.543 434.616
Iteration 20  lb 6295206 ub 25156925  cores 454 450 21  time 521.852 514.771
Iteration 21  lb 6295213 ub 25156925  cores 473 468 19  time 554.556 583.566
Iteration 22  lb 6295217 ub 25156925  cores 492 487 19  time 574.775 913.292
Iteration 23  lb 6295223 ub 25156925  cores 513 508 21  time 599.32 1013.66
Iteration 24  lb 6295230 ub 25156925  cores 535 530 22  time 620.576 1572.83
Iteration 25  lb 6295238 ub 25156925  cores 554 549 19  time 639.658 1920.97
Iteration 26  lb 6295243 ub 25156925  cores 576 571 22  time 668.54 2156.14
Iteration 27  lb 6295254 ub 25156925  cores 599 594 23  time 690.164 2339
